case,dx,slimsk,dx_hv,hfx_hv,qfx_hv,delt
5,13500.0,1,4652F000,43A00000,39BCBE62,42700000
6,13500.0,0,4652F000,437F0000,39D6F545,42700000
7,13500.0,0,4652F000,43848000,39E1719F,42700000
8,13500.0,0,4652F000,430C0000,399D4952,42700000
9,13500.0,0,4652F000,42F00000,397BA882,42700000
10,13500.0,1,4652F000,43AF0000,3988509C,42700000
11,13500.0,0,4652F000,43340000,399D4952,42700000
12,13500.0,0,4652F000,41F00000,3827C5AC,42700000
13,13500.0,0,4652F000,41C80000,37FBA882,42700000
14,13500.0,1,4652F000,42340000,3827C5AC,42700000
15,13500.0,0,4652F000,40A00000,358637BD,42700000
16,13500.0,0,4652F000,00000000,00000000,42700000
17,13500.0,1,4652F000,C1A00000,358637BD,42700000
18,13500.0,0,4652F000,42200000,387BA882,42700000
1,15000.0,0,466A6000,43340000,399D4952,42700000
2,15000.0,0,466A6000,437A0000,39D1B717,42700000
3,15000.0,0,466A6000,43820000,39DC3372,42700000
4,15000.0,0,466A6000,43870000,39E6AFCD,42700000
5,15000.0,1,466A6000,43A00000,39BCBE62,42700000
6,15000.0,0,466A6000,437F0000,39D6F545,42700000
7,15000.0,0,466A6000,43848000,39E1719F,42700000
8,15000.0,0,466A6000,430C0000,399D4952,42700000
9,15000.0,0,466A6000,42F00000,397BA882,42700000
10,15000.0,1,466A6000,43AF0000,3988509C,42700000
11,15000.0,0,466A6000,43340000,399D4952,42700000
12,15000.0,0,466A6000,41F00000,3827C5AC,42700000
13,15000.0,0,466A6000,41C80000,37FBA882,42700000
14,15000.0,1,466A6000,42340000,3827C5AC,42700000
15,15000.0,0,466A6000,40A00000,358637BD,42700000
16,15000.0,0,466A6000,00000000,00000000,42700000
17,15000.0,1,466A6000,C1A00000,358637BD,42700000
18,15000.0,0,466A6000,42200000,387BA882,42700000
1,27000.0,0,46D2F000,43340000,399D4952,42700000
2,27000.0,0,46D2F000,437A0000,39D1B717,42700000
3,27000.0,0,46D2F000,43820000,39DC3372,42700000
4,27000.0,0,46D2F000,43870000,39E6AFCD,42700000
5,27000.0,1,46D2F000,43A00000,39BCBE62,42700000
6,27000.0,0,46D2F000,437F0000,39D6F545,42700000
7,27000.0,0,46D2F000,43848000,39E1719F,42700000
8,27000.0,0,46D2F000,430C0000,399D4952,42700000
9,27000.0,0,46D2F000,42F00000,397BA882,42700000
10,27000.0,1,46D2F000,43AF0000,3988509C,42700000
11,27000.0,0,46D2F000,43340000,399D4952,42700000
12,27000.0,0,46D2F000,41F00000,3827C5AC,42700000
13,27000.0,0,46D2F000,41C80000,37FBA882,42700000
14,27000.0,1,46D2F000,42340000,3827C5AC,42700000
15,27000.0,0,46D2F000,40A00000,358637BD,42700000
16,27000.0,0,46D2F000,00000000,00000000,42700000
17,27000.0,1,46D2F000,C1A00000,358637BD,42700000
18,27000.0,0,46D2F000,42200000,387BA882,42700000
