case,dx,k,t3d,qv3d,qc3d,qi3d,u3d,v3d,pcps,dz8w,rho3d,pi3d,qvften,thften,p8w,w
1,1500.0,26,43896326,3BBB527F,00000000,00000000,4153923A,00000000,476F3E84,438A9890,3F4621F5,3F5E89FA,327F4D2D,3779515E,47735AB4,3D318B62
1,1500.0,27,43887C86,3BA529FB,00000000,00000000,415C70FB,00000000,4766F7E1,43907EFB,3F409ECC,3F5C4FD2,3279594A,37738132,476B2254,3D3A8691
1,1500.0,28,43878C16,3B907571,00000000,00000000,4165B068,00000000,475E9510,4396CBBE,3F3AFC05,3F59FEFF,3273248A,376D71AF,4762CD6E,3D434CF6
1,1500.0,29,43869129,3B7A7533,00000000,00000000,416F570C,00000000,475616BC,439D8C74,3F35394F,3F579615,326CAA86,37671E86,475A5CB1,3D4BC991
1,1500.0,30,43858B00,3B56FB14,00000000,00000000,41796C52,00000000,474D7D88,43A4D174,3F2F5639,3F551379,3265E642,376082DC,4751D0C6,3D53E3FE
1,1500.0,31,438478BE,3B367FBC,00000000,00000000,4181FC5A,00000000,4744CA0D,43ACADF5,3F295246,3F527553,325ED210,37599923,47492A4A,3D5B7FDD
1,1500.0,32,43835967,3B1901E9,00000000,00000000,418782F1,00000000,473BFCDA,43B538FE,3F232CD3,3F4FB98D,32576770,37525B03,474069D0,3D627C18
1,1500.0,33,43822BD9,3AFCF6E5,00000000,00000000,418D4F84,00000000,47331678,43BE8DB6,3F1CE528,3F4CDDBC,324F9EDF,374AC125,47378FE4,3D68B20D
1,1500.0,34,4380EEC4,3ACDC1F6,00000000,00000000,41936888,00000000,472A1768,43C8CE0D,3F167A63,3F49DF18,32476FB6,3742C317,472E9D0C,3D6DF47C
1,1500.0,35,437F4142,3AA44373,00000000,00000000,4199D586,00000000,47210026,43D42241,3F0FEB78,3F46BA63,323ECFD7,373A56F8,472591C4,3D720E47
1,1500.0,36,437C7F46,3A804E18,00000000,00000000,41A09F54,00000000,4717D12A,43E0BE84,3F093735,3F436BD0,3235B367,37317132,471C6E89,3D74C0E2
1,1500.0,37,43799354,3A435170,00000000,00000000,41A7D06E,00000000,470E8AE0,43EEE2DA,3F025C1C,3F3FEEDC,322C0C50,37280406,471333CA,3D75C265
1,1500.0,38,43767850,3A101AAC,00000000,00000000,41AF7563,00000000,47052DB5,43FEE2E4,3EF6B0E0,3F3C3E26,3221C9BC,371DFF01,4709E1F6,3D74BB33
1,1500.0,39,4373280D,39CCA41F,00000000,00000000,41B79D6A,00000000,46F7741C,44089586,3EE85427,3F385329,3216D73B,37134E30,47007974,3D7142FD
1,1500.0,40,436F9AF3,398A6E89,00000000,00000000,41C05B35,00000000,46E46098,44132646,3ED99CF1,3F3425E1,320B1BB8,3707D911,46EDF550,3D6ADD0E
1,1500.0,41,436BC786,39358FF4,00000000,00000000,41C9C61A,00000000,46D1219A,441F86C6,3ECA84D2,3F2FAC53,31FCEFBA,36F7021C,46DACBE0,3D60F3A5
1,1500.0,42,4367A1B7,3902563E,00000000,00000000,41D3FBC8,00000000,46BDB7DA,442E42E8,3EBB03CF,3F2AD9C8,31E187AF,36DC3E81,46C77754,3D52D227
1,1500.0,43,436319D4,38B23EF0,00000000,00000000,41DF22E2,00000000,46AA2402,444025AE,3EAB1104,3F259DB1,31C39797,36BF0209,46B3F860,3D3F9DF1
1,1500.0,44,435E1AE6,3865051B,00000000,00000000,41EB6F06,00000000,469666B6,44566398,3E9A9FB6,3F1FE1DD,31A294DD,369EC560,46A04FA4,3D264DC9
1,1500.0,45,435887ED,3807791C,00000000,00000000,41F92792,00000000,46828094,4472EC58,3E899F35,3F198776,317B7FE3,36759AE3,468C7DC8,3D05A0CB
1,1500.0,46,43523707,378F12E0,00000000,00000000,420459D0,00000000,465CE468,448C88AE,3E6FF1BA,3F1261A1,3128081C,362417EB,467106C0,3CB82DF3
1,1500.0,47,434AE83E,37003036,00000000,00000000,420D5852,00000000,46347860,44A78A9A,3E4B18E7,3F0A2AFD,308EEA3E,358B90C0,4648C210,3C1FDAE7
1,1500.0,48,43458000,3694C46E,00000000,00000000,42181152,00000000,460BBE28,44D4CF13,3E2191C6,3F006E70,00000000,00000000,46202EB0,00000000
1,1500.0,49,43458000,36D29A0C,00000000,00000000,4225AFFB,00000000,45C56DA0,4518E2FD,3DE443BB,3EE89483,00000000,00000000,45EE9B40,00000000
1,1500.0,50,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,459C4000,00000000
2,1500.0,1,43974000,3CCCB672,00000000,00000000,41900000,00000000,47C4C68E,4232FBC6,3F92512E,3F8045F2,32ABCC77,37A7C5AC,47C54400,00000000
2,1500.0,2,43971AC5,3CCA7E48,00000000,00000000,419024A8,00000000,47C386CA,428B5D1F,3F918D46,3F800A41,32AB5178,37A74D8F,47C4491D,3A0A2FFA
2,1500.0,3,4396E0CC,3CC6CB66,00000000,00000000,41905DBD,00000000,47C1DB71,42A840DC,3F90909C,3F7F741B,32AA91EE,37A69282,47C2C476,3AB0ADEC
2,1500.0,4,43969ACD,3CC25563,00000000,00000000,4190A2A8,00000000,47BFEC14,42BEED2B,3F8F6DB4,3F7EB8F0,32A9AAAF,37A5B0AF,47C0F26C,3B1942B9
2,1500.0,5,43964B61,3CBD5673,00000000,00000000,4190F0DC,00000000,47BDC730,42D26446,3F8E2BC0,3F7DE7F5,32A8A446,37A4B06D,47BEE5BD,3B62E0E0
2,1500.0,6,4395F3DB,3CB7EF36,00000000,00000000,41914709,00000000,47BB7530,42E3EB11,3F8CCEFC,3F7D03E5,32A7831D,37A3960A,47BCA8A3,3B99F445
2,1500.0,7,4395950A,3CB2360D,00000000,00000000,4191A464,00000000,47B8FBC1,42F43065,3F8B5A35,3F7C0E76,32A649DE,37A26423,47BA41BE,3BC5C500
2,1500.0,8,43952F75,3CAC3BCD,00000000,00000000,41920869,00000000,47B65F04,4301CF20,3F89CF6D,3F7B08CB,32A4FA41,37A11C64,47B7B5C4,3BF49A37
2,1500.0,9,4394C375,3CA60DB5,00000000,00000000,419272C0,00000000,47B3A227,43093E64,3F883026,3F79F3A9,32A39570,379FBFEF,47B50844,3C131EAB
2,1500.0,10,43945145,3C9FB6D6,00000000,00000000,4192E32E,00000000,47B0C7B3,43107F37,3F867D8B,3F78CF9A,32A21C30,379E4F86,47B23C0A,3C2D416D
2,1500.0,11,4393D90C,3C99003F,00000000,00000000,4193598D,00000000,47ADD1BE,4317A4B0,3F84B92B,3F779CF6,32A08EFF,379CCBA5,47AF535C,3C48A2E5
2,1500.0,12,43935AE2,3C91AE43,00000000,00000000,4193D5C7,00000000,47AAC205,431EBE37,3F82E460,3F765BF3,329EEE29,379B3494,47AC501F,3C653278
2,1500.0,13,4392D6CF,3C8A55FA,00000000,00000000,419457D2,00000000,47A79A06,4325D9DB,3F80FE62,3F750CA9,329D39D0,37998A75,47A933EB,3C817042
2,1500.0,14,43924CD2,3C82FF9A,00000000,00000000,4194DFB0,00000000,47A45B0A,432D03E8,3F7E0F50,3F73AF19,329B71ED,3797CD41,47A60021,3C90CEF3
2,1500.0,15,4391BCDF,3C77650F,00000000,00000000,41956D6C,00000000,47A10632,43344677,3F7A0133,3F72432C,32999658,3795FCD2,47A2B5F3,3CA0ADA8
2,1500.0,16,439126E2,3C68EB25,00000000,00000000,4196011A,00000000,479D9C7B,433BAC5F,3F75D307,3F70C8B8,3297A6CF,379418E6,479F5670,3CB10445
2,1500.0,17,43908ABD,3C5A9DD1,00000000,00000000,41969AD8,00000000,479A1ECA,43433EBE,3F71855D,3F6F3F82,3295A2EF,3792211D,479BE286,3CC1CA25
2,1500.0,18,438FE84B,3C4C88AB,00000000,00000000,41973ACA,00000000,47968DEA,434B0767,3F6D1897,3F6DA73B,32938A40,37901502,47985B0D,3CD2F5AE
2,1500.0,19,438F3F60,3C3EB695,00000000,00000000,4197E11C,00000000,4792EA95,4353106A,3F688D0B,3F6BFF85,32915C2B,378DF402,4794C0C7,3CE47C31
2,1500.0,20,438E8FC4,3C31314F,00000000,00000000,41988E03,00000000,478F3572,435B63E4,3F63E2F9,3F6A47ED,328F1800,378BBD70,47911463,3CF651A5
2,1500.0,21,438DD93C,3C24027D,00000000,00000000,419941BD,00000000,478B6F1C,43640DDF,3F5F1A84,3F687FEE,328CBCF2,37897084,478D5682,3D043427
2,1500.0,22,438D1B7E,3C173292,00000000,00000000,4199FC8F,00000000,4787981E,436D18B1,3F5A33CF,3F66A6F0,328A4A13,37870C57,478987B5,3D0D584B
2,1500.0,23,438C563B,3C0AC9E1,00000000,00000000,419ABECA,00000000,4783B0FB,437692F0,3F552ED8,3F64BC45,3287BE59,37848FE3,4785A886,3D168C3F
2,1500.0,24,438B8914,3BFD9F73,00000000,00000000,419B88C8,00000000,477F7458,43804520,3F500B9A,3F62BF27,32851892,3781F9FE,4781B970,3D1FC5B8
2,1500.0,25,438AB3A4,3BE696AB,00000000,00000000,419C5AF1,00000000,47776842,4385876F,3F4AC9FE,3F60AEB7,32825766,377E92B2,477B75D0,3D28F8D2
2,1500.0,26,4389D572,3BCEAE56,00000000,00000000,419D35B7,00000000,476F3E84,438B189B,3F456B93,3F5E89FA,327EF2A2,3778F8F1,47735AB4,3D3217D1
2,1500.0,27,4388EDFE,3BB629BA,00000000,00000000,419E199C,00000000,4766F7E1,439102C7,3F3FEFBA,3F5C4FD2,3278F940,37732369,476B2254,3D3B12CE
2,1500.0,28,4387FCB1,3B9F41B2,00000000,00000000,419F0732,00000000,475E9510,4397539E,3F3A5420,3F59FEFF,3272BED7,376D0E5D,4762CD6E,3D43D75A
2,1500.0,29,438700E3,3B89FD05,00000000,00000000,419FFF21,00000000,475616BC,439E18D2,3F349868,3F579615,326C3EFD,3766B583,475A5CB1,3D4C503E
2,1500.0,30,4385F9D0,3B6CBF6F,00000000,00000000,41A10228,00000000,474D7D88,43A562BF,3F2EBC31,3F551379,326574B1,376013F5,4751D0C6,3D5464D3
2,1500.0,31,4384E69C,3B48D744,00000000,00000000,41A2111F,00000000,4744CA0D,43AD44B4,3F28BEF7,3F527553,325E5A43,37592425,47492A4A,3D5BF86F
2,1500.0,32,4383C64B,3B284012,00000000,00000000,41A32D01,00000000,473BFCDA,43B5D5CB,3F22A01D,3F4FB98D,3256E928,3751DFB1,474069D0,3D62E9A9
2,1500.0,33,438297B8,3B0AF2A5,00000000,00000000,41A456EC,00000000,47331678,43BF3146,3F1C5EF0,3F4CDDBC,324F19DC,374A3F40,47378FE4,3D691188
2,1500.0,34,43815993,3AE1C4DA,00000000,00000000,41A5902C,00000000,472A1768,43C97930,3F15FA90,3F49DF18,3246E3AC,37423A56,472E9D0C,3D6E4265
2,1500.0,35,43800A52,3AB3F935,00000000,00000000,41A6DA44,00000000,47210026,43D4D5E4,3F0F7200,3F46BA63,323E3C74,3739C709,472591C4,3D7246B4
2,1500.0,36,437D5054,3A8C5087,00000000,00000000,41A836FA,00000000,4717D12A,43E17BCE,3F08C405,3F436BD0,3235184C,3730D9BA,471C6E89,3D74DF6E
2,1500.0,37,437A61EB,3A5515BB,00000000,00000000,41A9A869,00000000,470E8AE0,43EFAB1F,3F01EF2E,3F3FEEDC,322B6915,3727649E,471333CA,3D75C229
2,1500.0,38,4377444D,3A1CB565,00000000,00000000,41AB3115,00000000,47052DB5,43FFB7C2,3EF5E385,3F3C3E26,32211DE6,371D5733,4709E1F6,3D7496BB
2,1500.0,39,4373F146,39DD8F6F,00000000,00000000,41ACD40D,00000000,46F7741C,4409073E,3EE79359,3F385329,3216223F,37129D72,47007974,3D70F440
2,1500.0,40,43706136,3994EDC0,00000000,00000000,41AE9510,00000000,46E46098,4413A07E,3ED8E8C7,3F3425E1,320A5CF7,37071EC9,46EDF550,3D6A5D72
2,1500.0,41,436C8A9C,3944163C,00000000,00000000,41B078CF,00000000,46D1219A,44200B1D,3EC9DD5C,3F2FAC53,31FB5D3B,36F5790C,46DACBE0,3D603C0D
2,1500.0,42,4368615C,390D02D6,00000000,00000000,41B2853D,00000000,46BDB7DA,442ED35C,3EBA6948,3F2AD9C8,31DFDE72,36DA9F3B,46C77754,3D51DB0E
2,1500.0,43,4363D5B8,38C13BDD,00000000,00000000,41B4C21C,00000000,46AA2402,4440C4DF,3EAA83BF,3F259DB1,31C1D588,36BD4A87,46B3F860,3D3E5FBD
2,1500.0,44,435ED2A6,3878DD17,00000000,00000000,41B739C6,00000000,469666B6,44571520,3E9A2015,3F1FE1DD,31A0B775,369CF328,46A04FA4,3D24C155
2,1500.0,45,43593B0F,38139FF0,00000000,00000000,41B9FA8E,00000000,46828094,4473B56C,3E892DA8,3F198776,3177880C,3671BADC,468C7DC8,3D03C076
2,1500.0,46,4352E4EE,379C70EC,00000000,00000000,41BD1924,00000000,465CE468,448CFCF9,3E6F2BCF,3F1261A1,3123CB36,361FF473,467106C0,3CB3C1A3
2,1500.0,47,434B9019,370CC54D,00000000,00000000,41C0B51F,00000000,46347860,44A81537,3E4A7169,3F0A2AFD,3085D09A,3582ADB6,4648C210,3C15C223
2,1500.0,48,43468000,36AD284C,00000000,00000000,41C502AB,00000000,460BBE28,44D5E2F1,3E20C163,3F006E70,00000000,00000000,46202EB0,00000000
2,1500.0,49,43468000,36F52142,00000000,00000000,41CA7C65,00000000,45C56DA0,4519A92F,3DE31D50,3EE89483,00000000,00000000,45EE9B40,00000000
2,1500.0,50,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,459C4000,00000000
3,1500.0,1,43974000,3CCCB672,00000000,00000000,40A00000,00000000,47C4C68E,4232FBC6,3F92512E,3F8045F2,3380D959,387BA882,47C54400,00000000
3,1500.0,2,43971AC5,3CCA7E48,00000000,00000000,40A2DD1E,00000000,47C386CA,428B5D1F,3F918D46,3F800A41,33807D1A,387AF457,47C4491D,3A0A2FFA
3,1500.0,3,4396E0CC,3CC6CB66,00000000,00000000,40A752C9,00000000,47C1DB71,42A840DC,3F90909C,3F7F741B,337FDAE4,3879DBC3,47C2C476,3AB0ADEC
3,1500.0,4,43969ACD,3CC25563,00000000,00000000,40ACB51E,00000000,47BFEC14,42BEED2B,3F8F6DB4,3F7EB8F0,337E8006,38788906,47C0F26C,3B1942B9
3,1500.0,5,43964B61,3CBD5673,00000000,00000000,40B2D12F,00000000,47BDC730,42D26446,3F8E2BC0,3F7DE7F5,337CF669,387708A3,47BEE5BD,3B62E0E0
3,1500.0,6,4395F3DB,3CB7EF36,00000000,00000000,40B98CB7,00000000,47BB7530,42E3EB11,3F8CCEFC,3F7D03E5,337B44AB,38756110,47BCA8A3,3B99F445
3,1500.0,7,4395950A,3CB2360D,00000000,00000000,40C0D7D2,00000000,47B8FBC1,42F43065,3F8B5A35,3F7C0E76,33796ECD,38739634,47BA41BE,3BC5C500
3,1500.0,8,43952F75,3CAC3BCD,00000000,00000000,40C8A838,00000000,47B65F04,4301CF20,3F89CF6D,3F7B08CB,33777762,3871AA96,47B7B5C4,3BF49A37
3,1500.0,9,4394C375,3CA60DB5,00000000,00000000,40D0F702,00000000,47B3A227,43093E64,3F883026,3F79F3A9,33756028,386F9FE7,47B50844,3C131EAB
3,1500.0,10,43945145,3C9FB6D6,00000000,00000000,40D9BF9C,00000000,47B0C7B3,43107F37,3F867D8B,3F78CF9A,33732A47,386D774A,47B23C0A,3C2D416D
3,1500.0,11,4393D90C,3C9906B1,00000000,00000000,40E2FF0C,00000000,47ADD1BE,4317A4C1,3F84B91B,3F779CF6,3370D67E,386B3177,47AF535C,3C48A2E5
3,1500.0,12,43935AE2,3C91C86A,00000000,00000000,40ECB394,00000000,47AAC205,431EBE84,3F82E421,3F765BF3,336E653E,3868CEDE,47AC501F,3C65327A
3,1500.0,13,4392D6CE,3C8A82D9,00000000,00000000,40F6DC71,00000000,47A79A06,4325DA67,3F80FDF5,3F750CA9,336BD6B6,38664FAE,47A933EB,3C81704B
3,1500.0,14,43924CD1,3C833E3C,00000000,00000000,4100BCE4,00000000,47A45B0A,432D04B2,3F7E0E26,3F73AF19,33692ADF,3863B3DE,47A60021,3C90CF09
3,1500.0,15,4391BCDD,3C780359,00000000,00000000,41064642,00000000,47A10632,43344782,3F79FFC2,3F72432C,3366617D,3860FB34,47A2B5F3,3CA0ADD0
3,1500.0,16,439126DF,3C69A7ED,00000000,00000000,410C0B1A,00000000,479D9C7B,433BADA7,3F75D158,3F70C8B8,33637A2B,385E254E,479F5670,3CB10484
3,1500.0,17,43908AB9,3C5B7662,00000000,00000000,41120C90,00000000,479A1ECA,43434048,3F718377,3F6F3F82,33607456,385B319D,479BE286,3CC1CA7F
3,1500.0,18,438FE846,3C4D7A26,00000000,00000000,41184C10,00000000,47968DEA,434B092C,3F6D1684,3F6DA73B,335D4F48,38581F6D,47985B0D,3CD2F629
3,1500.0,19,438F3F59,3C3FBDE3,00000000,00000000,411ECB54,00000000,4792EA95,4353126D,3F688AD5,3F6BFF85,335A0A22,3854EDE6,4794C0C7,3CE47CD1
3,1500.0,20,438E8FBD,3C324B8D,00000000,00000000,41258C6F,00000000,478F3572,435B6623,3F63E0A3,3F6A47ED,3356A3D9,38519C02,47911463,3CF6526B
3,1500.0,21,438DD933,3C252C4F,00000000,00000000,412C91C0,00000000,478B6F1C,43641050,3F5F1820,3F687FEE,33531B3A,384E2897,478D5682,3D04349F
3,1500.0,22,438D1B73,3C1868CA,00000000,00000000,4133DE0C,00000000,4787981E,436D1B53,3F5A3162,3F66A6F0,334F6EE2,384A9249,478987B5,3D0D58D8
3,1500.0,23,438C562D,3C0C0932,00000000,00000000,413B746D,00000000,4783B0FB,437695C1,3F552C69,3F64BC45,334B9D41,3846D792,4785A886,3D168CE2
3,1500.0,24,438B8904,3C001506,00000000,00000000,41435873,00000000,477F7458,4380469A,3F500934,3F62BF27,3347A48B,3842F6B0,4781B970,3D1FC66F
3,1500.0,25,438AB391,3BE926C0,00000000,00000000,414B8E1E,00000000,47776842,438588FB,3F4AC7A4,3F60AEB7,334382BD,383EEDAC,477B75D0,3D28F99B
3,1500.0,26,4389D55D,3BD11500,00000000,00000000,415419F5,00000000,476F3E84,438B1A1C,3F456971,3F5E89FA,333F3590,383ABA4F,47735AB4,3D3218AB
3,1500.0,27,4388EDE6,3BB83D87,00000000,00000000,415D0101,00000000,4766F7E1,4391041C,3F3FEDF7,3F5C4FD2,333ABA7B,38365A1C,476B2254,3D3B13B2
3,1500.0,28,4387FC97,3BA10915,00000000,00000000,416648F3,00000000,475E9510,439754C8,3F3A52B1,3F59FEFF,33360EA0,3831CA48,4762CD6E,3D43D843
3,1500.0,29,438700C7,3B8B7E60,00000000,00000000,416FF85D,00000000,475616BC,439E19D0,3F349745,3F579615,33312EB3,382D079B,475A5CB1,3D4C5125
3,1500.0,30,4385F9B2,3B6F42D2,00000000,00000000,417A16B0,00000000,474D7D88,43A56396,3F2EBB4D,3F551379,332C16F2,38280E68,4751D0C6,3D5465B0
3,1500.0,31,4384E67D,3B4AE822,00000000,00000000,41825636,00000000,4744CA0D,43AD4566,3F28BE48,3F527553,3326C318,3822DA86,47492A4A,3D5BF93B
3,1500.0,32,4383C62A,3B29EAC7,00000000,00000000,4187E1A5,00000000,473BFCDA,43B5D657,3F229F9F,3F4FB98D,33212E3E,381D6728,474069D0,3D62EA60
3,1500.0,33,43829797,3B0C43A2,00000000,00000000,418DB342,00000000,47331678,43BF31B0,3F1C5E99,3F4CDDBC,331B52C0,3817AED0,47378FE4,3D691224
3,1500.0,34,43815971,3AE3CAF4,00000000,00000000,4193D184,00000000,472A1768,43C97976,3F15FA5D,3F49DF18,33152A1A,3811AB1D,472E9D0C,3D6E42E0
3,1500.0,35,43800A30,3AB57A7D,00000000,00000000,419A43FF,00000000,47210026,43D4D60D,3F0F71E4,3F46BA63,330EACAD,380B54A1,472591C4,3D72470A
3,1500.0,36,437D500F,3A8D62AF,00000000,00000000,41A1138C,00000000,4717D12A,43E17BDB,3F08C3FD,3F436BD0,3307D18F,3804A2A5,471C6E89,3D74DF9A
3,1500.0,37,437A61A6,3A5684FC,00000000,00000000,41A84AB7,00000000,470E8AE0,43EFAB12,3F01EF36,3F3FEEDC,33008E24,37FB159F,471333CA,3D75C227
3,1500.0,38,43774408,3A1D95AB,00000000,00000000,41AFF614,00000000,47052DB5,43FFB79E,3EF5E3A8,3F3C3E26,32F1AB83,37EC017E,4709E1F6,3D749688
3,1500.0,39,4373F101,39DE7756,00000000,00000000,41B824EA,00000000,46F7741C,44090720,3EE7938A,3F385329,32E1320C,37DBEAE0,47007974,3D70F3DB
3,1500.0,40,437060F2,39953AE2,00000000,00000000,41C0E9FA,00000000,46E46098,4413A058,3ED8E900,3F3425E1,32CF8A22,37CAACE5,46EDF550,3D6A5CDB
3,1500.0,41,436C8A58,39441101,00000000,00000000,41CA5CB1,00000000,46D1219A,44200AEF,3EC9DD95,3F2FAC53,32BC84A0,37B81984,46DACBE0,3D603B41
3,1500.0,42,4368611A,390CFF08,00000000,00000000,41D49AD5,00000000,46BDB7DA,442ED32A,3EBA697D,3F2AD9C8,32A7E58F,37A3F62E,46C77754,3D51DA10
3,1500.0,43,4363D578,38C13695,00000000,00000000,41DFCB2A,00000000,46AA2402,4440C4A8,3EAA83EF,3F259DB1,32915EE6,378DF6AC,46B3F860,3D3E5E8D
3,1500.0,44,435ED267,3878D604,00000000,00000000,41EC2179,00000000,469666B6,445714E3,3E9A2041,3F1FE1DD,327110C0,376B6A5B,46A04FA4,3D24BFFA
3,1500.0,45,43593AD2,38139BA0,00000000,00000000,41F9E55F,00000000,46828094,4473B526,3E892DCF,3F198776,3239A3AD,373549D7,468C7DC8,3D03BEF7
3,1500.0,46,4352E4B4,379C6C4B,00000000,00000000,4204BF23,00000000,465CE468,448CFCD2,3E6F2C11,3F1261A1,31F5AC39,36EFEA30,467106C0,3CB3BE74
3,1500.0,47,434B8FE0,370CC0DA,00000000,00000000,420DC514,00000000,46347860,44A81509,3E4A71A1,3F0A2AFD,3148B017,3643FBF7,4648C210,3C15BB9C
3,1500.0,48,43468000,36AD284C,00000000,00000000,421886F0,00000000,460BBE28,44D5E2F1,3E20C163,3F006E70,00000000,00000000,46202EB0,00000000
3,1500.0,49,43468000,36F52142,00000000,00000000,42263741,00000000,45C56DA0,4519A92F,3DE31D50,3EE89483,00000000,00000000,45EE9B40,00000000
3,1500.0,50,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,459C4000,00000000
4,1500.0,1,43976666,3CD2A317,00000000,00000000,40A00000,00000000,47C4C68E,42333D16,3F921BDE,3F8045F2,B380D959,B87BA882,47C54400,00000000
4,1500.0,2,4397411E,3CD05ADC,00000000,00000000,40A2DE29,00000000,47C386CA,428B8FCC,3F91586D,3F800A41,B3807CF8,B87AF415,47C4491D,3A0A6266
4,1500.0,3,4397070F,3CCC8CE1,00000000,00000000,40A75573,00000000,47C1DB71,42A87DAE,3F905C6E,3F7F741B,B37FDA38,B879DB1B,47C2C476,3AB0EE3F
