case,dx,scale_fac,scale_fac2,xland,hfx,qfx,psfc,raincv,pratec,cu_act_flag
13,4500.0,4139FE70,405A3513,40000000,41C80000,37FBA882,47C54400,00000000,00000000,T
14,4500.0,4139FE70,405A3513,3F800000,42340000,3827C5AC,47C54400,00000000,00000000,T
15,4500.0,4139FE70,405A3513,40000000,40A00000,358637BD,47C54400,00000000,00000000,T
16,4500.0,4139FE70,405A3513,40000000,00000000,00000000,47C54400,00000000,00000000,T
17,4500.0,4139FE70,405A3513,3F800000,C1A00000,358637BD,47C54400,00000000,00000000,T
18,4500.0,4139FE70,405A3513,40000000,42200000,387BA882,47C54400,00000000,00000000,T
1,9000.0,4078B1D4,3FFC5225,40000000,43340000,399D4952,47C54400,3E1D4380,3B27BF77,T
2,9000.0,4078B1D4,3FFC5225,40000000,437A0000,39D1B717,47C54400,3EBF8C9C,3BCC51B7,T
3,9000.0,4078B1D4,3FFC5225,40000000,43820000,39DC3372,47C54400,3EC054E3,3BCD2759,T
4,9000.0,4078B1D4,3FFC5225,40000000,43870000,39E6AFCD,47C54400,3ED98944,3BE809E2,T
5,9000.0,4078B1D4,3FFC5225,3F800000,43A00000,39BCBE62,47C54400,3EBFDD48,3BCCA7C4,T
6,9000.0,4078B1D4,3FFC5225,40000000,437F0000,39D6F545,47C54400,3E85F5B3,3B8EE3F2,T
7,9000.0,4078B1D4,3FFC5225,40000000,43848000,39E1719F,47C54400,3EC57E84,3BD2A915,T
8,9000.0,4078B1D4,3FFC5225,40000000,430C0000,399D4952,47C54400,00000000,00000000,T
9,9000.0,4078B1D4,3FFC5225,40000000,42F00000,397BA882,47C54400,00000000,00000000,T
10,9000.0,4078B1D4,3FFC5225,3F800000,43AF0000,3988509C,47C54400,00000000,00000000,T
11,9000.0,4078B1D4,3FFC5225,40000000,43340000,399D4952,47C54400,3987C9BE,3690D731,T
12,9000.0,4078B1D4,3FFC5225,40000000,41F00000,3827C5AC,47C54400,00000000,00000000,T
13,9000.0,4078B1D4,3FFC5225,40000000,41C80000,37FBA882,47C54400,00000000,00000000,T
14,9000.0,4078B1D4,3FFC5225,3F800000,42340000,3827C5AC,47C54400,00000000,00000000,T
15,9000.0,4078B1D4,3FFC5225,40000000,40A00000,358637BD,47C54400,00000000,00000000,T
16,9000.0,4078B1D4,3FFC5225,40000000,00000000,00000000,47C54400,00000000,00000000,T
17,9000.0,4078B1D4,3FFC5225,3F800000,C1A00000,358637BD,47C54400,00000000,00000000,T
18,9000.0,4078B1D4,3FFC5225,40000000,42200000,387BA882,47C54400,00000000,00000000,T
1,13500.0,3FCB458E,3FA14DAA,40000000,43340000,399D4952,47C54400,3EC067DB,3BCD3B94,T
2,13500.0,3FCB458E,3FA14DAA,40000000,437A0000,39D1B717,47C54400,3F6A5A4A,3C79F9E9,T
3,13500.0,3FCB458E,3FA14DAA,40000000,43820000,39DC3372,47C54400,3F6B4F53,3C7AFF47,T
4,13500.0,3FCB458E,3FA14DAA,40000000,43870000,39E6AFCD,47C54400,3F8512C4,3C8DF1E2,T
5,13500.0,3FCB458E,3FA14DAA,3F800000,43A00000,39BCBE62,47C54400,3F6ABCFF,3C7A6332,T
6,13500.0,3FCB458E,3FA14DAA,40000000,437F0000,39D6F545,47C54400,3F23E4F1,3C2ED212,T
7,13500.0,3FCB458E,3FA14DAA,40000000,43848000,39E1719F,47C54400,3F71A049,3C80DE05,T
8,13500.0,3FCB458E,3FA14DAA,40000000,430C0000,399D4952,47C54400,00000000,00000000,T
9,13500.0,3FCB458E,3FA14DAA,40000000,42F00000,397BA882,47C54400,00000000,00000000,T
10,13500.0,3FCB458E,3FA14DAA,3F800000,43AF0000,3988509C,47C54400,00000000,00000000,T
11,13500.0,3FCB458E,3FA14DAA,40000000,43340000,399D4952,47C54400,39D46880,36E2919A,T
12,13500.0,3FCB458E,3FA14DAA,40000000,41F00000,3827C5AC,47C54400,00000000,00000000,T
13,13500.0,3FCB458E,3FA14DAA,40000000,41C80000,37FBA882,47C54400,00000000,00000000,T
14,13500.0,3FCB458E,3FA14DAA,3F800000,42340000,3827C5AC,47C54400,00000000,00000000,T
15,13500.0,3FCB458E,3FA14DAA,40000000,40A00000,358637BD,47C54400,00000000,00000000,T
16,13500.0,3FCB458E,3FA14DAA,40000000,00000000,00000000,47C54400,00000000,00000000,T
17,13500.0,3FCB458E,3FA14DAA,3F800000,C1A00000,358637BD,47C54400,00000000,00000000,T
18,13500.0,3FCB458E,3FA14DAA,40000000,42200000,387BA882,47C54400,00000000,00000000,T
1,15000.0,3F998937,3F800000,40000000,43340000,399D4952,47C54400,3EFEBB92,3C07DB81,T
2,15000.0,3F998937,3F800000,40000000,437A0000,39D1B717,47C54400,3F9B2244,3CA579E2,T
3,15000.0,3F998937,3F800000,40000000,43820000,39DC3372,47C54400,3F9BC47A,3CA626E9,T
4,15000.0,3F998937,3F800000,40000000,43870000,39E6AFCD,47C54400,3FB02E31,3CBBED01,T
5,15000.0,3F998937,3F800000,3F800000,43A00000,39BCBE62,47C54400,3F9B639E,3CA5BF97,T
6,15000.0,3F998937,3F800000,40000000,437F0000,39D6F545,47C54400,3F58FC45,3C67737D,T
7,15000.0,3F998937,3F800000,40000000,43848000,39E1719F,47C54400,3F9FF2DE,3CAA9CA9,T
8,15000.0,3F998937,3F800000,40000000,430C0000,399D4952,47C54400,00000000,00000000,T
9,15000.0,3F998937,3F800000,40000000,42F00000,397BA882,47C54400,00000000,00000000,T
10,15000.0,3F998937,3F800000,3F800000,43AF0000,3988509C,47C54400,00000000,00000000,T
11,15000.0,3F998937,3F800000,40000000,43340000,399D4952,47C54400,3A05D629,370EC24E,T
12,15000.0,3F998937,3F800000,40000000,41F00000,3827C5AC,47C54400,00000000,00000000,T
13,15000.0,3F998937,3F800000,40000000,41C80000,37FBA882,47C54400,00000000,00000000,T
14,15000.0,3F998937,3F800000,3F800000,42340000,3827C5AC,47C54400,00000000,00000000,T
15,15000.0,3F998937,3F800000,40000000,40A00000,358637BD,47C54400,00000000,00000000,T
16,15000.0,3F998937,3F800000,40000000,00000000,00000000,47C54400,00000000,00000000,T
17,15000.0,3F998937,3F800000,3F800000,C1A00000,358637BD,47C54400,00000000,00000000,T
18,15000.0,3F998937,3F800000,40000000,42200000,387BA882,47C54400,00000000,00000000,T
1,27000.0,3FADF6FD,3F800000,40000000,43340000,399D4952,47C54400,3EE0D1B9,3BEFCEA3,T
2,27000.0,3FADF6FD,3F800000,40000000,437A0000,39D1B717,47C54400,3F88EA97,3C920B4C,T
3,27000.0,3FADF6FD,3F800000,40000000,43820000,39DC3372,47C54400,3F8979C1,3C92A401,T
4,27000.0,3FADF6FD,3F800000,40000000,43870000,39E6AFCD,47C54400,3F9B7DD1,3CA5DB8A,T
5,27000.0,3FADF6FD,3F800000,3F800000,43A00000,39BCBE62,47C54400,3F892444,3C9248D1,T
6,27000.0,3FADF6FD,3F800000,40000000,437F0000,39D6F545,47C54400,3F3F8131,3C4C458A,T
7,27000.0,3FADF6FD,3F800000,40000000,43848000,39E1719F,47C54400,3F8D2A70,3C9693AB,T
8,27000.0,3FADF6FD,3F800000,40000000,430C0000,399D4952,47C54400,00000000,00000000,T
9,27000.0,3FADF6FD,3F800000,40000000,42F00000,397BA882,47C54400,00000000,00000000,T
10,27000.0,3FADF6FD,3F800000,3F800000,43AF0000,3988509C,47C54400,00000000,00000000,T
11,27000.0,3FADF6FD,3F800000,40000000,43340000,399D4952,47C54400,3A05D629,370EC24E,T
12,27000.0,3FADF6FD,3F800000,40000000,41F00000,3827C5AC,47C54400,00000000,00000000,T
13,27000.0,3FADF6FD,3F800000,40000000,41C80000,37FBA882,47C54400,00000000,00000000,T
14,27000.0,3FADF6FD,3F800000,3F800000,42340000,3827C5AC,47C54400,00000000,00000000,T
15,27000.0,3FADF6FD,3F800000,40000000,40A00000,358637BD,47C54400,00000000,00000000,T
16,27000.0,3FADF6FD,3F800000,40000000,00000000,00000000,47C54400,00000000,00000000,T
17,27000.0,3FADF6FD,3F800000,3F800000,C1A00000,358637BD,47C54400,00000000,00000000,T
18,27000.0,3FADF6FD,3F800000,40000000,42200000,387BA882,47C54400,00000000,00000000,T
