case,i,k,dt_s,rho_kg_m3,temperature_k,target_snow_diameter_m,qs_before,qns_before_per_kg,qs_after,qns_after_per_kg
2,3,4, 1.0000000000000000E+001, 1.2599999904632568E+000, 2.5816000366210938E+002, 3.0000001424923539E-004, 9.9999998245167004E-014, 7.0735492045059800E-005, 9.9999998245167004E-014, 7.0735492045059800E-005
3,4,4, 1.0000000000000000E+001, 1.2669999599456787E+000, 2.6314001464843750E+002, 5.0000002374872565E-004, 9.9999998245167004E-014, 1.5278863429557532E-005, 9.9999998245167004E-014, 1.5278863429557532E-005
4,1,5, 1.0000000000000000E+001, 1.2279999256134033E+000, 2.6314999389648438E+002, 5.0000002374872565E-004, 9.9999998245167004E-014, 1.5278863429557532E-005, 9.9999998245167004E-014, 1.5278863429557532E-005
5,2,5, 1.0000000000000000E+001, 1.2349998950958252E+000, 2.6316000366210938E+002, 5.0000002374872565E-004, 9.9999998245167004E-014, 1.5278863429557532E-005, 9.9999998245167004E-014, 1.5278863429557532E-005
6,3,5, 1.0000000000000000E+001, 1.2419999837875366E+000, 2.7314001464843750E+002, 1.0000000474974513E-003, 9.9999998245167004E-014, 1.9098579286946915E-006, 9.9999998245167004E-014, 1.9098579286946915E-006
7,4,5, 1.0000000000000000E+001, 1.2489999532699585E+000, 2.7314999389648438E+002, 1.0000000474974513E-003, 9.9999998245167004E-014, 1.9098579286946915E-006, 9.9999998245167004E-014, 1.9098579286946915E-006
8,1,6, 5.0000000000000000E+000, 1.2099999189376831E+000, 2.6000000000000000E+002, 9.0000003183376975E-006, 9.9999998245167004E-014, 2.6198329925537109E+000, 9.9999998245167004E-014, 2.6198329925537109E+000
9,2,6, 3.0000000000000000E+001, 1.2169998884201050E+000, 2.6800000000000000E+002, 9.4999996945261955E-003, 9.9999998245167004E-014, 2.2275650213288145E-009, 9.9999998245167004E-014, 2.2275650213288145E-009
10,3,6, 6.0000000000000000E+001, 1.2239999771118164E+000, 2.6800000000000000E+002, 1.0099999606609344E-002, 9.9999998245167004E-014, 1.8536898682697256E-009, 9.9999998245167004E-014, 1.8536898682697256E-009
11,4,6, 1.0000000000000000E+003, 1.2309999465942383E+000, 2.6800000000000000E+002, 1.0000000474974513E-003, 9.9999998245167004E-014, 1.9098579286946915E-006, 9.9999998245167004E-014, 1.9098579286946915E-006
0,1,7, 1.0000000000000000E+001, 1.1919999122619629E+000, 2.5814001464843750E+002, 3.0000001424923539E-004, 2.4999999368446879E-005, 1.7683873046875000E+004, 2.4999999368446879E-005, 1.7683873046875000E+004
1,2,7, 1.0000000000000000E+001, 1.1989998817443848E+000, 2.5814999389648438E+002, 3.0000001424923539E-004, 2.4999999368446879E-005, 1.7683873046875000E+004, 2.4999999368446879E-005, 1.7683873046875000E+004
2,3,7, 1.0000000000000000E+001, 1.2059999704360962E+000, 2.5816000366210938E+002, 3.0000001424923539E-004, 2.4999999368446879E-005, 1.7683873046875000E+004, 2.4999999368446879E-005, 1.7683853515625000E+004
3,4,7, 1.0000000000000000E+001, 1.2129999399185181E+000, 2.6314001464843750E+002, 5.0000002374872565E-004, 2.4999999368446879E-005, 3.8197160644531250E+003, 2.4999999368446879E-005, 3.8176088867187500E+003
4,1,8, 1.0000000000000000E+001, 1.1740000247955322E+000, 2.6314999389648438E+002, 5.0000002374872565E-004, 2.4999999368446879E-005, 3.8197160644531250E+003, 2.4999999368446879E-005, 3.8176721191406250E+003
5,2,8, 1.0000000000000000E+001, 1.1809999942779541E+000, 2.6316000366210938E+002, 5.0000002374872565E-004, 2.4999999368446879E-005, 3.8197160644531250E+003, 2.4999999368446879E-005, 3.8176589355468750E+003
6,3,8, 1.0000000000000000E+001, 1.1880000829696655E+000, 2.7314001464843750E+002, 1.0000000474974513E-003, 2.4999999368446879E-005, 4.7746450805664062E+002, 2.4999999368446879E-005, 4.7703851318359375E+002
7,4,8, 1.0000000000000000E+001, 1.1950000524520874E+000, 2.7314999389648438E+002, 1.0000000474974513E-003, 2.4999999368446879E-005, 4.7746450805664062E+002, 2.4999999368446879E-005, 4.7746450805664062E+002
8,1,9, 5.0000000000000000E+000, 1.1559998989105225E+000, 2.6000000000000000E+002, 9.0000003183376975E-006, 2.4999999368446879E-005, 6.5495827200000000E+008, 2.4999999368446879E-005, 4.7741804800000000E+008
9,2,9, 3.0000000000000000E+001, 1.1629998683929443E+000, 2.6800000000000000E+002, 9.4999996945261955E-003, 2.4999999368446879E-005, 5.5689120292663574E-001, 2.4999999368446879E-005, 5.5576264858245850E-001
10,3,9, 6.0000000000000000E+001, 1.1699999570846558E+000, 2.6800000000000000E+002, 1.0099999606609344E-002, 2.4999999368446879E-005, 4.6342244744300842E-001, 2.4999999368446879E-005, 3.5110981464385986E+000
11,4,9, 1.0000000000000000E+003, 1.1769999265670776E+000, 2.6800000000000000E+002, 1.0000000474974513E-003, 2.4999999368446879E-005, 4.7746450805664062E+002, 2.4999999368446879E-005, 4.4482394409179688E+002
0,1,10, 1.0000000000000000E+001, 1.1380000114440918E+000, 2.5814001464843750E+002, 3.0000001424923539E-004, 2.4999999441206455E-003, 1.7683872500000000E+006, 2.4999999441206455E-003, 1.7683872500000000E+006
1,2,10, 1.0000000000000000E+001, 1.1449999809265137E+000, 2.5814999389648438E+002, 3.0000001424923539E-004, 2.4999999441206455E-003, 1.7683872500000000E+006, 2.4999999441206455E-003, 1.7683872500000000E+006
2,3,10, 1.0000000000000000E+001, 1.1520000696182251E+000, 2.5816000366210938E+002, 3.0000001424923539E-004, 2.4999999441206455E-003, 1.7683872500000000E+006, 2.4999999441206455E-003, 1.7682013750000000E+006
3,4,10, 1.0000000000000000E+001, 1.1590000391006470E+000, 2.6314001464843750E+002, 5.0000002374872565E-004, 2.4999999441206455E-003, 3.8197159375000000E+005, 2.4999999441206455E-003, 3.6183568750000000E+005
4,1,11, 1.0000000000000000E+001, 1.1200000047683716E+000, 2.6314999389648438E+002, 5.0000002374872565E-004, 2.4999999441206455E-003, 3.8197159375000000E+005, 2.4999999441206455E-003, 3.6247434375000000E+005
5,2,11, 1.0000000000000000E+001, 1.1269999742507935E+000, 2.6316000366210938E+002, 5.0000002374872565E-004, 2.4999999441206455E-003, 3.8197159375000000E+005, 2.4999999441206455E-003, 3.6234268750000000E+005
6,3,11, 1.0000000000000000E+001, 1.1340000629425049E+000, 2.7314001464843750E+002, 1.0000000474974513E-003, 2.4999999441206455E-003, 4.7746449218750000E+004, 2.4999999441206455E-003, 4.3680062500000000E+004
7,4,11, 1.0000000000000000E+001, 1.1410000324249268E+000, 2.7314999389648438E+002, 1.0000000474974513E-003, 2.4999999441206455E-003, 4.7746449218750000E+004, 2.4999999441206455E-003, 4.7746449218750000E+004
8,1,12, 5.0000000000000000E+000, 1.1019999980926514E+000, 2.6000000000000000E+002, 9.0000003183376975E-006, 2.4999999441206455E-003, 6.5495826432000000E+010, 2.4999999441206455E-003, 4.7302836224000000E+010
9,2,12, 3.0000000000000000E+001, 1.1089999675750732E+000, 2.6800000000000000E+002, 9.4999996945261955E-003, 2.4999999441206455E-003, 5.5689121246337891E+001, 2.4999999441206455E-003, 5.0120212554931641E+001
10,3,12, 6.0000000000000000E+001, 1.1160000562667847E+000, 2.6800000000000000E+002, 1.0099999606609344E-002, 2.4999999441206455E-003, 4.6342247009277344E+001, 2.4999999441206455E-003, 3.2608816528320312E+002
11,4,12, 1.0000000000000000E+003, 1.1230000257492065E+000, 2.6800000000000000E+002, 1.0000000474974513E-003, 2.4999999441206455E-003, 4.7746449218750000E+004, 2.4999999441206455E-003, 4.2971804687500000E+004
