case,i,k,rho_kg_m3,temperature_k,qr,qi,qs,qg,qh,nr_per_kg,ni_per_kg,ns_per_kg,ng_per_kg,nh_per_kg,qvolg_m3_per_kg,qvolh_m3_per_kg,refl_10cm_dbz
2,3,9, 1.2300000190734863E+000, 2.4000000000000000E+002, 0.0000000000000000E+000, 1.9999999494757503E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.2893162500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,4,9, 1.2200000286102295E+000, 2.4100000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.0000002849847078E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.3953039550781250E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.2438705444335938E+001
4,1,10, 1.1299999952316284E+000, 2.4900000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2000000569969416E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9930944824218750E+002, 0.0000000000000000E+000, 7.0588243943348061E-006, 0.0000000000000000E+000, 4.7263519287109375E+001
5,2,10, 1.1200000047683716E+000, 2.5000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2000000569969416E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6976521301269531E+002, 0.0000000000000000E+000, 2.4000000848900527E-006, 0.0000000000000000E+000, 5.1910125732421875E+001
6,3,10, 1.1100000143051147E+000, 2.5100000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5000000130385160E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1190574645996094E+001, 0.0000000000000000E+000, 3.0000001061125658E-006, 6.2029117584228516E+001
7,4,10, 1.1000000238418579E+000, 2.5200000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5000000130385160E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.2169857025146484E+000, 0.0000000000000000E+000, 1.6666666624587378E-006, 6.4542541503906250E+001
8,1,11, 1.0099999904632568E+000, 2.6000000000000000E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.9999998989515007E-004, 7.9999997979030013E-004, 8.9999998454004526E-004, 5.6588403320312500E+002, 2.1220650000000000E+005, 9.5492901611328125E+002, 6.8209213256835938E+001, 2.1485910415649414E+000, 2.2857141175336437E-006, 1.1249999261053745E-006, 6.4781967163085938E+001
9,2,11, 1.0000000000000000E+000, 2.6100000000000000E+002, 1.9999999494757503E-004, 0.0000000000000000E+000, 1.0000000474974513E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.4147097656250000E+004, 0.0000000000000000E+000, 2.9841534423828125E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.6765525817871094E+001
10,3,11, 9.9000000953674316E-001, 2.6200000000000000E+002, 0.0000000000000000E+000, 5.0000002374872565E-004, 0.0000000000000000E+000, 2.0000000949949026E-003, 2.0000000949949026E-003, 0.0000000000000000E+000, 3.9297492187500000E+004, 0.0000000000000000E+000, 3.3910831451416016E+001, 1.7411816120147705E+000, 9.0909097707481124E-006, 3.0769231216254411E-006, 7.2593040466308594E+001
11,4,11, 9.8000001907348633E-001, 2.6300000000000000E+002, 5.0000002374872565E-004, 0.0000000000000000E+000, 5.0000002374872565E-004, 5.0000002374872565E-004, 5.0000002374872565E-004, 9.9999999747524271E-007, 0.0000000000000000E+000, 9.9999999747524271E-007, 9.9999999747524271E-007, 9.9999999747524271E-007, 2.9411767172859982E-006, 5.5555557310071890E-007, 1.1521398925781250E+002
12,1,12, 8.8999998569488525E-001, 2.7100000000000000E+002, 9.9999999600419720E-013, 9.9999998245167004E-014, 9.9999998245167004E-014, 9.9999999600419720E-013, 9.9999999600419720E-013, 1.0000000000000000E+005, 1.0000000000000000E+005, 1.0000000000000000E+005, 1.0000000000000000E+005, 1.0000000000000000E+005, 2.0000000072549875E-015, 1.1111111386703527E-015, 0.0000000000000000E+000
13,2,12, 8.7999999523162842E-001, 2.7200000000000000E+002, 9.9999997764825821E-003, 0.0000000000000000E+000, 8.0000003799796104E-003, 9.9999997764825821E-003, 1.4999999664723873E-002, 1.5278869628906250E+002, 0.0000000000000000E+000, 2.0958668518066406E+002, 5.4579863548278809E+000, 7.4241328239440918E-001, 1.6666666851961054E-005, 1.6666666851961054E-005, 9.3448898315429688E+001
14,3,12, 8.7000000476837158E-001, 2.7300000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 1.0000000474974513E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0557741165161133E+001, 2.9109261035919189E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.4152999877929688E+001
15,4,12, 8.6000001430511475E-001, 2.7400000000000000E+002, 6.9999997504055500E-004, 7.0000001869630069E-005, 3.0000001424923539E-004, 3.9999998989515007E-004, 5.0000002374872565E-004, 1.8338834228515625E+003, 6.8770625000000000E+005, 1.1190579101562500E+004, 3.4724691772460938E+002, 6.0978875160217285E+000, 1.4545454405379132E-006, 6.8965522359576426E-007, 5.4398311614990234E+001
0,1,13, 1.2500000000000000E+000, 2.3800000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,13, 1.2400000095367432E+000, 2.3900000000000000E+002, 7.9999997979030013E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.8419354248046875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.8160865783691406E+001
2,3,13, 1.2300000190734863E+000, 2.4000000000000000E+002, 0.0000000000000000E+000, 1.9999999494757503E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.2893162500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,4,13, 1.2200000286102295E+000, 2.4100000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.0000002849847078E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.3953039550781250E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.2438705444335938E+001
4,1,14, 1.1299999952316284E+000, 2.4900000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2000000569969416E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9930944824218750E+002, 0.0000000000000000E+000, 7.0588243943348061E-006, 0.0000000000000000E+000, 4.7263519287109375E+001
5,2,14, 1.1200000047683716E+000, 2.5000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2000000569969416E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6976521301269531E+002, 0.0000000000000000E+000, 2.4000000848900527E-006, 0.0000000000000000E+000, 5.1910125732421875E+001
6,3,14, 1.1100000143051147E+000, 2.5100000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5000000130385160E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1190574645996094E+001, 0.0000000000000000E+000, 3.0000001061125658E-006, 6.2029117584228516E+001
7,4,14, 1.1000000238418579E+000, 2.5200000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5000000130385160E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.2169857025146484E+000, 0.0000000000000000E+000, 1.6666666624587378E-006, 6.4542541503906250E+001
8,1,15, 1.0099999904632568E+000, 2.6000000000000000E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.9999998989515007E-004, 7.9999997979030013E-004, 8.9999998454004526E-004, 5.6588403320312500E+002, 2.1220650000000000E+005, 9.5492901611328125E+002, 6.8209213256835938E+001, 2.1485910415649414E+000, 2.2857141175336437E-006, 1.1249999261053745E-006, 6.4781967163085938E+001
9,2,15, 1.0000000000000000E+000, 2.6100000000000000E+002, 1.9999999494757503E-004, 0.0000000000000000E+000, 1.0000000474974513E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.4147097656250000E+004, 0.0000000000000000E+000, 2.9841534423828125E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.6765525817871094E+001
10,3,15, 9.9000000953674316E-001, 2.6200000000000000E+002, 0.0000000000000000E+000, 5.0000002374872565E-004, 0.0000000000000000E+000, 2.0000000949949026E-003, 2.0000000949949026E-003, 0.0000000000000000E+000, 3.9297492187500000E+004, 0.0000000000000000E+000, 3.3910831451416016E+001, 1.7411816120147705E+000, 9.0909097707481124E-006, 3.0769231216254411E-006, 7.2593040466308594E+001
11,4,15, 9.8000001907348633E-001, 2.6300000000000000E+002, 5.0000002374872565E-004, 0.0000000000000000E+000, 5.0000002374872565E-004, 5.0000002374872565E-004, 5.0000002374872565E-004, 9.9999999747524271E-007, 0.0000000000000000E+000, 9.9999999747524271E-007, 9.9999999747524271E-007, 9.9999999747524271E-007, 2.9411767172859982E-006, 5.5555557310071890E-007, 1.1521398925781250E+002
12,1,16, 8.8999998569488525E-001, 2.7100000000000000E+002, 9.9999999600419720E-013, 9.9999998245167004E-014, 9.9999998245167004E-014, 9.9999999600419720E-013, 9.9999999600419720E-013, 1.0000000000000000E+005, 1.0000000000000000E+005, 1.0000000000000000E+005, 1.0000000000000000E+005, 1.0000000000000000E+005, 2.0000000072549875E-015, 1.1111111386703527E-015, 0.0000000000000000E+000
13,2,16, 8.7999999523162842E-001, 2.7200000000000000E+002, 9.9999997764825821E-003, 0.0000000000000000E+000, 8.0000003799796104E-003, 9.9999997764825821E-003, 1.4999999664723873E-002, 1.5278869628906250E+002, 0.0000000000000000E+000, 2.0958668518066406E+002, 5.4579863548278809E+000, 7.4241328239440918E-001, 1.6666666851961054E-005, 1.6666666851961054E-005, 9.3448898315429688E+001
14,3,16, 8.7000000476837158E-001, 2.7300000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 1.0000000474974513E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0557741165161133E+001, 2.9109261035919189E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.4152999877929688E+001
15,4,16, 8.6000001430511475E-001, 2.7400000000000000E+002, 6.9999997504055500E-004, 7.0000001869630069E-005, 3.0000001424923539E-004, 3.9999998989515007E-004, 5.0000002374872565E-004, 1.8338834228515625E+003, 6.8770625000000000E+005, 1.1190579101562500E+004, 3.4724691772460938E+002, 6.0978875160217285E+000, 1.4545454405379132E-006, 6.8965522359576426E-007, 5.4398311614990234E+001
