case,i,k,dt_s,pressure_pa,exner,rho_kg_m3,temperature_k,supersaturation_percent,qv_before,theta_before_k,qc_before,nc_before_per_kg,qnn_before_per_kg,qv_after,theta_after_k,qc_after,nc_after_per_kg,qnn_after_per_kg
10,3,3, 1.0000000000000000E+000, 8.0578000000000000E+004, 9.4012939929962158E-001, 9.9469447135925293E-001, 2.8083999633789062E+002,-5.0000000000000000E-001, 8.0689610913395882E-003, 2.9872482299804688E+002, 1.0000000474974513E-003, 9.9999999590400000E+011, 3.6734691200000000E+008, 8.0860778689384460E-003, 2.9867980957031250E+002, 9.8288361914455891E-004, 2.9330759680000000E+010, 4.0816326400000000E+008
11,4,3, 5.0000000000000000E+000, 8.0367000000000000E+004, 9.3942493200302124E-001, 9.9138563871383667E-001, 2.8101000976562500E+002, 2.0000000298023224E-001, 8.2421218976378441E-003, 2.9912982177734375E+002, 9.9999997473787516E-006, 1.0000000000000000E+003, 2.8571427200000000E+008, 8.2421218976378441E-003, 2.9912982177734375E+002, 1.0000066140491981E-005, 1.1052494140625000E+004, 2.8571427200000000E+008
0,1,4, 1.0000000000000000E+000, 7.1500000000000000E+004, 9.0854537487030029E-001, 8.6299175024032593E-001, 2.8675000000000000E+002,-2.0000000000000000E+001, 1.0842273943126202E-002, 3.1561441040039062E+002, 1.0000000116860974E-007, 2.0000000000000000E+008, 8.1632656000000000E+007, 1.0842373594641685E-002, 3.1561413574218750E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8166780800000000E+008
1,2,4, 5.0000000000000000E+000, 7.1289000000000000E+004, 9.0777802467346191E-001, 8.5878640413284302E-001, 2.8692001342773438E+002,-5.0000000000000000E+000, 1.3056904077529907E-002, 3.1606848144531250E+002, 4.9999998736893758E-005, 1.5000000000000000E+008, 2.0408163200000000E+008, 1.3106903992593288E-002, 3.1593310546875000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.5415670400000000E+008
2,3,4, 1.0000000000000000E+001, 7.1078000000000000E+004, 9.0700906515121460E-001, 8.5535496473312378E-001, 2.8708999633789062E+002,-1.0000000000000000E+000, 1.3798638246953487E-002, 3.1652383422851562E+002, 5.0000002374872565E-004, 2.5000000000000000E+008, 3.0612243200000000E+008, 1.3841873966157436E-002, 3.1640670776367188E+002, 4.5676418812945485E-004, 2.3054387200000000E+008, 3.2557856000000000E+008
3,4,4, 3.0000000000000000E+001, 7.0867000000000000E+004, 9.0623843669891357E-001, 8.5214561223983765E-001, 2.8726000976562500E+002,-1.0000000149011612E-001, 1.4120438136160374E-002, 3.1698062133789062E+002, 9.9999997473787516E-005, 3.0000000000000000E+008, 3.6734691200000000E+008, 1.4124784618616104E-002, 3.1696884155273438E+002, 9.5653071184642613E-005, 2.8826329600000000E+008, 3.7908361600000000E+008
4,1,5, 6.0000000000000000E+001, 1.0000000000000000E+005, 1.0000000000000000E+000, 1.2978941202163696E+000, 2.6800000000000000E+002, 0.0000000000000000E+000, 2.5905808433890343E-003, 2.6800000000000000E+002, 9.9999997473787516E-005, 2.0000000000000000E+008, 4.0816326400000000E+008, 2.5905808433890343E-003, 2.6800000000000000E+002, 9.9999997473787516E-005, 2.0000000000000000E+008, 4.0816326400000000E+008
5,2,5, 1.0000000000000000E+000, 9.9789000000000000E+004, 9.9939632415771484E-001, 1.2943035364151001E+000, 2.6817001342773438E+002, 9.9999997764825821E-003, 2.6300710160285234E-003, 2.6833200073242188E+002, 9.9999997473787516E-005, 1.0000000000000000E+008, 3.2653062400000000E+008, 2.6300693862140179E-003, 2.6833200073242188E+002, 1.0000156180467457E-004, 1.0000000000000000E+008, 3.2653062400000000E+008
6,3,5, 5.0000000000000000E+000, 9.9578000000000000E+004, 9.9879169464111328E-001, 1.2907155752182007E+000, 2.6833999633789062E+002, 1.0000000149011612E-001, 2.6722662150859833E-003, 2.6866461181640625E+002, 1.9999999494757503E-004, 2.0000000000000000E+008, 2.4489796800000000E+008, 2.6708971709012985E-003, 2.6866802978515625E+002, 2.0136909733992070E-004, 2.0000000000000000E+008, 2.4489798400000000E+008
7,4,5, 1.0000000000000000E+001, 9.9367000000000000E+004, 9.9818617105484009E-001, 1.2871252298355103E+000, 2.6851000976562500E+002, 4.9000000953674316E-001, 2.7232270222157240E-003, 2.6899792480468750E+002, 3.0000001424923539E-004, 3.5000000000000000E+008, 1.6326531200000000E+008, 2.7151992544531822E-003, 2.6901803588867188E+002, 3.0802775290794671E-004, 3.5000000000000000E+008, 1.6326531200000000E+008
8,1,6, 3.0000000000000000E+001, 9.0500000000000000E+004, 9.7186505794525146E-001, 1.1464483737945557E+000, 2.7425000000000000E+002, 5.0000000000000000E-001, 4.5699179172515869E-003, 2.8218939208984375E+002, 4.9999998736893758E-005, 5.0000000000000000E+007, 1.0204081600000000E+008, 4.5589474029839039E-003, 2.8221746826171875E+002, 6.0970312915742397E-005, 5.0000000000000000E+007, 1.0204081600000000E+008
9,2,6, 6.0000000000000000E+001, 9.0289000000000000E+004, 9.7121673822402954E-001, 1.1430366039276123E+000, 2.7442001342773438E+002,-9.9999997764825821E-003, 4.6135163865983486E-003, 2.8255279541015625E+002, 9.9999999600419720E-013, 1.0000000000000000E+008, 4.0816328000000000E+007, 4.6135163865983486E-003, 2.8255279541015625E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.4523516800000000E+008
10,3,6, 1.0000000000000000E+000, 9.0078000000000000E+004, 9.7056728601455688E-001, 1.1396285295486450E+000, 2.7458999633789062E+002,-5.0000000000000000E-001, 4.6582999639213085E-003, 2.8291702270507812E+002, 1.0000000474974513E-003, 9.9999999590400000E+011, 3.6734691200000000E+008, 4.6710404567420483E-003, 2.8288436889648438E+002, 9.8725955467671156E-004, 2.9461344256000000E+010, 4.0816326400000000E+008
11,4,6, 5.0000000000000000E+000, 8.9867000000000000E+004, 9.6991682052612305E-001, 1.1361855268478394E+000, 2.7476000976562500E+002, 2.0000000298023224E-001, 4.7598765231668949E-003, 2.8328204345703125E+002, 9.9999997473787516E-006, 1.0000000000000000E+003, 2.8571427200000000E+008, 4.7598765231668949E-003, 2.8328204345703125E+002, 1.0000049769587349E-005, 1.1052476562500000E+004, 2.8571427200000000E+008
0,1,7, 1.0000000000000000E+000, 8.1000000000000000E+004, 9.4153439998626709E-001, 1.0021851062774658E+000, 2.8050000000000000E+002,-2.0000000000000000E+001, 6.3055045902729034E-003, 2.9791793823242188E+002, 1.0000000116860974E-007, 2.0000000000000000E+008, 8.1632656000000000E+007, 6.3056047074496746E-003, 2.9791766357421875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8166780800000000E+008
1,2,7, 5.0000000000000000E+000, 8.0789000000000000E+004, 9.4083255529403687E-001, 9.9818933010101318E-001, 2.8067001342773438E+002,-5.0000000000000000E+000, 7.5951674953103065E-003, 2.9832089233398438E+002, 4.9999998736893758E-005, 1.5000000000000000E+008, 2.0408163200000000E+008, 7.6451674103736877E-003, 2.9818948364257812E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.5415670400000000E+008
2,3,7, 1.0000000000000000E+001, 8.0578000000000000E+004, 9.4012939929962158E-001, 9.9471884965896606E-001, 2.8083999633789062E+002,-1.0000000000000000E+000, 8.0284141004085541E-003, 2.9872482299804688E+002, 5.0000002374872565E-004, 2.5000000000000000E+008, 3.0612243200000000E+008, 8.0626467242836952E-003, 2.9863479614257812E+002, 4.6576748718507588E-004, 2.3459534400000000E+008, 3.2152710400000000E+008
3,4,7, 3.0000000000000000E+001, 8.0367000000000000E+004, 9.3942493200302124E-001, 9.9140042066574097E-001, 2.8101000976562500E+002,-1.0000000149011612E-001, 8.2174455747008324E-003, 2.9912982177734375E+002, 9.9999997473787516E-005, 3.0000000000000000E+008, 3.6734691200000000E+008, 8.2208923995494843E-003, 2.9912075805664062E+002, 9.6553194453008473E-005, 2.9069363200000000E+008, 3.7665328000000000E+008
4,1,8, 6.0000000000000000E+001, 7.1500000000000000E+004, 9.0854537487030029E-001, 8.6158120632171631E-001, 2.8675000000000000E+002, 0.0000000000000000E+000, 1.3552842661738396E-002, 3.1561441040039062E+002, 9.9999997473787516E-005, 2.0000000000000000E+008, 4.0816326400000000E+008, 1.3552842661738396E-002, 3.1561441040039062E+002, 9.9999997473787516E-005, 2.0000000000000000E+008, 4.0816326400000000E+008
5,2,8, 1.0000000000000000E+000, 7.1289000000000000E+004, 9.0777802467346191E-001, 8.5842978954315186E-001, 2.8692001342773438E+002, 9.9999997764825821E-003, 1.3745483942329884E-002, 3.1606848144531250E+002, 9.9999997473787516E-005, 1.0000000000000000E+008, 3.2653062400000000E+008, 1.3745480217039585E-002, 3.1606848144531250E+002, 1.0000389011111110E-004, 1.0000000000000000E+008, 3.2653062400000000E+008
6,3,8, 5.0000000000000000E+000, 7.1078000000000000E+004, 9.0700906515121460E-001, 8.5527586936950684E-001, 2.8708999633789062E+002, 1.0000000149011612E-001, 1.3951957225799561E-002, 3.1652383422851562E+002, 1.9999999494757503E-004, 2.0000000000000000E+008, 2.4489796800000000E+008, 1.3948470354080200E-002, 3.1653329467773438E+002, 2.0348733232822269E-004, 2.0000000000000000E+008, 2.4489796800000000E+008
7,4,8, 1.0000000000000000E+001, 7.0867000000000000E+004, 9.0623843669891357E-001, 8.5210287570953369E-001, 2.8726000976562500E+002, 4.9000000953674316E-001, 1.4203831553459167E-002, 3.1698062133789062E+002, 3.0000001424923539E-004, 3.5000000000000000E+008, 1.6326531200000000E+008, 1.4183206483721733E-002, 3.1703652954101562E+002, 3.2062493846751750E-004, 3.5000000000000000E+008, 1.6326531200000000E+008
8,1,9, 3.0000000000000000E+001, 1.0000000000000000E+005, 1.0000000000000000E+000, 1.2978839874267578E+000, 2.6800000000000000E+002, 5.0000000000000000E-001, 2.6035336777567863E-003, 2.6800000000000000E+002, 4.9999998736893758E-005, 5.0000000000000000E+007, 1.0204081600000000E+008, 2.5958018377423286E-003, 2.6801934814453125E+002, 5.7731835113372654E-005, 5.0000000000000000E+007, 1.0204081600000000E+008
9,2,9, 6.0000000000000000E+001, 9.9789000000000000E+004, 9.9939632415771484E-001, 1.2943038940429688E+000, 2.6817001342773438E+002,-9.9999997764825821E-003, 2.6295448187738657E-003, 2.6833200073242188E+002, 9.9999999600419720E-013, 1.0000000000000000E+008, 4.0816328000000000E+007, 2.6295448187738657E-003, 2.6833200073242188E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.4523518400000000E+008
10,3,9, 1.0000000000000000E+000, 9.9578000000000000E+004, 9.9879169464111328E-001, 1.2907279729843140E+000, 2.6833999633789062E+002,-5.0000000000000000E-001, 2.6562486309558153E-003, 2.6866461181640625E+002, 1.0000000474974513E-003, 9.9999999590400000E+011, 3.6734691200000000E+008, 2.6651085354387760E-003, 2.6864242553710938E+002, 9.9114014301449060E-004, 2.9577144320000000E+010, 4.0816326400000000E+008
11,4,9, 5.0000000000000000E+000, 9.9367000000000000E+004, 9.9818617105484009E-001, 1.2871313095092773E+000, 2.6851000976562500E+002, 2.0000000298023224E-001, 2.7153680566698313E-003, 2.6899792480468750E+002, 9.9999997473787516E-006, 1.0000000000000000E+003, 2.8571427200000000E+008, 2.7153680566698313E-003, 2.6899792480468750E+002, 1.0000034308177419E-005, 1.1052459960937500E+004, 2.8571427200000000E+008
0,1,10, 1.0000000000000000E+000, 9.0500000000000000E+004, 9.7186505794525146E-001, 1.1470967531204224E+000, 2.7425000000000000E+002,-2.0000000000000000E+001, 3.6377457436174154E-003, 2.8218939208984375E+002, 1.0000000116860974E-007, 2.0000000000000000E+008, 8.1632656000000000E+007, 3.6378456279635429E-003, 2.8218914794921875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8166780800000000E+008
1,2,10, 5.0000000000000000E+000, 9.0289000000000000E+004, 9.7121673822402954E-001, 1.1431962251663208E+000, 2.7442001342773438E+002,-5.0000000000000000E+000, 4.3832790106534958E-003, 2.8255279541015625E+002, 4.9999998736893758E-005, 1.5000000000000000E+008, 2.0408163200000000E+008, 4.4332789257168770E-003, 2.8242471313476562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.5415670400000000E+008
2,3,10, 1.0000000000000000E+001, 9.0078000000000000E+004, 9.7056728601455688E-001, 1.1396447420120239E+000, 2.7458999633789062E+002,-1.0000000000000000E+000, 4.6348911710083485E-003, 2.8291702270507812E+002, 5.0000002374872565E-004, 2.5000000000000000E+008, 3.0612243200000000E+008, 4.6603726223111153E-003, 2.8285171508789062E+002, 4.7451868886128068E-004, 2.3853342400000000E+008, 3.1758902400000000E+008
3,4,10, 3.0000000000000000E+001, 8.9867000000000000E+004, 9.6991682052612305E-001, 1.1361954212188721E+000, 2.7476000976562500E+002,-1.0000000149011612E-001, 4.7456258907914162E-003, 2.8328204345703125E+002, 9.9999997473787516E-005, 3.0000000000000000E+008, 3.6734691200000000E+008, 4.7481958754360676E-003, 2.8327545166015625E+002, 9.7429874585941434E-005, 2.9306067200000000E+008, 3.7428627200000000E+008
4,1,11, 6.0000000000000000E+001, 8.1000000000000000E+004, 9.4153439998626709E-001, 1.0012291669845581E+000, 2.8050000000000000E+002, 0.0000000000000000E+000, 7.8818807378411293E-003, 2.9791793823242188E+002, 9.9999997473787516E-005, 2.0000000000000000E+008, 4.0816326400000000E+008, 7.8818807378411293E-003, 2.9791793823242188E+002, 9.9999997473787516E-005, 2.0000000000000000E+008, 4.0816326400000000E+008
5,2,11, 1.0000000000000000E+000, 8.0789000000000000E+004, 9.4083255529403687E-001, 9.9794733524322510E-001, 2.8067001342773438E+002, 9.9999997764825821E-003, 7.9957135021686554E-003, 2.9832089233398438E+002, 9.9999997473787516E-005, 1.0000000000000000E+008, 3.2653062400000000E+008, 7.9957107082009315E-003, 2.9832089233398438E+002, 1.0000306792790070E-004, 1.0000000000000000E+008, 3.2653062400000000E+008
6,3,11, 5.0000000000000000E+000, 8.0578000000000000E+004, 9.4012939929962158E-001, 9.9466520547866821E-001, 2.8083999633789062E+002, 1.0000000149011612E-001, 8.1176189705729485E-003, 2.9872482299804688E+002, 1.9999999494757503E-004, 2.0000000000000000E+008, 2.4489796800000000E+008, 8.1148929893970490E-003, 2.9873199462890625E+002, 2.0272578694857657E-004, 2.0000000000000000E+008, 2.4489796800000000E+008
7,4,11, 1.0000000000000000E+001, 8.0367000000000000E+004, 9.3942493200302124E-001, 9.9137127399444580E-001, 2.8101000976562500E+002, 4.9000000953674316E-001, 8.2659767940640450E-003, 2.9912982177734375E+002, 3.0000001424923539E-004, 3.5000000000000000E+008, 1.6326531200000000E+008, 8.2498919218778610E-003, 2.9917214965820312E+002, 3.1608511926606297E-004, 3.5000000000000000E+008, 1.6326531200000000E+008
8,1,12, 3.0000000000000000E+001, 7.1500000000000000E+004, 9.0854537487030029E-001, 8.6154603958129883E-001, 2.8675000000000000E+002, 5.0000000000000000E-001, 1.3620606623589993E-002, 3.1561441040039062E+002, 4.9999998736893758E-005, 5.0000000000000000E+007, 1.0204081600000000E+008, 1.3601700775325298E-002, 3.1566555786132812E+002, 6.8905770604033023E-005, 4.9999996000000000E+007, 1.0204081600000000E+008
9,2,12, 6.0000000000000000E+001, 7.1289000000000000E+004, 9.0777802467346191E-001, 8.5843127965927124E-001, 2.8692001342773438E+002,-9.9999997764825821E-003, 1.3742734678089619E-002, 3.1606848144531250E+002, 9.9999999600419720E-013, 1.0000000000000000E+008, 4.0816328000000000E+007, 1.3742734678089619E-002, 3.1606848144531250E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.4523516800000000E+008
10,3,12, 1.0000000000000000E+000, 7.1078000000000000E+004, 9.0700906515121460E-001, 8.5531902313232422E-001, 2.8708999633789062E+002,-5.0000000000000000E-001, 1.3868328183889389E-002, 3.1652383422851562E+002, 1.0000000474974513E-003, 9.9999999590400000E+011, 3.6734691200000000E+008, 1.3889946043491364E-002, 3.1646527099609375E+002, 9.7838218789547682E-004, 2.9196429312000000E+010, 4.0816326400000000E+008
11,4,12, 5.0000000000000000E+000, 7.0867000000000000E+004, 9.0623843669891357E-001, 8.5212391614913940E-001, 2.8726000976562500E+002, 2.0000000298023224E-001, 1.4162841252982616E-002, 3.1698062133789062E+002, 9.9999997473787516E-006, 1.0000000000000000E+003, 2.8571427200000000E+008, 1.4162841252982616E-002, 3.1698062133789062E+002, 1.0000084330386017E-005, 1.1052514648437500E+004, 2.8571427200000000E+008
