phase,case,i,k,rho_kg_m3,qv,qc,qr,qi,qs,qg,qh,nc_per_kg,nr_per_kg,ni_per_kg,ns_per_kg,ng_per_kg,nh_per_kg,qnn_per_kg,qvolg_m3_per_kg,qvolh_m3_per_kg
before,2,3,3, 1.0810587406158447E+000, 9.9999997764825821E-003, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,3,4,3, 1.0810587406158447E+000, 9.9999997764825821E-003, 3.4999997296836227E-005, 6.9999994593672454E-005, 5.2499999583233148E-005, 8.7499996880069375E-005, 1.0499999916646630E-004, 1.2250000145286322E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,4,1,4, 1.0155607461929321E+000, 9.9999997764825821E-003, 1.9999999494757503E-004, 3.0000001424923539E-004, 1.5000000712461770E-004, 2.5000001187436283E-004, 3.4999998752027750E-004, 4.4999999227002263E-004, 8.0000000000000000E+007, 4.0000000000000000E+005, 2.0000000000000000E+006, 3.0000000000000000E+005, 2.0000000000000000E+005, 8.0000000000000000E+004, 4.0816326400000000E+008, 5.3846150649405899E-007, 5.2941174999432405E-007
before,5,2,4, 1.0155607461929321E+000, 9.9999997764825821E-003, 4.5000000682193786E-005, 9.0000001364387572E-005, 6.7499997385311872E-005, 1.1249999806750566E-004, 1.3499999477062374E-004, 1.5750000602565706E-004,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.0816326400000000E+008,-1.0000000000000000E+000,-1.0000000000000000E+000
before,6,3,4, 1.0155607461929321E+000, 9.9999997764825821E-003, 4.9999998736893758E-005, 9.9999997473787516E-005, 7.4999996286351234E-005, 1.2499999138526618E-004, 1.4999999257270247E-004, 1.7500000831205398E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,7,4,4, 1.0155607461929321E+000, 9.9999997764825821E-003, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,0,1,5, 9.5403099060058594E-001, 9.9999997764825821E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,1,2,5, 9.5403099060058594E-001, 9.9999997764825821E-003, 4.9999999122583502E-014, 4.9999999800209860E-013, 4.9999999122583502E-014, 4.9999999122583502E-014, 4.9999999800209860E-013, 4.9999999800209860E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,2,3,5, 9.5403099060058594E-001, 9.9999997764825821E-003, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,3,4,5, 9.5403099060058594E-001, 9.9999997764825821E-003, 3.4999997296836227E-005, 6.9999994593672454E-005, 5.2499999583233148E-005, 8.7499996880069375E-005, 1.0499999916646630E-004, 1.2250000145286322E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,4,1,6, 8.9622914791107178E-001, 9.9999997764825821E-003, 1.9999999494757503E-004, 3.0000001424923539E-004, 1.5000000712461770E-004, 2.5000001187436283E-004, 3.4999998752027750E-004, 4.4999999227002263E-004, 8.0000000000000000E+007, 4.0000000000000000E+005, 2.0000000000000000E+006, 3.0000000000000000E+005, 2.0000000000000000E+005, 8.0000000000000000E+004, 4.0816326400000000E+008, 5.3846150649405899E-007, 5.2941174999432405E-007
before,5,2,6, 8.9622914791107178E-001, 9.9999997764825821E-003, 4.5000000682193786E-005, 9.0000001364387572E-005, 6.7499997385311872E-005, 1.1249999806750566E-004, 1.3499999477062374E-004, 1.5750000602565706E-004,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.0816326400000000E+008,-1.0000000000000000E+000,-1.0000000000000000E+000
before,6,3,6, 8.9622914791107178E-001, 9.9999997764825821E-003, 4.9999998736893758E-005, 9.9999997473787516E-005, 7.4999996286351234E-005, 1.2499999138526618E-004, 1.4999999257270247E-004, 1.7500000831205398E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,7,4,6, 8.9622914791107178E-001, 9.9999997764825821E-003, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,0,1,7, 8.4192937612533569E-001, 9.9999997764825821E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,1,2,7, 8.4192937612533569E-001, 9.9999997764825821E-003, 4.9999999122583502E-014, 4.9999999800209860E-013, 4.9999999122583502E-014, 4.9999999122583502E-014, 4.9999999800209860E-013, 4.9999999800209860E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,2,3,7, 8.4192937612533569E-001, 9.9999997764825821E-003, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,3,4,7, 8.4192937612533569E-001, 9.9999997764825821E-003, 3.4999997296836227E-005, 6.9999994593672454E-005, 5.2499999583233148E-005, 8.7499996880069375E-005, 1.0499999916646630E-004, 1.2250000145286322E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,4,1,8, 7.9091948270797729E-001, 9.9999997764825821E-003, 1.9999999494757503E-004, 3.0000001424923539E-004, 1.5000000712461770E-004, 2.5000001187436283E-004, 3.4999998752027750E-004, 4.4999999227002263E-004, 8.0000000000000000E+007, 4.0000000000000000E+005, 2.0000000000000000E+006, 3.0000000000000000E+005, 2.0000000000000000E+005, 8.0000000000000000E+004, 4.0816326400000000E+008, 5.3846150649405899E-007, 5.2941174999432405E-007
before,5,2,8, 7.9091948270797729E-001, 9.9999997764825821E-003, 4.5000000682193786E-005, 9.0000001364387572E-005, 6.7499997385311872E-005, 1.1249999806750566E-004, 1.3499999477062374E-004, 1.5750000602565706E-004,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.0816326400000000E+008,-1.0000000000000000E+000,-1.0000000000000000E+000
before,6,3,8, 7.9091948270797729E-001, 9.9999997764825821E-003, 4.9999998736893758E-005, 9.9999997473787516E-005, 7.4999996286351234E-005, 1.2499999138526618E-004, 1.4999999257270247E-004, 1.7500000831205398E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,7,4,8, 7.9091948270797729E-001, 9.9999997764825821E-003, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,0,1,9, 7.4300009012222290E-001, 9.9999997764825821E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,1,2,9, 7.4300009012222290E-001, 9.9999997764825821E-003, 4.9999999122583502E-014, 4.9999999800209860E-013, 4.9999999122583502E-014, 4.9999999122583502E-014, 4.9999999800209860E-013, 4.9999999800209860E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,2,3,9, 7.4300009012222290E-001, 9.9999997764825821E-003, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,3,4,9, 7.4300009012222290E-001, 9.9999997764825821E-003, 3.4999997296836227E-005, 6.9999994593672454E-005, 5.2499999583233148E-005, 8.7499996880069375E-005, 1.0499999916646630E-004, 1.2250000145286322E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,4,1,10, 6.9798398017883301E-001, 9.9999997764825821E-003, 1.9999999494757503E-004, 3.0000001424923539E-004, 1.5000000712461770E-004, 2.5000001187436283E-004, 3.4999998752027750E-004, 4.4999999227002263E-004, 8.0000000000000000E+007, 4.0000000000000000E+005, 2.0000000000000000E+006, 3.0000000000000000E+005, 2.0000000000000000E+005, 8.0000000000000000E+004, 4.0816326400000000E+008, 5.3846150649405899E-007, 5.2941174999432405E-007
before,5,2,10, 6.9798398017883301E-001, 9.9999997764825821E-003, 4.5000000682193786E-005, 9.0000001364387572E-005, 6.7499997385311872E-005, 1.1249999806750566E-004, 1.3499999477062374E-004, 1.5750000602565706E-004,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.0816326400000000E+008,-1.0000000000000000E+000,-1.0000000000000000E+000
before,6,3,10, 6.9798398017883301E-001, 9.9999997764825821E-003, 4.9999998736893758E-005, 9.9999997473787516E-005, 7.4999996286351234E-005, 1.2499999138526618E-004, 1.4999999257270247E-004, 1.7500000831205398E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,7,4,10, 6.9798398017883301E-001, 9.9999997764825821E-003, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,0,1,11, 6.5569531917572021E-001, 9.9999997764825821E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,1,2,11, 6.5569531917572021E-001, 9.9999997764825821E-003, 4.9999999122583502E-014, 4.9999999800209860E-013, 4.9999999122583502E-014, 4.9999999122583502E-014, 4.9999999800209860E-013, 4.9999999800209860E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,2,3,11, 6.5569531917572021E-001, 9.9999997764825821E-003, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,3,4,11, 6.5569531917572021E-001, 9.9999997764825821E-003, 3.4999997296836227E-005, 6.9999994593672454E-005, 5.2499999583233148E-005, 8.7499996880069375E-005, 1.0499999916646630E-004, 1.2250000145286322E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,4,1,12, 6.1596870422363281E-001, 9.9999997764825821E-003, 1.9999999494757503E-004, 3.0000001424923539E-004, 1.5000000712461770E-004, 2.5000001187436283E-004, 3.4999998752027750E-004, 4.4999999227002263E-004, 8.0000000000000000E+007, 4.0000000000000000E+005, 2.0000000000000000E+006, 3.0000000000000000E+005, 2.0000000000000000E+005, 8.0000000000000000E+004, 4.0816326400000000E+008, 5.3846150649405899E-007, 5.2941174999432405E-007
before,5,2,12, 6.1596870422363281E-001, 9.9999997764825821E-003, 4.5000000682193786E-005, 9.0000001364387572E-005, 6.7499997385311872E-005, 1.1249999806750566E-004, 1.3499999477062374E-004, 1.5750000602565706E-004,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.0816326400000000E+008,-1.0000000000000000E+000,-1.0000000000000000E+000
before,6,3,12, 6.1596870422363281E-001, 9.9999997764825821E-003, 4.9999998736893758E-005, 9.9999997473787516E-005, 7.4999996286351234E-005, 1.2499999138526618E-004, 1.4999999257270247E-004, 1.7500000831205398E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,7,4,12, 6.1596870422363281E-001, 9.9999997764825821E-003, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
after,0,1,1, 1.2250000238418579E+000, 9.9999997764825821E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
after,1,2,1, 1.2250000238418579E+000, 9.9999997764825821E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
after,2,3,1, 1.2250000238418579E+000, 1.0000005364418030E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
after,3,4,1, 1.2250000238418579E+000, 9.9999997764825821E-003, 3.4999997296836227E-005, 6.9999994593672454E-005, 5.2499999583233148E-005, 8.7499996880069375E-005, 1.0499999916646630E-004, 1.2250000145286322E-004, 1.1461769000000000E+007, 1.5783468017578125E+003, 1.1140841406250000E+005, 4.2665286254882812E+002, 1.2006204986572266E+002, 1.5332285881042480E+001, 3.9670147200000000E+008, 1.5000000530562829E-007, 1.3611111171485391E-007
after,4,1,2, 1.1507810354232788E+000, 9.9999997764825821E-003, 1.9999999494757503E-004, 3.0000001424923539E-004, 1.5000000712461770E-004, 2.5000001187436283E-004, 3.4999998752027750E-004, 4.4999999227002263E-004, 8.0000000000000000E+007, 4.0000000000000000E+005, 2.0000000000000000E+006, 3.0000000000000000E+005, 2.0000000000000000E+005, 8.0000000000000000E+004, 4.0816326400000000E+008, 5.3846150649405899E-007, 5.2941174999432405E-007
after,5,2,2, 1.1507810354232788E+000, 9.9999997764825821E-003, 4.5000000682193786E-005, 9.0000001364387572E-005, 6.7499997385311872E-005, 1.1249999806750566E-004, 1.3499999477062374E-004, 1.5750000602565706E-004, 1.4736560000000000E+007, 1.7613518066406250E+003, 1.4323937500000000E+005, 4.7612210083007812E+002, 1.3398291015625000E+002, 1.7110023498535156E+001, 3.9342668800000000E+008, 1.9285712937744393E-007, 1.7500001092685125E-007
after,6,3,2, 1.1507810354232788E+000, 9.9999997764825821E-003, 4.9999998736893758E-005, 9.9999997473787516E-005, 7.4999996286351234E-005, 1.2499999138526618E-004, 1.4999999257270247E-004, 1.7500000831205398E-004, 1.6373956000000000E+007, 1.8083625488281250E+003, 1.5915487500000000E+005, 4.8882986450195312E+002, 1.3755894470214844E+002, 1.7566690444946289E+001, 3.9178928000000000E+008, 2.1428570562420646E-007, 1.9444445342742256E-007
after,7,4,2, 1.1507810354232788E+000, 1.0000061243772507E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
after,0,1,3, 1.0810587406158447E+000, 9.9999997764825821E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816329600000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
after,1,2,3, 1.0810587406158447E+000, 9.9999997764825821E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816329600000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
after,2,3,3, 1.0810587406158447E+000, 1.0000005364418030E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816329600000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
after,3,4,3, 1.0810587406158447E+000, 9.9999997764825821E-003, 3.4999997296836227E-005, 6.9999994593672454E-005, 5.2499999583233148E-005, 8.7499996880069375E-005, 1.0499999916646630E-004, 1.2250000145286322E-004, 1.1461770000000000E+007, 1.7334749755859375E+003, 1.1140841406250000E+005, 4.6858651733398438E+002, 1.3186236572265625E+002, 1.6839221954345703E+001, 3.9670153600000000E+008, 1.5000000530562829E-007, 1.3611111171485391E-007
