case,column,k,dt_s,rho_kg_m3,dz_m,qh_before,nh_before_per_kg,qvolh_before_m3_per_kg,qh_after,nh_after_per_kg,qvolh_after_m3_per_kg,hailncv_kg_m2
1,1,3, 5.0000000000000000E-001, 1.1759999990463257E+000, 8.2000000000000000E+001, 1.5000000712461770E-004, 1.5498649902343750E+003, 1.6666668045672850E-007, 1.5475109103135765E-004, 1.5747208251953125E+003, 1.7879528968478553E-007, 0.0000000000000000E+000
1,2,3, 5.0000000000000000E-001, 1.1829999685287476E+000, 8.5500000000000000E+001, 2.1657419856637716E-003, 1.7730883789062500E+002, 4.3314839786035009E-006, 2.1607351955026388E-003, 1.7513082885742188E+002, 4.2934070734190755E-006, 1.4627481810748577E-002
1,3,3, 5.0000000000000000E-001, 1.1900000572204590E+000, 8.9000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,3, 5.0000000000000000E-001, 1.1970000267028809E+000, 9.2500000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.6632677519228309E-006, 5.4206494140625000E+003, 9.5790833043452039E-009, 2.6137178763747215E-002
1,5,3, 5.0000000000000000E-001, 1.2039999961853027E+000, 9.6000000000000000E+001, 9.9999997171806854E-010, 2.4189628788917616E-007, 1.2499999950052465E-012, 2.4693149747179177E-009, 3.5714040791390289E-007, 2.8638749358100846E-012, 7.4696138163687920E-011
1,6,3, 5.0000000000000000E-001, 1.2109999656677246E+000, 9.9500000000000000E+001, 1.0830000292116893E-006, 4.3463182449340820E+000, 1.2033333218752773E-009, 1.0989557495122426E-006, 4.3413438796997070E+000, 1.2537955118574473E-009, 3.9464453038817737E-007
1,1,4, 5.0000000000000000E-001, 1.1239999532699585E+000, 9.9000000000000000E+001, 4.5000002137385309E-004, 3.2343618164062500E+003, 9.0000003183376975E-007, 4.5726410462521017E-004, 3.2303479003906250E+003, 9.0988089596066857E-007, 0.0000000000000000E+000
1,2,4, 5.0000000000000000E-001, 1.1309999227523804E+000, 1.0250000000000000E+002, 1.7036329954862595E-003, 6.8205680847167969E+001, 2.8393883440003265E-006, 1.6629205783829093E-003, 9.1734764099121094E+001, 2.7637381663225824E-006, 1.4627481810748577E-002
1,3,4, 5.0000000000000000E-001, 1.1380000114440918E+000, 1.0600000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,4, 5.0000000000000000E-001, 1.1449999809265137E+000, 1.0950000000000000E+002, 6.9999997504055500E-004, 4.9514840625000000E+005, 8.7499995515827322E-007, 9.3981064856052399E-004, 4.9246096875000000E+005, 1.1405163604649715E-006, 2.6137178763747215E-002
1,5,4, 5.0000000000000000E-001, 1.1519999504089355E+000, 1.1300000000000000E+002, 9.9999999392252903E-009, 9.2153493369551143E-007, 1.1111111163086829E-011, 2.0836804281998411E-008, 1.5533975101789110E-006, 3.4050623431980398E-011, 7.4696138163687920E-011
1,6,4, 5.0000000000000000E-001, 1.1589999198913574E+000, 1.1650000000000000E+002, 2.0576999304466881E-006, 4.2326936721801758E+000, 4.1154000207654917E-009, 2.5690233087516390E-006, 4.1951193809509277E+000, 4.9566510895715510E-009, 3.9464453038817737E-007
1,1,5, 5.0000000000000000E-001, 1.0720000267028809E+000, 1.1600000000000000E+002, 7.5000000651925802E-004, 2.1847382812500000E+003, 1.2499999684223440E-006, 7.5838726479560137E-004, 2.1807739257812500E+003, 1.2590112419275101E-006, 0.0000000000000000E+000
1,2,5, 5.0000000000000000E-001, 1.0789999961853027E+000, 1.1950000000000000E+002, 1.3401252217590809E-003, 1.0833648681640625E+003, 1.9144645193591714E-006, 1.3412090484052896E-003, 1.0738824462890625E+003, 1.9105623323412146E-006, 1.4627481810748577E-002
1,3,5, 5.0000000000000000E-001, 1.0860000848770142E+000, 1.2300000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,5, 5.0000000000000000E-001, 1.0930000543594360E+000, 1.2650000000000000E+002, 1.3999999500811100E-003, 2.3767124861478806E-002, 1.5555555137325427E-006, 1.1764041846618056E-003, 2.1633436903357506E-002, 1.3071157809463330E-006, 2.6137178763747215E-002
1,5,5, 5.0000000000000000E-001, 1.1000000238418579E+000, 1.3000000000000000E+002, 1.0000000116860974E-007, 8.5739793576067314E-006, 2.0000000267028639E-010, 9.7550717725880531E-008, 3.0433180928230286E-001, 1.9219739688658422E-010, 7.4696138163687920E-011
1,6,5, 5.0000000000000000E-001, 1.1069999933242798E+000, 1.3350000000000000E+002, 3.9096298678487074E-006, 0.0000000000000000E+000, 6.5160499218563928E-009, 3.6182409530738369E-006, 2.4519219994544983E-002, 5.9814002639768660E-009, 3.9464453038817737E-007
1,1,6, 5.0000000000000000E-001, 1.0199999809265137E+000, 1.3300000000000000E+002, 1.0500000789761543E-003, 1.4667712402343750E+003, 1.5000001667431206E-006, 1.0529735591262579E-003, 1.4611375732421875E+003, 1.5003020052972715E-006, 0.0000000000000000E+000
1,2,6, 5.0000000000000000E-001, 1.0269999504089355E+000, 1.3650000000000000E+002, 1.0541798546910286E-003, 2.3635121154785156E+002, 1.3177248092688387E-006, 1.0523037053644657E-003, 2.3409884643554688E+002, 1.3117410162521992E-006, 1.4627481810748577E-002
1,3,6, 5.0000000000000000E-001, 1.0340000391006470E+000, 1.4000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5464712962275371E-005, 1.4181624352931976E-001, 5.0929422457102191E-008, 0.0000000000000000E+000
1,4,6, 5.0000000000000000E-001, 1.0410000085830688E+000, 1.4350000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.3296691253781319E-004, 8.4789292886853218E-003, 5.5494479056505952E-007, 2.6137178763747215E-002
1,5,6, 5.0000000000000000E-001, 1.0479999780654907E+000, 1.4700000000000000E+002, 9.9999999747524271E-007, 3.4931110382080078E+001, 1.6666666935449825E-009, 9.9191311164759099E-007, 3.4773464202880859E+001, 1.6531885860260331E-009, 7.4696138163687920E-011
1,6,6, 5.0000000000000000E-001, 1.0549999475479126E+000, 1.5050000000000000E+002, 7.4282966124883387E-006, 8.8498216867446899E-001, 1.0611852729880411E-008, 7.7254662755876780E-006, 8.8034933805465698E-001, 1.0949107398516844E-008, 3.9464453038817737E-007
1,1,7, 5.0000000000000000E-001, 9.6799993515014648E-001, 1.5000000000000000E+002, 1.0500000789761543E-003, 7.8912988281250000E+002, 1.3125001032676664E-006, 1.0454740840941668E-003, 7.8440258789062500E+002, 1.3046037565800361E-006, 0.0000000000000000E+000
1,2,7, 5.0000000000000000E-001, 9.7499996423721313E-001, 1.5350000000000000E+002, 8.2924723392352462E-004, 7.2152046203613281E+001, 9.2138583340783953E-007, 8.2074565580114722E-004, 7.1681694030761719E+001, 9.2619546876449022E-007, 1.4627481810748577E-002
1,3,7, 5.0000000000000000E-001, 9.8199993371963501E-001, 1.5700000000000000E+002, 6.0000002849847078E-004, 4.4762301445007324E+000, 1.2000000424450263E-006, 6.2251818599179387E-004, 4.4390454292297363E+000, 1.2295604392420501E-006, 0.0000000000000000E+000
1,4,7, 5.0000000000000000E-001, 9.8899996280670166E-001, 1.6050000000000000E+002, 2.7999999001622200E-003, 7.1301378309726715E-002, 4.6666664275107905E-006, 2.4911155924201012E-003, 3.6118059082031250E+003, 4.1507955756969750E-006, 2.6137178763747215E-002
1,5,7, 5.0000000000000000E-001, 9.9599993228912354E-001, 1.6400000000000000E+002, 9.9999999600419720E-013, 6.5983334351926715E-009, 1.4285714640047392E-015, 1.6676252392877622E-012, 7.1265842116474687E-009, 2.2631030519905133E-015, 7.4696138163687920E-011
1,6,7, 5.0000000000000000E-001, 1.0029999017715454E+000, 1.6750000000000000E+002, 1.4113764336798340E-005, 4.1895312070846558E-001, 1.7642205918377840E-008, 1.4782524885958992E-005, 4.1603100299835205E-001, 1.8321120620612419E-008, 3.9464453038817737E-007
1,1,8, 5.0000000000000000E-001, 9.1599994897842407E-001, 1.6700000000000000E+002, 7.5000000651925802E-004, 3.2973101806640625E+002, 8.3333333122936892E-007, 7.4184458935633302E-004, 3.2812704467773438E+002, 8.3062309386150446E-007, 0.0000000000000000E+000
1,2,8, 5.0000000000000000E-001, 9.2299997806549072E-001, 1.7050000000000000E+002, 6.5230892505496740E-004, 5.3404396057128906E+001, 1.3046178537479136E-006, 6.5135926706716418E-004, 5.3029880523681641E+001, 1.2979510302102426E-006, 1.4627481810748577E-002
1,3,8, 5.0000000000000000E-001, 9.2999994754791260E-001, 1.7400000000000000E+002, 9.0000004274770617E-004, 2.1523575782775879E+000, 1.5000000530562829E-006, 9.2732871416956186E-004, 2.1331593990325928E+000, 1.5285090739780571E-006, 0.0000000000000000E+000
1,4,8, 5.0000000000000000E-001, 9.3699997663497925E-001, 1.7750000000000000E+002, 6.9999997504055500E-004, 5.6588387500000000E+005, 9.9999999747524271E-007, 6.9573591463267803E-004, 5.6395393750000000E+005, 9.9390854302328080E-007, 2.6137178763747215E-002
1,5,8, 5.0000000000000000E-001, 9.4399994611740112E-001, 1.8100000000000000E+002, 9.9999999600419720E-012, 7.9123880780684885E-009, 1.2499999780645876E-014, 1.7442753838525782E-011, 9.1449523509368191E-009, 2.0681080207195744E-014, 7.4696138163687920E-011
1,6,8, 5.0000000000000000E-001, 9.5099997520446777E-001, 1.8450000000000000E+002, 2.6816151148523204E-005, 2.0148178935050964E-001, 2.9795723222036941E-008, 2.7683281587087549E-005, 2.0108313858509064E-001, 3.2492298629449579E-008, 3.9464453038817737E-007
1,1,9, 5.0000000000000000E-001, 8.6399996280670166E-001, 1.8400000000000000E+002, 4.5000002137385309E-004, 2.4668550109863281E+002, 9.0000003183376975E-007, 4.4574882485903800E-004, 2.4507290649414062E+002, 8.9062291408481542E-007, 0.0000000000000000E+000
1,2,9, 5.0000000000000000E-001, 8.7099999189376831E-001, 1.8750000000000000E+002, 5.1312439609318972E-004, 2.0543155670166016E+001, 8.5520730408461532E-007, 5.0544139230623841E-004, 2.4921958923339844E+001, 8.4095012198304175E-007, 1.4627481810748577E-002
1,3,9, 5.0000000000000000E-001, 8.7799996137619019E-001, 1.9100000000000000E+002, 1.2000000569969416E-003, 1.1931642293930054E+000, 1.7142857586804894E-006, 1.2314023915678263E-003, 1.1821266412734985E+000, 1.7412074839739944E-006, 0.0000000000000000E+000
1,4,9, 5.0000000000000000E-001, 8.8499999046325684E-001, 1.9450000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3082213627058081E-005, 8.2255703125000000E+003, 1.4535792125514035E-008, 2.6137178763747215E-002
1,5,9, 5.0000000000000000E-001, 8.9199995994567871E-001, 1.9800000000000000E+002, 1.0000000133514320E-010, 2.1501891822595098E-008, 1.1111111217296937E-013, 1.6134027447378685E-010, 3.1292604063537510E-008, 2.4074083113286016E-013, 7.4696138163687920E-011
1,6,9, 5.0000000000000000E-001, 8.9899998903274536E-001, 2.0150000000000000E+002, 5.0950686272699386E-005, 1.9621449708938599E-001, 1.0190137089693962E-007, 5.7847515563480556E-005, 1.9217200577259064E-001, 1.1276658540282369E-007, 3.9464453038817737E-007
1,1,10, 5.0000000000000000E-001, 8.1199997663497925E-001, 2.0100000000000000E+002, 1.5000000712461770E-004, 4.9408588409423828E+001, 2.4999999936881068E-007, 1.4744387590326369E-004, 4.8938716888427734E+001, 2.4573978407715913E-007, 0.0000000000000000E+000
1,2,10, 5.0000000000000000E-001, 8.1900000572204590E-001, 2.0450000000000000E+002, 4.0363799780607224E-004, 3.2630325317382812E+002, 5.7662572316985461E-007, 4.0380720747634768E-004, 3.2438140869140625E+002, 5.7577523193685920E-007, 1.4627481810748577E-002
1,3,10, 5.0000000000000000E-001, 8.2599997520446777E-001, 2.0800000000000000E+002, 1.5000000130385160E-003, 7.2887927293777466E-001, 1.8750000663203537E-006, 1.4019462978467345E-003, 7.0213055610656738E-001, 1.7524328086437890E-006, 0.0000000000000000E+000
1,4,10, 5.0000000000000000E-001, 8.3300000429153442E-001, 2.1150000000000000E+002, 2.0999999251216650E-003, 1.3203957500000000E+006, 2.3333332137553953E-006, 2.3171082139015198E-003, 1.3158782500000000E+006, 2.7789112664322602E-006, 2.6137178763747215E-002
1,5,10, 5.0000000000000000E-001, 8.3999997377395630E-001, 2.1500000000000000E+002, 9.9999997171806854E-010, 1.6587628692832368E-007, 1.9999999920083944E-012, 1.7491335047026269E-009, 2.1301545416463341E-007, 3.2260116886867474E-012, 7.4696138163687920E-011
1,6,10, 5.0000000000000000E-001, 8.4700000286102295E-001, 2.1850000000000000E+002, 9.6806295914575458E-005, 0.0000000000000000E+000, 1.6134382008203829E-007, 1.0048243711935356E-004, 2.7379472739994526E-003, 1.6454802675980318E-007, 3.9464453038817737E-007
1,1,11, 5.0000000000000000E-001, 7.5999999046325684E-001, 2.1800000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,11, 5.0000000000000000E-001, 7.6700001955032349E-001, 2.2150000000000000E+002, 3.1751289498060942E-004, 7.1187622070312500E+001, 3.9689112441010366E-007, 3.1705884612165391E-004, 7.0701354980468750E+001, 3.9554913655592827E-007, 1.4627481810748577E-002
1,3,11, 5.0000000000000000E-001, 7.7399998903274536E-001, 2.2500000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,11, 5.0000000000000000E-001, 7.8100001811981201E-001, 2.2850000000000000E+002, 2.7999999001622200E-003, 8.5561655461788177E-002, 5.5999998949118890E-006, 2.5730456691235304E-003, 8.1706784665584564E-002, 5.1460915528878104E-006, 2.6137178763747215E-002
1,5,11, 5.0000000000000000E-001, 7.8799998760223389E-001, 2.3200000000000000E+002, 9.9999999392252903E-009, 7.1449829874836723E-007, 1.6666666310949374E-011, 9.8182839636251629E-009, 1.8718224018812180E-002, 1.6214961665039773E-011, 7.4696138163687920E-011
1,6,11, 5.0000000000000000E-001, 7.9500001668930054E-001, 2.3550000000000000E+002, 1.8393197387922555E-004, 4.1025016456842422E-002, 2.6275995423929999E-007, 2.0229547226335853E-004, 4.0461234748363495E-002, 2.8354750725156919E-007, 3.9464453038817737E-007
1,1,12, 5.0000000000000000E-001, 7.0799994468688965E-001, 2.3500000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,12, 5.0000000000000000E-001, 7.1499997377395630E-001, 2.3850000000000000E+002, 2.4976450367830694E-004, 2.1731782913208008E+001, 2.7751610787163372E-007, 2.4420957197435200E-004, 2.1460100173950195E+001, 2.7134396418659890E-007, 1.4627481810748577E-002
1,3,12, 5.0000000000000000E-001, 7.2199994325637817E-001, 2.4200000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,12, 5.0000000000000000E-001, 7.2899997234344482E-001, 2.4550000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6137178763747215E-002
1,5,12, 5.0000000000000000E-001, 7.3599994182586670E-001, 2.4900000000000000E+002, 1.0000000116860974E-007, 2.9940950870513916E+000, 1.4285714278194916E-010, 9.9376379125715175E-008, 2.9836413860321045E+000, 1.4196625819362652E-010, 7.4696138163687920E-011
1,6,12, 5.0000000000000000E-001, 7.4299997091293335E-001, 2.5250000000000000E+002, 3.4947076346725225E-004, 1.9421365112066269E-002, 4.3683846229214396E-007, 3.1903566559776664E-004, 1.8471816554665565E-002, 3.9879461155578610E-007, 3.9464453038817737E-007
2,1,1, 1.0000000000000000E+001, 1.2799999713897705E+000, 4.8000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,2,1, 1.0000000000000000E+001, 1.2869999408721924E+000, 5.1500000000000000E+001, 3.5000001080334187E-003, 7.8471362304687500E+002, 4.3750001168518793E-006, 2.8952581342309713E-003, 4.8114376831054688E+002, 3.9962037590157706E-006, 2.8684851527214050E-001
2,3,1, 1.0000000000000000E+001, 1.2940000295639038E+000, 5.5000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1, 1.0000000000000000E+001, 1.3009999990463257E+000, 5.8500000000000000E+001, 1.3999999500811100E-003, 4.2780827730894089E-002, 2.7999999474559445E-006, 1.0023674258263782E-004, 1.0408107031250000E+005, 1.6716124662252696E-007, 1.3961580395698547E-001
2,5,1, 1.0000000000000000E+001, 1.3079999685287476E+000, 6.2000000000000000E+001, 9.9999999600419720E-012, 7.6980555263617134E-008, 1.6666665809505869E-014, 4.0561189962318167E-008, 1.3938212394714355E-001, 7.3867169325669835E-011, 6.0993392025920912E-007
2,6,1, 1.0000000000000000E+001, 1.3149999380111694E+000, 6.5500000000000000E+001, 3.0000001061125658E-007, 1.9090629577636719E+001, 4.2857145610142311E-010, 4.7520046564386575E-007, 1.7949386596679688E+001, 6.3129479421775159E-010, 9.4448851086781360E-006
2,1,2, 1.0000000000000000E+001, 1.2279999256134033E+000, 6.5000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.1393325924873352E-005, 5.5391412353515625E+002, 7.9325914725814073E-008, 0.0000000000000000E+000
2,2,2, 1.0000000000000000E+001, 1.2349998950958252E+000, 6.8500000000000000E+001, 2.7531976811587811E-003, 2.3955323791503906E+002, 3.0591086215281393E-006, 1.9445153884589672E-003, 1.8217944335937500E+002, 3.3378498756064801E-006, 2.8684851527214050E-001
2,3,2, 1.0000000000000000E+001, 1.2419999837875366E+000, 7.2000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,2, 1.0000000000000000E+001, 1.2489999532699585E+000, 7.5500000000000000E+001, 2.0999999251216650E-003, 1.9805937500000000E+006, 3.4999998206330929E-006, 1.6684730071574450E-003, 1.7436095000000000E+006, 2.7807882361230440E-006, 1.3961580395698547E-001
2,5,2, 1.0000000000000000E+001, 1.2559999227523804E+000, 7.9000000000000000E+001, 1.0000000133514320E-010, 9.0427292320782726E-008, 1.4285714809453981E-013, 7.2706306752934324E-008, 7.0953792333602905E-001, 1.3473588911239176E-010, 6.0993392025920912E-007
2,6,2, 1.0000000000000000E+001, 1.2629998922348022E+000, 8.2500000000000000E+001, 5.6999999742401997E-007, 9.0375604629516602E+000, 7.1250000344136311E-010, 9.5455641258013202E-007, 8.4209012985229492E+000, 1.2560935624961189E-009, 9.4448851086781360E-006
2,1,3, 1.0000000000000000E+001, 1.1759999990463257E+000, 8.2000000000000000E+001, 1.5000000712461770E-004, 1.5498649902343750E+003, 1.6666668045672850E-007, 2.4502183077856898E-004, 2.0469810791015625E+003, 4.0923887922872382E-007, 0.0000000000000000E+000
2,2,3, 1.0000000000000000E+001, 1.1829999685287476E+000, 8.5500000000000000E+001, 2.1657419856637716E-003, 1.7730883789062500E+002, 4.3314839786035009E-006, 1.8850353080779314E-003, 2.4145567321777344E+002, 3.3529206575622084E-006, 2.8684851527214050E-001
2,3,3, 1.0000000000000000E+001, 1.1900000572204590E+000, 8.9000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,3, 1.0000000000000000E+001, 1.1970000267028809E+000, 9.2500000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.6140534211881459E-004, 1.0349775000000000E+005, 4.2116337795050640E-007, 1.3961580395698547E-001
2,5,3, 1.0000000000000000E+001, 1.2039999961853027E+000, 9.6000000000000000E+001, 9.9999997171806854E-010, 2.4189628788917616E-007, 1.2499999950052465E-012, 7.7718276259020058E-008, 1.4480055570602417E+000, 1.4065022757581147E-010, 6.0993392025920912E-007
2,6,3, 1.0000000000000000E+001, 1.2109999656677246E+000, 9.9500000000000000E+001, 1.0830000292116893E-006, 4.3463182449340820E+000, 1.2033333218752773E-009, 2.2991812329564709E-006, 4.2098493576049805E+000, 3.5614950988360761E-009, 9.4448851086781360E-006
2,1,4, 1.0000000000000000E+001, 1.1239999532699585E+000, 9.9000000000000000E+001, 4.5000002137385309E-004, 3.2343618164062500E+003, 9.0000003183376975E-007, 5.9528194833546877E-004, 3.1540842285156250E+003, 1.0976174280585838E-006, 0.0000000000000000E+000
2,2,4, 1.0000000000000000E+001, 1.1309999227523804E+000, 1.0250000000000000E+002, 1.7036329954862595E-003, 6.8205680847167969E+001, 2.8393883440003265E-006, 1.0675732046365738E-003, 4.1416836547851562E+002, 1.6430345795015455E-006, 2.8684851527214050E-001
2,3,4, 1.0000000000000000E+001, 1.1380000114440918E+000, 1.0600000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,4, 1.0000000000000000E+001, 1.1449999809265137E+000, 1.0950000000000000E+002, 6.9999997504055500E-004, 4.9514840625000000E+005, 8.7499995515827322E-007, 1.9030593102797866E-003, 4.4383618750000000E+005, 2.1944219952274580E-006, 1.3961580395698547E-001
2,5,4, 1.0000000000000000E+001, 1.1519999504089355E+000, 1.1300000000000000E+002, 9.9999999392252903E-009, 9.2153493369551143E-007, 1.1111111163086829E-011, 6.6528073716654035E-008, 1.8482366800308228E+000, 1.1573583064139470E-010, 6.0993392025920912E-007
2,6,4, 1.0000000000000000E+001, 1.1589999198913574E+000, 1.1650000000000000E+002, 2.0576999304466881E-006, 4.2326936721801758E+000, 4.1154000207654917E-009, 7.9820883911452256E-006, 3.7012891769409180E+000, 1.2904819435277659E-008, 9.4448851086781360E-006
2,1,5, 1.0000000000000000E+001, 1.0720000267028809E+000, 1.1600000000000000E+002, 7.5000000651925802E-004, 2.1847382812500000E+003, 1.2499999684223440E-006, 9.1774458996951580E-004, 2.1054511718750000E+003, 1.4302260069598560E-006, 0.0000000000000000E+000
2,2,5, 1.0000000000000000E+001, 1.0789999961853027E+000, 1.1950000000000000E+002, 1.3401252217590809E-003, 1.0833648681640625E+003, 1.9144645193591714E-006, 1.3539897045120597E-003, 9.0171807861328125E+002, 1.8276692799190641E-006, 2.8684851527214050E-001
2,3,5, 1.0000000000000000E+001, 1.0860000848770142E+000, 1.2300000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,5, 1.0000000000000000E+001, 1.0930000543594360E+000, 1.2650000000000000E+002, 1.3999999500811100E-003, 2.3767124861478806E-002, 1.5555555137325427E-006, 1.9658171368064359E-005, 2.9850131832063198E-003, 2.1842417652351287E-008, 1.3961580395698547E-001
2,5,5, 1.0000000000000000E+001, 1.1000000238418579E+000, 1.3000000000000000E+002, 1.0000000116860974E-007, 8.5739793576067314E-006, 2.0000000267028639E-010, 7.2218412583424652E-008, 2.4464159011840820E+000, 1.2209638855509297E-010, 6.0993392025920912E-007
