case,repetition,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,rh_ice,w_m_s,dz_m,nuclei_minus_m3,nuclei_center_m3,nuclei_plus_m3,theta_before_k,qv_before,qi_before,qni_before_per_kg,theta_after_k,qv_after,qi_after,qni_after_per_kg,qs_after,qns_after_per_kg
10,0, 1.0000000149011612E-001, 1.2200000286102295E+000, 9.2000000000000000E+004, 9.7644340991973877E-001, 2.5500000000000000E+002, 1.1000000238418579E+000, 5.0000000745058060E-002, 1.0000000000000000E+002, 0.0000000000000000E+000, 1.0000000000000000E+004, 1.0000000000000000E+006, 2.6115185546875000E+002, 9.1258145403116941E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6115185546875000E+002, 9.1258145403116941E-004, 2.8196723927086109E-013, 4.0983611345291138E-001, 0.0000000000000000E+000, 0.0000000000000000E+000
11,0, 1.0000000149011612E-001, 1.2220000028610229E+000, 9.1700000000000000E+004, 9.7553199529647827E-001, 2.6814898681640625E+002, 1.0000100135803223E+000, 1.0000000000000000E+000, 1.0000000000000000E+002, 1.0000000000000000E+003, 1.0010000000000000E+003, 1.0020000000000000E+003, 2.7487463378906250E+002, 2.7226780075579882E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7487463378906250E+002, 2.7226780075579882E-003, 5.6301147097426391E-016, 8.1833061994984746E-004, 0.0000000000000000E+000, 0.0000000000000000E+000
0,1, 1.0000000000000000E+000, 1.0700000524520874E+000, 8.7000000000000000E+004, 9.6096765995025635E-001, 2.5000000000000000E+002, 1.0499999523162842E+000, 1.0000000000000000E+000, 5.0000000000000000E+002, 1.0000000000000000E+003, 2.0000000000000000E+003, 4.0000000000000000E+003, 2.6015444946289062E+002, 5.6747696362435818E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6015444946289062E+002, 5.6747696362435818E-004, 1.2859813040833057E-012, 1.8691589832305908E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,1, 1.0000000000000000E+000, 1.0720000267028809E+000, 8.6700000000000000E+004, 9.6001911163330078E-001, 2.6000000000000000E+002, 1.0499999523162842E+000, 0.0000000000000000E+000, 5.0000000000000000E+002, 1.0000000000000000E+003, 2.0000000000000000E+003, 4.0000000000000000E+003, 2.7082794189453125E+002, 1.4719329774379730E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7082794189453125E+002, 1.4719329774379730E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,1, 1.0000000000000000E+000, 1.0740000009536743E+000, 8.6400000000000000E+004, 9.5906823873519897E-001, 2.6000000000000000E+002, 1.0499999523162842E+000,-2.0000000000000000E+000, 5.0000000000000000E+002, 1.0000000000000000E+003, 2.0000000000000000E+003, 4.0000000000000000E+003, 2.7109646606445312E+002, 1.4770436100661755E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7109646606445312E+002, 1.4770436100661755E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,1, 1.0000000000000000E+000, 1.0760000944137573E+000, 8.6100000000000000E+004, 9.5811498165130615E-001, 2.5500000000000000E+002, 1.0499999523162842E+000, 1.0000000000000000E+000, 5.0000000000000000E+002, 5.0000000000000000E+003, 3.0000000000000000E+003, 1.0000000000000000E+003, 2.6614758300781250E+002, 9.3079247744753957E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6614758300781250E+002, 9.3079247744753957E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,1, 1.0000000000000000E+000, 1.0780000686645508E+000, 8.5800000000000000E+004, 9.5715934038162231E-001, 2.6816000366210938E+002, 1.0499999523162842E+000, 1.0000000000000000E+000, 5.0000000000000000E+002, 1.0000000000000000E+003, 2.0000000000000000E+003, 4.0000000000000000E+003, 2.8016235351562500E+002, 3.0585038475692272E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8016235351562500E+002, 3.0585038475692272E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,1, 1.0000000000000000E+000, 1.0800000429153442E+000, 8.5500000000000000E+004, 9.5620137453079224E-001, 2.4500000000000000E+002, 9.9000000953674316E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 1.0000000000000000E+003, 2.0000000000000000E+003, 4.0000000000000000E+003, 2.5622216796875000E+002, 3.2862022635526955E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5622216796875000E+002, 3.2862022635526955E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,1, 1.0000000000000000E+000, 1.0820000171661377E+000, 8.5200000000000000E+004, 9.5524096488952637E-001, 2.6789999389648438E+002, 1.0001000165939331E+000, 2.0000000298023224E-001, 5.0000000000000000E+002, 1.0000000000000000E+003, 2.0000000000000000E+003, 4.0000000000000000E+003, 2.8045278930664062E+002, 2.8690458275377750E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8045278930664062E+002, 2.8690458275377750E-003, 2.5434382790005816E-013, 3.6968579888343811E-001, 0.0000000000000000E+000, 0.0000000000000000E+000
7,1, 1.0000000000000000E+000, 1.0840001106262207E+000, 8.4900000000000000E+004, 9.5427811145782471E-001, 2.4000000000000000E+002, 1.0499999523162842E+000, 1.0000000000000000E+001, 5.0000000000000000E+002, 1.0000000000000000E+003, 5.0000000000000000E+008, 1.0000000000000000E+009, 2.5149900817871094E+002, 2.0730847609229386E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5150088500976562E+002, 2.0667379430960864E-004, 6.3468627331531025E-007, 9.2250912500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
8,1, 1.0000000000000000E+000, 1.0860000848770142E+000, 8.4600000000000000E+004, 9.5331287384033203E-001, 2.3500000000000000E+002, 1.0499999523162842E+000, 5.0000000000000000E+000, 5.0000000000000000E+002, 0.0000000000000000E+000, 2.5000000000000000E+005, 5.0000000000000000E+005, 2.4650878906250000E+002, 1.2006193719571456E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4650878906250000E+002, 1.2006035103695467E-004, 1.5837936517826279E-009, 2.3020256347656250E+003, 0.0000000000000000E+000, 0.0000000000000000E+000
9,1, 1.0000000000000000E+000, 1.0880000591278076E+000, 8.4300000000000000E+004, 9.5234513282775879E-001, 2.6500000000000000E+002, 1.0010000467300415E+000, 3.0000000000000000E+000, 5.0000000000000000E+002, 1.0000000000000000E+002, 1.0000000000000000E+005, 2.0000000000000000E+005, 2.7826046752929688E+002, 2.2569601424038410E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7826046752929688E+002, 2.2569596767425537E-003, 3.7903230554192646E-010, 5.5091906738281250E+002, 0.0000000000000000E+000, 0.0000000000000000E+000
10,1, 1.0000000000000000E+000, 1.0900000333786011E+000, 8.4000000000000000E+004, 9.5137494802474976E-001, 2.5500000000000000E+002, 1.1000000238418579E+000, 5.0000000745058060E-002, 5.0000000000000000E+002, 0.0000000000000000E+000, 1.0000000000000000E+004, 1.0000000000000000E+006, 2.6803311157226562E+002, 9.9949399009346962E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6803311157226562E+002, 9.9949399009346962E-004, 6.3119258084110008E-013, 9.1743111610412598E-001, 0.0000000000000000E+000, 0.0000000000000000E+000
11,1, 1.0000000000000000E+000, 1.0920000076293945E+000, 8.3700000000000000E+004, 9.5040231943130493E-001, 2.6814898681640625E+002, 1.0000100135803223E+000, 1.0000000000000000E+000, 5.0000000000000000E+002, 1.0000000000000000E+003, 1.0010000000000000E+003, 1.0020000000000000E+003, 2.8214260864257812E+002, 2.9829100240021944E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8214260864257812E+002, 2.9829100240021944E-003, 1.2600732115106909E-015, 1.8315017223358154E-003, 0.0000000000000000E+000, 0.0000000000000000E+000
0,2, 1.0000000000000000E+001, 9.4000005722045898E-001, 7.9000000000000000E+004, 9.3482851982116699E-001, 2.5000000000000000E+002, 1.0499999523162842E+000, 1.0000000000000000E+000, 1.0000000000000000E+003, 1.0000000000000000E+003, 2.0000000000000000E+003, 5.0000000000000000E+003, 2.6742871093750000E+002, 6.2494288431480527E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6742871093750000E+002, 6.2494288431480527E-004, 7.3191487592882964E-012, 1.0638297080993652E+001, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2, 1.0000000000000000E+001, 9.4200003147125244E-001, 7.8700000000000000E+004, 9.3381220102310181E-001, 2.6000000000000000E+002, 1.0499999523162842E+000, 0.0000000000000000E+000, 1.0000000000000000E+003, 1.0000000000000000E+003, 2.0000000000000000E+003, 5.0000000000000000E+003, 2.7842858886718750E+002, 1.6215575160458684E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7842858886718750E+002, 1.6215575160458684E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,2, 1.0000000000000000E+001, 9.4400006532669067E-001, 7.8400000000000000E+004, 9.3279314041137695E-001, 2.6000000000000000E+002, 1.0499999523162842E+000,-2.0000000000000000E+000, 1.0000000000000000E+003, 1.0000000000000000E+003, 2.0000000000000000E+003, 5.0000000000000000E+003, 2.7873275756835938E+002, 1.6277625691145658E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7873275756835938E+002, 1.6277625691145658E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,2, 1.0000000000000000E+001, 9.4600003957748413E-001, 7.8100000000000000E+004, 9.3177127838134766E-001, 2.5500000000000000E+002, 1.0499999523162842E+000, 1.0000000000000000E+000, 1.0000000000000000E+003, 5.0000000000000000E+003, 3.0000000000000000E+003, 1.0000000000000000E+003, 2.7367230224609375E+002, 1.0261362185701728E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7367230224609375E+002, 1.0261362185701728E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,2, 1.0000000000000000E+001, 9.4800007343292236E-001, 7.7800000000000000E+004, 9.3074661493301392E-001, 2.6816000366210938E+002, 1.0499999523162842E+000, 1.0000000000000000E+000, 1.0000000000000000E+003, 1.0000000000000000E+003, 2.0000000000000000E+003, 5.0000000000000000E+003, 2.8811279296875000E+002, 3.3730030991137028E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8811279296875000E+002, 3.3730030991137028E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2, 1.0000000000000000E+001, 9.5000004768371582E-001, 7.7500000000000000E+004, 9.2971909046173096E-001, 2.4500000000000000E+002, 9.9000000953674316E-001, 1.0000000000000000E+000, 1.0000000000000000E+003, 1.0000000000000000E+003, 2.0000000000000000E+003, 5.0000000000000000E+003, 2.6352044677734375E+002, 3.6254225415177643E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6352044677734375E+002, 3.6254225415177643E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,2, 1.0000000000000000E+001, 9.5200008153915405E-001, 7.7200000000000000E+004, 9.2868876457214355E-001, 2.6789999389648438E+002, 1.0001000165939331E+000, 2.0000000298023224E-001, 1.0000000000000000E+003, 1.0000000000000000E+003, 2.0000000000000000E+003, 5.0000000000000000E+003, 2.8847122192382812E+002, 3.1663561239838600E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8847122192382812E+002, 3.1663561239838600E-003, 1.4453779969766933E-012, 2.1008400917053223E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,2, 1.0000000000000000E+001, 9.5400005578994751E-001, 7.6900000000000000E+004, 9.2765557765960693E-001, 2.4000000000000000E+002, 1.0499999523162842E+000, 1.0000000000000000E+001, 1.0000000000000000E+003, 1.0000000000000000E+003, 5.0000000000000000E+008, 1.0000000000000000E+009, 2.5871670532226562E+002, 2.2887504019308835E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5871890258789062E+002, 2.2815386182628572E-004, 7.2117393301596167E-007, 1.0482179375000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
8,2, 1.0000000000000000E+001, 9.5600003004074097E-001, 7.6600000000000000E+004, 9.2661947011947632E-001, 2.3500000000000000E+002, 1.0499999523162842E+000, 5.0000000000000000E+000, 1.0000000000000000E+003, 0.0000000000000000E+000, 2.5000000000000000E+005, 5.0000000000000000E+005, 2.5361004638671875E+002, 1.3260102423373610E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5361007690429688E+002, 1.3259203115012497E-004, 8.9958156479497120E-009, 1.3075313476562500E+004, 0.0000000000000000E+000, 0.0000000000000000E+000
9,2, 1.0000000000000000E+001, 9.5800006389617920E-001, 7.6300000000000000E+004, 9.2558050155639648E-001, 2.6500000000000000E+002, 1.0010000467300415E+000, 3.0000000000000000E+000, 1.0000000000000000E+003, 1.0000000000000000E+002, 1.0000000000000000E+005, 2.0000000000000000E+005, 2.8630682373046875E+002, 2.4936008267104626E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8630682373046875E+002, 2.4935987312346697E-003, 2.1523338666895597E-009, 3.1283923339843750E+003, 0.0000000000000000E+000, 0.0000000000000000E+000
10,2, 1.0000000000000000E+001, 9.6000003814697266E-001, 7.6000000000000000E+004, 9.2453855276107788E-001, 2.5500000000000000E+002, 1.1000000238418579E+000, 5.0000000745058060E-002, 1.0000000000000000E+003, 0.0000000000000000E+000, 1.0000000000000000E+004, 1.0000000000000000E+006, 2.7581326293945312E+002, 1.1047038715332747E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7581326293945312E+002, 1.1047038715332747E-003, 3.5833334997154020E-012, 5.2083334922790527E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,2, 1.0000000000000000E+001, 9.6200007200241089E-001, 7.5700000000000000E+004, 9.2349374294281006E-001, 2.6814898681640625E+002, 1.0000100135803223E+000, 1.0000000000000000E+000, 1.0000000000000000E+003, 1.0000000000000000E+003, 1.0010000000000000E+003, 1.0020000000000000E+003, 2.9036361694335938E+002, 3.2981450203806162E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9036361694335938E+002, 3.2981450203806162E-003, 7.1517668360793901E-015, 1.0395009070634842E-002, 0.0000000000000000E+000, 0.0000000000000000E+000
0,3, 6.0000000000000000E+001, 8.1000006198883057E-001, 7.1000000000000000E+004, 9.0672439336776733E-001, 2.5000000000000000E+002, 1.0499999523162842E+000, 1.0000000000000000E+000, 2.0000000000000000E+003, 1.0000000000000000E+003, 2.0000000000000000E+003, 6.0000000000000000E+003, 2.7571774291992188E+002, 6.9535902002826333E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7571774291992188E+002, 6.9535902002826333E-004, 2.5481478038713590E-011, 3.7037033081054688E+001, 0.0000000000000000E+000, 0.0000000000000000E+000
1,3, 6.0000000000000000E+001, 8.1200003623962402E-001, 7.0700000000000000E+004, 9.0562736988067627E-001, 2.6000000000000000E+002, 1.0499999523162842E+000, 0.0000000000000000E+000, 2.0000000000000000E+003, 1.0000000000000000E+003, 2.0000000000000000E+003, 6.0000000000000000E+003, 2.8709381103515625E+002, 1.8050434300675988E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8709381103515625E+002, 1.8050434300675988E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,3, 6.0000000000000000E+001, 8.1400007009506226E-001, 7.0400000000000000E+004, 9.0452706813812256E-001, 2.6000000000000000E+002, 1.0499999523162842E+000,-2.0000000000000000E+000, 2.0000000000000000E+003, 1.0000000000000000E+003, 2.0000000000000000E+003, 6.0000000000000000E+003, 2.8744302368164062E+002, 1.8127354560419917E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8744302368164062E+002, 1.8127354560419917E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,3, 6.0000000000000000E+001, 8.1600004434585571E-001, 7.0100000000000000E+004, 9.0342336893081665E-001, 2.5500000000000000E+002, 1.0499999523162842E+000, 1.0000000000000000E+000, 2.0000000000000000E+003, 5.0000000000000000E+003, 3.0000000000000000E+003, 1.0000000000000000E+003, 2.8225970458984375E+002, 1.1432415340095758E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8225970458984375E+002, 1.1432415340095758E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,3, 6.0000000000000000E+001, 8.1800007820129395E-001, 6.9800000000000000E+004, 9.0231633186340332E-001, 2.6816000366210938E+002, 1.0499999523162842E+000, 1.0000000000000000E+000, 2.0000000000000000E+003, 1.0000000000000000E+003, 2.0000000000000000E+003, 6.0000000000000000E+003, 2.9719067382812500E+002, 3.7595937028527260E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9719067382812500E+002, 3.7595937028527260E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,3, 6.0000000000000000E+001, 8.2000005245208740E-001, 6.9500000000000000E+004, 9.0120589733123779E-001, 2.4500000000000000E+002, 9.9000000953674316E-001, 1.0000000000000000E+000, 2.0000000000000000E+003, 1.0000000000000000E+003, 2.0000000000000000E+003, 6.0000000000000000E+003, 2.7185797119140625E+002, 4.0427377098239958E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7185797119140625E+002, 4.0427377098239958E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,3, 6.0000000000000000E+001, 8.2200008630752563E-001, 6.9200000000000000E+004, 9.0009200572967529E-001, 2.6789999389648438E+002, 1.0001000165939331E+000, 2.0000000298023224E-001, 2.0000000000000000E+003, 1.0000000000000000E+003, 2.0000000000000000E+003, 6.0000000000000000E+003, 2.9763623046875000E+002, 3.5324089694768190E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9763623046875000E+002, 3.5324089694768190E-003, 5.0218973944582412E-012, 7.2992691993713379E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,3, 6.0000000000000000E+001, 8.2400006055831909E-001, 6.8900000000000000E+004, 8.9897465705871582E-001, 2.4000000000000000E+002, 1.0499999523162842E+000, 1.0000000000000000E+001, 2.0000000000000000E+003, 1.0000000000000000E+003, 5.0000000000000000E+008, 1.0000000000000000E+009, 2.6697082519531250E+002, 2.5544979143887758E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6697344970703125E+002, 2.5461483164690435E-004, 8.3495149283407954E-007, 1.2135922500000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
8,3, 6.0000000000000000E+001, 8.2600003480911255E-001, 6.8600000000000000E+004, 8.9785385131835938E-001, 2.3500000000000000E+002, 1.0499999523162842E+000, 5.0000000000000000E+000, 2.0000000000000000E+003, 0.0000000000000000E+000, 2.5000000000000000E+005, 5.0000000000000000E+005, 2.6173526000976562E+002, 1.4806471881456673E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6173535156250000E+002, 1.4803349040448666E-004, 3.1234865360829644E-008, 4.5399507812500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000
9,3, 6.0000000000000000E+001, 8.2800006866455078E-001, 6.8300000000000000E+004, 8.9672952890396118E-001, 2.6500000000000000E+002, 1.0010000467300415E+000, 3.0000000000000000E+000, 2.0000000000000000E+003, 1.0000000000000000E+002, 1.0000000000000000E+005, 2.0000000000000000E+005, 2.9551831054687500E+002, 2.7856768574565649E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9551834106445312E+002, 2.7856694068759680E-003, 7.4707822150799075E-009, 1.0858694335937500E+004, 0.0000000000000000E+000, 0.0000000000000000E+000
10,3, 6.0000000000000000E+001, 8.3000004291534424E-001, 6.8000000000000000E+004, 8.9560168981552124E-001, 2.5500000000000000E+002, 1.1000000238418579E+000, 5.0000000745058060E-002, 2.0000000000000000E+003, 0.0000000000000000E+000, 1.0000000000000000E+004, 1.0000000000000000E+006, 2.8472479248046875E+002, 1.2346690054982901E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8472479248046875E+002, 1.2346690054982901E-003, 1.2433733730110585E-011, 1.8072288513183594E+001, 0.0000000000000000E+000, 0.0000000000000000E+000
11,3, 6.0000000000000000E+001, 8.3200007677078247E-001, 6.7700000000000000E+004, 8.9447027444839478E-001, 2.6814898681640625E+002, 1.0000100135803223E+000, 1.0000000000000000E+000, 2.0000000000000000E+003, 1.0000000000000000E+003, 1.0010000000000000E+003, 1.0020000000000000E+003, 2.9978524780273438E+002, 3.6878816317766905E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9978524780273438E+002, 3.6878816317766905E-003, 2.4807690895013029E-014, 3.6057692021131516E-002, 0.0000000000000000E+000, 0.0000000000000000E+000
