case,column,k,dt_s,rho_kg_m3,dz_m,qi_before,ni_before_per_kg,qi_after,ni_after_per_kg,icencv_kg_m2
1,5,9, 5.0000000000000000E-001, 8.9199995994567871E-001, 1.9800000000000000E+002, 9.9999999600419720E-013, 1.1946153640747070E-001, 1.0042452980307814E-012, 1.1965421587228775E-001, 0.0000000000000000E+000
1,6,9, 5.0000000000000000E-001, 8.9899998903274536E-001, 2.0150000000000000E+002, 1.1019958947144914E-005, 1.5797506250000000E+005, 1.1041863217542414E-005, 1.5789565625000000E+005, 5.9840270516531291E-009
1,1,10, 5.0000000000000000E-001, 8.1199997663497925E-001, 2.0100000000000000E+002, 3.7500001781154424E-005, 1.0374043750000000E+006, 3.7479145248653367E-005, 1.0369167500000000E+006, 0.0000000000000000E+000
1,2,10, 5.0000000000000000E-001, 8.1900000572204590E-001, 2.0450000000000000E+002, 7.0429457991849631E-005, 3.5214730000000000E+006, 7.0421534474007785E-005, 3.5209145000000000E+006, 8.5446503362618387E-005
1,3,10, 5.0000000000000000E-001, 8.2599997520446777E-001, 2.0800000000000000E+002, 3.9999998989515007E-004, 4.8590865625000000E+005, 3.9962196024134755E-004, 4.8552056250000000E+005, 0.0000000000000000E+000
1,4,10, 5.0000000000000000E-001, 8.3300000429153442E-001, 2.1150000000000000E+002, 5.9999997029080987E-004, 6.0000000000000000E+009, 6.0098170069977641E-004, 5.9987205120000000E+009, 1.2883958697784692E-004
1,5,10, 5.0000000000000000E-001, 8.3999997377395630E-001, 2.1500000000000000E+002, 9.9999999600419720E-012, 5.1939797401428223E-001, 1.0046835759169870E-011, 5.2032190561294556E-001, 0.0000000000000000E+000
1,6,10, 5.0000000000000000E-001, 8.4700000286102295E-001, 2.1850000000000000E+002, 1.9835924831568263E-005, 0.0000000000000000E+000, 1.9831815734505653E-005, 1.1778692626953125E+002, 5.9840270516531291E-009
1,1,11, 5.0000000000000000E-001, 7.5999999046325684E-001, 2.1800000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,11, 5.0000000000000000E-001, 7.6700001955032349E-001, 2.2150000000000000E+002, 5.3764408221468329E-005, 2.1505762500000000E+006, 5.3758350986754522E-005, 2.1502360000000000E+006, 8.5446503362618387E-005
1,3,11, 5.0000000000000000E-001, 7.7399998903274536E-001, 2.2500000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,11, 5.0000000000000000E-001, 7.8100001811981201E-001, 2.2850000000000000E+002, 7.9999997979030013E-004, 4.0000000000000000E+004, 7.9888122854754329E-004, 3.9952730468750000E+004, 1.2883958697784692E-004
1,5,11, 5.0000000000000000E-001, 7.8799998760223389E-001, 2.3200000000000000E+002, 1.0000000133514320E-010, 2.2582521438598633E+000, 1.0017788681926376E-010, 2.5894527435302734E+000, 0.0000000000000000E+000
1,6,11, 5.0000000000000000E-001, 7.9500001668930054E-001, 2.3550000000000000E+002, 3.5704662877833471E-005, 1.7710695312500000E+005, 3.5726210626307875E-005, 1.7712187500000000E+005, 5.9840270516531291E-009
1,1,12, 5.0000000000000000E-001, 7.0799994468688965E-001, 2.3500000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,12, 5.0000000000000000E-001, 7.1499997377395630E-001, 2.3850000000000000E+002, 4.1042647353606299E-005, 1.3133647500000000E+006, 4.1022685763891786E-005, 1.3128250000000000E+006, 8.5446503362618387E-005
1,3,12, 5.0000000000000000E-001, 7.2199994325637817E-001, 2.4200000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,12, 5.0000000000000000E-001, 7.2899997234344482E-001, 2.4550000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2883958697784692E-004
1,5,12, 5.0000000000000000E-001, 7.3599994182586670E-001, 2.4900000000000000E+002, 9.9999997171806854E-010, 1.4534882812500000E+003, 9.9977182088650807E-010, 1.4532082519531250E+003, 0.0000000000000000E+000
1,6,12, 5.0000000000000000E-001, 7.4299997091293335E-001, 2.5250000000000000E+002, 6.4268388086929917E-005, 1.8752500000000000E+005, 6.4223459048662335E-005, 1.8741420312500000E+005, 5.9840270516531291E-009
2,1,1, 1.0000000000000000E+001, 1.2799999713897705E+000, 4.8000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,2,1, 1.0000000000000000E+001, 1.2869999408721924E+000, 5.1500000000000000E+001, 7.9999997979030013E-004, 3.1999998000000000E+007, 7.9430249752476811E-004, 3.1671616000000000E+007, 1.7089298926293850E-003
2,3,1, 1.0000000000000000E+001, 1.2940000295639038E+000, 5.5000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1, 1.0000000000000000E+001, 1.3009999990463257E+000, 5.8500000000000000E+001, 3.9999998989515007E-004, 2.0000000000000000E+004, 3.7472904659807682E-004, 8.5877168000000000E+007, 2.5767916813492775E-003
2,5,1, 1.0000000000000000E+001, 1.3079999685287476E+000, 6.2000000000000000E+001, 9.9999998245167004E-014, 6.3195146620273590E-002, 1.1827730906233819E-013, 6.8217054009437561E-002, 0.0000000000000000E+000
2,6,1, 1.0000000000000000E+001, 1.3149999380111694E+000, 6.5500000000000000E+001, 1.0000000116860974E-007, 1.0000000000000000E+005, 1.0131207517360963E-007, 1.0019967187500000E+005, 1.1968053570399206E-007
2,1,2, 1.0000000000000000E+001, 1.2279999256134033E+000, 6.5000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.8488814147494850E-007, 3.4778540625000000E+005, 0.0000000000000000E+000
2,2,2, 1.0000000000000000E+001, 1.2349998950958252E+000, 6.8500000000000000E+001, 6.1070360243320465E-004, 1.9542516000000000E+007, 6.0721527552232146E-004, 1.9381938000000000E+007, 1.7089298926293850E-003
2,3,2, 1.0000000000000000E+001, 1.2419999837875366E+000, 7.2000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,2, 1.0000000000000000E+001, 1.2489999532699585E+000, 7.5500000000000000E+001, 5.9999997029080987E-004, 6.0000000000000000E+009, 5.9307034825906157E-004, 5.9414394880000000E+009, 2.5767916813492775E-003
2,5,2, 1.0000000000000000E+001, 1.2559999227523804E+000, 7.9000000000000000E+001, 9.9999999600419720E-013, 2.7476149797439575E-001, 1.1554459646012649E-012, 2.9101145267486572E-001, 0.0000000000000000E+000
2,6,2, 1.0000000000000000E+001, 1.2629998922348022E+000, 8.2500000000000000E+001, 1.8000000068241206E-007, 1.0588235156250000E+005, 1.8210508301308437E-007, 1.0606984375000000E+005, 1.1968053570399206E-007
2,1,3, 1.0000000000000000E+001, 1.1759999990463257E+000, 8.2000000000000000E+001, 3.7500001781154424E-005, 2.2298202000000000E+007, 3.8554582715732977E-005, 2.2600618000000000E+007, 0.0000000000000000E+000
2,2,3, 1.0000000000000000E+001, 1.1829999685287476E+000, 8.5500000000000000E+001, 4.6619857312180102E-004, 1.1934684000000000E+007, 4.6392000513151288E-004, 1.1850923000000000E+007, 1.7089298926293850E-003
2,3,3, 1.0000000000000000E+001, 1.1900000572204590E+000, 8.9000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,3, 1.0000000000000000E+001, 1.1970000267028809E+000, 9.2500000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8835737591871293E-006, 1.8835738000000000E+007, 2.5767916813492775E-003
2,5,3, 1.0000000000000000E+001, 1.2039999961853027E+000, 9.6000000000000000E+001, 9.9999999600419720E-012, 1.1946153640747070E+000, 1.1520505903417355E-011, 1.2637139558792114E+000, 0.0000000000000000E+000
2,6,3, 1.0000000000000000E+001, 1.2109999656677246E+000, 9.9500000000000000E+001, 3.2399998417531606E-007, 1.1211071875000000E+005, 3.2752956258264021E-007, 1.1229461718750000E+005, 1.1968053570399206E-007
2,1,4, 1.0000000000000000E+001, 1.1239999532699585E+000, 9.9000000000000000E+001, 1.1250000534346327E-004, 4.3157816000000000E+007, 1.1351853754604235E-004, 4.3228388000000000E+007, 0.0000000000000000E+000
2,2,4, 1.0000000000000000E+001, 1.1309999227523804E+000, 1.0250000000000000E+002, 3.5588644095696509E-004, 7.2885540000000000E+006, 3.5333621781319380E-004, 7.3662135000000000E+006, 1.7089298926293850E-003
2,3,4, 1.0000000000000000E+001, 1.1380000114440918E+000, 1.0600000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,4, 1.0000000000000000E+001, 1.1449999809265137E+000, 1.0950000000000000E+002, 1.9999999494757503E-004, 2.0000000000000000E+009, 2.1717442723456770E-004, 1.9859436800000000E+009, 2.5767916813492775E-003
2,5,4, 1.0000000000000000E+001, 1.1519999504089355E+000, 1.1300000000000000E+002, 1.0000000133514320E-010, 5.1939797401428223E+000, 1.1536731292505209E-010, 5.4975652694702148E+000, 0.0000000000000000E+000
2,6,4, 1.0000000000000000E+001, 1.1589999198913574E+000, 1.1650000000000000E+002, 5.8319994877820136E-007, 1.1870545312500000E+005, 6.2290160940392525E-007, 1.1758781250000000E+005, 1.1968053570399206E-007
2,1,5, 1.0000000000000000E+001, 1.0720000267028809E+000, 1.1600000000000000E+002, 1.8750000162981451E-004, 4.6406252000000000E+007, 1.8850997730623931E-004, 4.6386336000000000E+007, 0.0000000000000000E+000
2,2,5, 1.0000000000000000E+001, 1.0789999961853027E+000, 1.1950000000000000E+002, 2.7167639927938581E-004, 1.3583820000000000E+007, 2.7078969287686050E-004, 1.3520416000000000E+007, 1.7089298926293850E-003
2,3,5, 1.0000000000000000E+001, 1.0860000848770142E+000, 1.2300000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,5, 1.0000000000000000E+001, 1.0930000543594360E+000, 1.2650000000000000E+002, 3.9999998989515007E-004, 2.0000000000000000E+004, 3.8291793316602707E-004, 1.9278222656250000E+004, 2.5767916813492775E-003
2,5,5, 1.0000000000000000E+001, 1.1000000238418579E+000, 1.3000000000000000E+002, 9.9999997171806854E-010, 2.2582519531250000E+001, 1.0544274342549897E-009, 1.2363710784912109E+002, 0.0000000000000000E+000
2,6,5, 1.0000000000000000E+001, 1.1069999933242798E+000, 1.3350000000000000E+002, 1.0497599305381300E-006, 0.0000000000000000E+000, 1.0298425650034915E-006, 1.5700621337890625E+003, 1.1968053570399206E-007
2,1,6, 1.0000000000000000E+001, 1.0199999809265137E+000, 1.3300000000000000E+002, 2.6250001974403858E-004, 4.1915324000000000E+007, 2.6265898486599326E-004, 4.1792460000000000E+007, 0.0000000000000000E+000
2,2,6, 1.0000000000000000E+001, 1.0269999504089355E+000, 1.3650000000000000E+002, 2.0739219326060265E-004, 8.2956875000000000E+006, 2.0675660925917327E-004, 8.2594150000000000E+006, 1.7089298926293850E-003
2,3,6, 1.0000000000000000E+001, 1.0340000391006470E+000, 1.4000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.2525081223866437E-006, 1.0841693359375000E+004, 0.0000000000000000E+000
2,4,6, 1.0000000000000000E+001, 1.0410000085830688E+000, 1.4350000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0079190764809027E-005, 1.5039597167968750E+003, 2.5767916813492775E-003
2,5,6, 1.0000000000000000E+001, 1.0479999780654907E+000, 1.4700000000000000E+002, 9.9999999392252903E-009, 1.4534883789062500E+004, 9.9352428506449542E-009, 1.4455341796875000E+004, 0.0000000000000000E+000
2,6,6, 1.0000000000000000E+001, 1.0549999475479126E+000, 1.5050000000000000E+002, 1.8895677840191638E-006, 1.3308153125000000E+005, 1.9089557099505328E-006, 1.3328303125000000E+005, 1.1968053570399206E-007
2,1,7, 1.0000000000000000E+001, 9.6799993515014648E-001, 1.5000000000000000E+002, 2.6250001974403858E-004, 2.7042146000000000E+007, 2.6180437998846173E-004, 2.6916086000000000E+007, 0.0000000000000000E+000
2,2,7, 1.0000000000000000E+001, 9.7499996423721313E-001, 1.5350000000000000E+002, 1.5831892960704863E-004, 5.0662060000000000E+006, 1.5785536379553378E-004, 5.0450955000000000E+006, 1.7089298926293850E-003
2,3,7, 1.0000000000000000E+001, 9.8199993371963501E-001, 1.5700000000000000E+002, 1.5999999595806003E-004, 5.3333331250000000E+005, 1.6168766887858510E-004, 5.3444306250000000E+005, 0.0000000000000000E+000
2,4,7, 1.0000000000000000E+001, 9.8899996280670166E-001, 1.6050000000000000E+002, 7.9999997979030013E-004, 4.0000000000000000E+004, 7.7288126340135932E-004, 1.1923997000000000E+007, 2.5767916813492775E-003
2,5,7, 1.0000000000000000E+001, 9.9599993228912354E-001, 1.6400000000000000E+002, 9.9999998245167004E-015, 6.3195144757628441E-003, 9.9999998245167004E-015, 6.3195144757628441E-003, 0.0000000000000000E+000
2,6,7, 1.0000000000000000E+001, 1.0029999017715454E+000, 1.6750000000000000E+002, 3.4012218748102896E-006, 1.4090984375000000E+005, 3.4365677947789663E-006, 1.4112412500000000E+005, 1.1968053570399206E-007
2,1,8, 1.0000000000000000E+001, 9.1599994897842407E-001, 1.6700000000000000E+002, 1.8750000162981451E-004, 1.2461819000000000E+007, 1.8675830506253988E-004, 1.2394833000000000E+007, 0.0000000000000000E+000
2,2,8, 1.0000000000000000E+001, 9.2299997806549072E-001, 1.7050000000000000E+002, 1.2085742491763085E-004, 3.0939500000000000E+006, 1.2051445810357109E-004, 3.0814905000000000E+006, 1.7089298926293850E-003
2,3,8, 1.0000000000000000E+001, 9.2999994754791260E-001, 1.7400000000000000E+002, 2.3999999393709004E-004, 5.7142856250000000E+005, 2.4170741380658001E-004, 5.7128543750000000E+005, 0.0000000000000000E+000
2,4,8, 1.0000000000000000E+001, 9.3699997663497925E-001, 1.7750000000000000E+002, 1.9999999494757503E-004, 2.0000000000000000E+009, 1.9886564405169338E-004, 1.9904139520000000E+009, 2.5767916813492775E-003
2,5,8, 1.0000000000000000E+001, 9.4399994611740112E-001, 1.8100000000000000E+002, 9.9999998245167004E-014, 2.7476148679852486E-002, 1.0851656216410294E-013, 2.8493549674749374E-002, 0.0000000000000000E+000
2,6,8, 1.0000000000000000E+001, 9.5099997520446777E-001, 1.8450000000000000E+002, 6.1221994656079914E-006, 1.4919867187500000E+005, 6.1873756749264430E-006, 1.4942890625000000E+005, 1.1968053570399206E-007
2,1,9, 1.0000000000000000E+001, 8.6399996280670166E-001, 1.8400000000000000E+002, 1.1250000534346327E-004, 4.8239300000000000E+006, 1.1170534708071500E-004, 4.7896285000000000E+006, 0.0000000000000000E+000
2,2,9, 1.0000000000000000E+001, 8.7099999189376831E-001, 1.8750000000000000E+002, 9.2260081146378070E-005, 1.8894865000000000E+006, 9.1843110567424446E-005, 1.9017713750000000E+006, 1.7089298926293850E-003
2,3,9, 1.0000000000000000E+001, 8.7799996137619019E-001, 1.9100000000000000E+002, 3.1999999191612005E-004, 5.4421768750000000E+005, 3.2173932413570583E-004, 5.4353668750000000E+005, 0.0000000000000000E+000
2,4,9, 1.0000000000000000E+001, 8.8499999046325684E-001, 1.9450000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.1002491596154869E-006, 3.1002498000000000E+007, 2.5767916813492775E-003
2,5,9, 1.0000000000000000E+001, 8.9199995994567871E-001, 1.9800000000000000E+002, 9.9999999600419720E-013, 1.1946153640747070E-001, 1.0849053860145785E-012, 1.2331518530845642E-001, 0.0000000000000000E+000
2,6,9, 1.0000000000000000E+001, 8.9899998903274536E-001, 2.0150000000000000E+002, 1.1019958947144914E-005, 1.5797506250000000E+005, 1.1458036169642583E-005, 1.5638698437500000E+005, 1.1968053570399206E-007
