case,repetition,dt_s,cell_depth_m,rho_kg_m3,pressure_pa,exner,temperature_k,cloud_diameter_m,hail_diameter_m,hail_density_kg_m3,theta_before_k,qv_before,qc_before,qnc_before_per_kg,qh_before,qnh_before_per_kg,qvolh_before_m3_per_kg,theta_after_k,qv_after,qc_after,qnc_after_per_kg,qh_after,qnh_after_per_kg,qvolh_after_m3_per_kg,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qi_after,qs_after,qr_after
10,2, 1.0000000000000000E+001, 1.2500000000000000E+003, 9.8000001907348633E-001, 7.6500000000000000E+004, 9.2627346515655518E-001, 2.4600000000000000E+002, 4.9999998736893758E-005, 2.9999999329447746E-002, 9.0000000000000000E+002, 2.6558032226562500E+002, 5.3348910296335816E-004, 1.0000000474974513E-003, 1.5278875000000000E+007, 9.9999999747524271E-007, 7.8595039667561650E-005, 1.1111110920225542E-009, 2.6558032226562500E+002, 5.3348910296335816E-004, 9.9998735822737217E-004, 1.5278680000000000E+007, 1.0127408813787042E-006, 1.7489439051132649E-004, 1.1252676568318520E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,2, 1.0000000000000000E+001, 1.3500000000000000E+003, 9.8200005292892456E-001, 7.6150000000000000E+004, 9.2505991458892822E-001, 2.4650000000000000E+002, 7.9999997979030013E-005, 3.9999999105930328E-002, 6.0000000000000000E+002, 2.6646923828125000E+002, 5.6133233010768890E-004, 2.0000000949949026E-003, 7.4603890000000000E+006, 4.9999998882412910E-003, 2.4867959320545197E-001, 8.3333334259805270E-006, 2.6651126098632812E+002, 5.6133233010768890E-004, 1.8566193757578731E-003, 6.9255510000000000E+006, 5.1433807238936424E-003, 1.3323475122451782E+000, 8.4926450654165819E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
0,3, 6.0000000000000000E+001, 2.5000000000000000E+002, 8.3000004291534424E-001, 7.2000000000000000E+004, 9.1035729646682739E-001, 2.4500000000000000E+002, 1.9999999494757503E-005, 2.0000000949949026E-003, 7.0000000000000000E+002, 2.6912509155273438E+002, 5.1636883290484548E-004, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6912509155273438E+002, 5.1636883290484548E-004, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,3, 6.0000000000000000E+001, 3.5000000000000000E+002, 8.3200001716613770E-001, 7.1650000000000000E+004, 9.0908986330032349E-001, 2.4550000000000000E+002, 1.9999999494757503E-005, 2.0000000949949026E-003, 7.0000000000000000E+002, 2.7005032348632812E+002, 5.4371572332456708E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 6.8209243774414062E+001, 2.8571426469170547E-007, 2.7005032348632812E+002, 5.4371572332456708E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 6.8209243774414062E+001, 2.8571423626999604E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,3, 6.0000000000000000E+001, 4.5000000000000000E+002, 8.3400005102157593E-001, 7.1300000000000000E+004, 9.0781807899475098E-001, 2.4600000000000000E+002, 3.9999999899009708E-006, 3.0000001424923539E-004, 5.0000000000000000E+002, 2.7097940063476562E+002, 5.7239714078605175E-004, 5.0000002374872565E-004, 1.4920776704000000E+010, 1.9999999494757503E-004, 2.8294205078125000E+004, 3.9999997625272954E-007, 2.7098306274414062E+002, 5.7239714078605175E-004, 4.8762987717054784E-004, 1.4551624704000000E+010, 2.1237014152575284E-004, 2.8294193359375000E+004, 4.2474030692574161E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,3, 6.0000000000000000E+001, 5.5000000000000000E+002, 8.3600002527236938E-001, 7.0950000000000000E+004, 9.0654176473617554E-001, 2.4650000000000000E+002, 7.9999999798019417E-006, 5.0000002374872565E-004, 6.0000000000000000E+002, 2.7191244506835938E+002, 6.0247292276471853E-004, 5.0000002374872565E-004, 1.8650970880000000E+009, 1.9999999494757503E-004, 5.0929570312500000E+003, 3.3333333249174757E-007, 2.7192041015625000E+002, 6.0247292276471853E-004, 4.7338881995528936E-004, 1.7658321920000000E+009, 2.2661119874101132E-004, 5.0929570312500000E+003, 3.8655574030599382E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,3, 6.0000000000000000E+001, 6.5000000000000000E+002, 8.3800005912780762E-001, 7.0600000000000000E+004, 9.0526098012924194E-001, 2.4700000000000000E+002, 1.4999999621068127E-005, 1.0000000474974513E-003, 7.0000000000000000E+002, 2.7284948730468750E+002, 6.3400564249604940E-004, 5.0000002374872565E-004, 2.8294214400000000E+008, 2.0000000949949026E-003, 5.4567397460937500E+003, 2.8571430448209867E-006, 2.7292471313476562E+002, 6.3400564249604940E-004, 2.4999998277053237E-004, 1.4147107200000000E+008, 2.2500001359730959E-003, 5.4567397460937500E+003, 3.3571429867151892E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,3, 6.0000000000000000E+001, 7.5000000000000000E+002, 8.4000003337860107E-001, 7.0250000000000000E+004, 9.0397566556930542E-001, 2.4750000000000000E+002, 2.9999999242136255E-005, 2.0000000949949026E-003, 8.0000000000000000E+002, 2.7379055786132812E+002, 6.6705961944535375E-004, 5.0000002374872565E-004, 3.5367768000000000E+007, 1.9999999494757503E-004, 5.9683090209960938E+001, 2.4999999936881068E-007, 2.7379782104492188E+002, 6.6705961944535375E-004, 4.7598680248484015E-004, 3.3669180000000000E+007, 2.2401320165954530E-004, 5.9683090209960938E+001, 2.9802640710840933E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,3, 6.0000000000000000E+001, 8.5000000000000000E+002, 8.4200006723403931E-001, 6.9900000000000000E+004, 9.0268576145172119E-001, 2.4800000000000000E+002, 4.9999998736893758E-005, 3.0000000260770321E-003, 9.0000000000000000E+002, 2.7473568725585938E+002, 7.0170284016057849E-004, 5.0000002374872565E-004, 7.6394375000000000E+006, 1.9999999494757503E-004, 1.5719005584716797E+001, 2.2222221218726190E-007, 2.7474139404296875E+002, 7.0170284016057849E-004, 4.8129059723578393E-004, 7.3535790000000000E+006, 2.1870942146051675E-004, 1.5719005584716797E+001, 2.5067987508009537E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,3, 6.0000000000000000E+001, 9.5000000000000000E+002, 8.4400004148483276E-001, 6.9550000000000000E+004, 9.0139120817184448E-001, 2.4850000000000000E+002, 5.9999998484272510E-005, 4.9999998882412910E-003, 5.0000000000000000E+002, 2.7568496704101562E+002, 7.3800538666546345E-004, 5.0000002374872565E-004, 4.4209710000000000E+006, 1.9999999494757503E-004, 6.1115493774414062E+000, 3.9999997625272954E-007, 2.7569119262695312E+002, 7.3800538666546345E-004, 4.7964748227968812E-004, 4.2410150000000000E+006, 2.2035253641661257E-004, 6.1115493774414062E+000, 4.2808312628039857E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,3, 6.0000000000000000E+001, 1.0500000000000000E+003, 8.4600001573562622E-001, 6.9200000000000000E+004, 9.0009200572967529E-001, 2.4500000000000000E+002, 7.0000001869630069E-005, 9.9999997764825821E-003, 7.0000000000000000E+002, 2.7219439697265625E+002, 5.3726241458207369E-004, 5.0000002374872565E-004, 2.7840510000000000E+006, 1.9999999494757503E-004, 5.4567402601242065E-001, 2.8571426469170547E-007, 2.7219808959960938E+002, 5.3726241458207369E-004, 4.8756846808828413E-004, 2.7148310000000000E+006, 2.1243155060801655E-004, 5.4567402601242065E-001, 2.9952707336633466E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.4358085607845080E-018, 0.0000000000000000E+000, 0.0000000000000000E+000
9,3, 6.0000000000000000E+001, 1.1500000000000000E+003, 8.4800004959106445E-001, 6.8850000000000000E+004, 8.9878809452056885E-001, 2.4550000000000000E+002, 2.4999999368446879E-005, 1.9999999552965164E-002, 8.0000000000000000E+002, 2.7314559936523438E+002, 5.6582759134471416E-004, 9.9999999747524271E-007, 1.2223099218750000E+005, 2.0000000949949026E-003, 5.9683102369308472E-001, 2.5000001642183634E-006, 2.7314562988281250E+002, 5.6582759134471416E-004, 8.8112216189983883E-007, 1.0770043750000000E+005, 2.0001190714538097E-003, 5.9683102369308472E-001, 2.5001922949741129E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
10,3, 6.0000000000000000E+001, 1.2500000000000000E+003, 8.5000002384185791E-001, 6.8500000000000000E+004, 8.9747947454452515E-001, 2.4600000000000000E+002, 4.9999998736893758E-005, 2.9999999329447746E-002, 9.0000000000000000E+002, 2.7410098266601562E+002, 5.9579440858215094E-004, 1.0000000474974513E-003, 1.5278875000000000E+007, 9.9999999747524271E-007, 7.8595039667561650E-005, 1.1111110920225542E-009, 2.7410098266601562E+002, 5.9579440858215094E-004, 9.9996174685657024E-004, 1.5278290000000000E+007, 1.0382970003774972E-006, 1.7930776812136173E-004, 1.1546792411110118E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,3, 6.0000000000000000E+001, 1.3500000000000000E+003, 8.5200005769729614E-001, 6.8150000000000000E+004, 8.9616602659225464E-001, 2.4650000000000000E+002, 7.9999997979030013E-005, 3.9999999105930328E-002, 6.0000000000000000E+002, 2.7506063842773438E+002, 6.2722602160647511E-004, 2.0000000949949026E-003, 7.4603890000000000E+006, 4.9999998882412910E-003, 2.4867959320545197E-001, 8.3333334259805270E-006, 2.7520101928710938E+002, 6.2722602160647511E-004, 1.5358922537416220E-003, 5.7291770000000000E+006, 5.4641077294945717E-003, 1.4154288768768311E+000, 8.8490087364334613E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
