case,repetition,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,cloud_diameter_m,ice_diameter_m,theta_before_k,qv_before,qc_before,qnc_before_per_kg,qi_before,qni_before_per_kg,theta_after_k,qv_after,qc_after,qnc_after_per_kg,qi_after,qni_after_per_kg,qg_after,qng_after_per_kg
0,3, 6.0000000000000000E+001, 8.3000004291534424E-001, 7.2000000000000000E+004, 9.1035729646682739E-001, 2.5800000000000000E+002, 1.9999999494757503E-005, 7.9999997979030013E-005, 2.8340521240234375E+002, 1.6253597568720579E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8340521240234375E+002, 1.6253597568720579E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,3, 6.0000000000000000E+001, 8.3200001716613770E-001, 7.1650000000000000E+004, 9.0908986330032349E-001, 2.5800000000000000E+002, 1.9999999494757503E-005, 7.9999997979030013E-005, 2.8380032348632812E+002, 1.6332995146512985E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 1.3366080000000000E+006, 2.8380032348632812E+002, 1.6332995146512985E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 1.3366080000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
2,3, 6.0000000000000000E+001, 8.3400005102157593E-001, 7.1300000000000000E+004, 9.0781807899475098E-001, 2.5800000000000000E+002, 1.4000000192027073E-005, 7.9999997979030013E-005, 2.8419790649414062E+002, 1.6413170378655195E-003, 5.0000002374872565E-004, 3.4800640000000000E+008, 1.9999999494757503E-004, 1.3366080000000000E+006, 2.8419790649414062E+002, 1.6413170378655195E-003, 5.0000002374872565E-004, 3.4800640000000000E+008, 1.9999999494757503E-004, 1.3366080000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
3,3, 6.0000000000000000E+001, 8.3600002527236938E-001, 7.0950000000000000E+004, 9.0654176473617554E-001, 2.5800000000000000E+002, 1.9999999494757503E-005, 2.9000000722589903E-005, 2.8459802246093750E+002, 1.6494138399139047E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 1.9999999494757503E-004, 2.5774776000000000E+007, 2.8459802246093750E+002, 1.6494138399139047E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 1.9999999494757503E-004, 2.5774776000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000
4,3, 6.0000000000000000E+001, 8.3800005912780762E-001, 7.0600000000000000E+004, 9.0526098012924194E-001, 2.5800000000000000E+002, 1.4999999621068127E-005, 2.9999999242136255E-005, 2.8500067138671875E+002, 1.6575908521190286E-003, 5.0000002374872565E-004, 2.8294214400000000E+008, 1.9999999494757503E-004, 2.3348420000000000E+007, 2.8500067138671875E+002, 1.6575908521190286E-003, 5.0000002374872565E-004, 2.8294214400000000E+008, 1.9999999494757503E-004, 2.3348420000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000
5,3, 6.0000000000000000E+001, 8.4000003337860107E-001, 7.0250000000000000E+004, 9.0397566556930542E-001, 2.6800000000000000E+002, 1.9999999494757503E-005, 4.9999998736893758E-005, 2.9646817016601562E+002, 3.6876595113426447E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 1.9999999494757503E-004, 5.2635590000000000E+006, 2.9648596191406250E+002, 3.6876595113426447E-003, 4.5000002137385309E-004, 1.0742959200000000E+008, 2.4999998277053237E-004, 5.2635585000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
6,3, 6.0000000000000000E+001, 8.4200006723403931E-001, 6.9900000000000000E+004, 9.0268576145172119E-001, 2.5500000000000000E+002, 3.9999998989515007E-005, 9.9999997473787516E-005, 2.8249032592773438E+002, 1.3005539076402783E-003, 5.0000002374872565E-004, 1.4920778000000000E+007, 1.9999999494757503E-004, 6.9724456250000000E+005, 2.8250234985351562E+002, 1.3005539076402783E-003, 4.6290404861792922E-004, 1.3813776000000000E+007, 2.3709598463028669E-004, 6.9724450000000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
7,3, 6.0000000000000000E+001, 8.4400004148483276E-001, 6.9550000000000000E+004, 9.0139120817184448E-001, 2.7314999389648438E+002, 2.9999999242136255E-005, 1.1999999696854502E-004, 3.0303158569335938E+002, 5.4636951535940170E-003, 5.0000002374872565E-004, 3.5367768000000000E+007, 1.9999999494757503E-004, 4.0970259375000000E+005, 3.0303158569335938E+002, 5.4636951535940170E-003, 5.0000002374872565E-004, 3.5367768000000000E+007, 1.9999999494757503E-004, 4.0970259375000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
8,3, 6.0000000000000000E+001, 8.4600001573562622E-001, 6.9200000000000000E+004, 9.0009200572967529E-001, 2.7200000000000000E+002, 5.9999998484272510E-005, 1.9999999494757503E-004, 3.0219131469726562E+002, 5.0483881495893002E-003, 1.0000000474974513E-003, 8.8419420000000000E+006, 1.0000000474974513E-003, 4.6180731250000000E+005, 3.0222796630859375E+002, 5.0483881495893002E-003, 9.0000004274770617E-004, 7.9577475000000000E+006, 1.0999999940395355E-003, 4.6180731250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
9,3, 6.0000000000000000E+001, 8.4800004959106445E-001, 6.8850000000000000E+004, 8.9878809452056885E-001, 2.4500000000000000E+002, 2.4999999368446879E-005, 7.0000001869630069E-005, 2.7258929443359375E+002, 5.3999357623979449E-004, 5.0000002374872565E-004, 6.1115500000000000E+007, 1.9999999494757503E-004, 1.9729948750000000E+006, 2.7260226440429688E+002, 5.3999357623979449E-004, 4.5640367898158729E-004, 5.5786676000000000E+007, 2.4359633971471339E-004, 1.9729948750000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
10,3, 6.0000000000000000E+001, 8.5000002384185791E-001, 6.8500000000000000E+004, 8.9747947454452515E-001, 2.6000000000000000E+002, 7.9999997979030013E-005, 3.0000001424923539E-004, 2.8970022583007812E+002, 2.0140861161053181E-003, 9.9999999747524271E-007, 3.7301940917968750E+003, 2.0000000949949026E-003, 2.8311018750000000E+005, 2.8970025634765625E+002, 2.0140861161053181E-003, 8.9999997499035089E-007, 3.3571748046875000E+003, 2.0000999793410301E-003, 2.8311018750000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
11,3, 6.0000000000000000E+001, 8.5200005769729614E-001, 6.8150000000000000E+004, 8.9616602659225464E-001, 2.5000000000000000E+002, 9.9999997473787516E-005, 3.0000001424923539E-004, 2.7896615600585938E+002, 8.6201855447143316E-004, 2.0000000949949026E-003, 3.8197187500000000E+006, 4.9999998882412910E-003, 7.0777543750000000E+005, 2.7902862548828125E+002, 8.6201855447143316E-004, 1.8000000854954123E-003, 3.4377467500000000E+006, 5.2000000141561031E-003, 7.0777543750000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
