case,mode,dt,rainnc_in,rainncv_in,snownc_in,snowncv_in,graupelnc_in,graupelncv_in,sr_in,rainnc_out,rainncv_out,snownc_out,snowncv_out,graupelnc_out,graupelncv_out,sr_out
11,0, 1.0000000000000000E+001, 1.3750000000000000E+000,-0.0000000000000000E+000, 2.7500000000000000E+000, 0.0000000000000000E+000, 4.1250000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 1.3750000000000000E+000, 0.0000000000000000E+000, 2.7500000000000000E+000, 0.0000000000000000E+000, 4.1250000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
12,0, 1.0000000000000000E+001, 1.5000000000000000E+000,-0.0000000000000000E+000, 3.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 1.5000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
13,0, 3.0000000000000000E+001, 1.6250000000000000E+000,-0.0000000000000000E+000, 3.2500000000000000E+000, 0.0000000000000000E+000, 4.8750000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 1.6250008344650269E+000, 8.3991920973858214E-007, 3.2500009536743164E+000, 8.3991920973858214E-007, 4.8750000000000000E+000, 0.0000000000000000E+000, 9.9999880790710449E-001
14,0, 4.5000000000000000E+001, 1.7500000000000000E+000,-0.0000000000000000E+000, 3.5000000000000000E+000, 0.0000000000000000E+000, 5.2500000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 1.7500010728836060E+000, 1.0248207900076522E-006, 3.5000009536743164E+000, 1.0248207900076522E-006, 5.2500000000000000E+000, 0.0000000000000000E+000, 9.9999898672103882E-001
1,1, 4.5000000000000000E+001, 6.2500000000000000E-001,-0.0000000000000000E+000, 1.0000000000000000E+000, 0.0000000000000000E+000, 1.3750000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 6.3898622989654541E-001, 1.3986254110932350E-002, 1.0000000000000000E+000, 0.0000000000000000E+000, 1.3750000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,1, 4.5000000000000000E+001, 7.5000000000000000E-001,-0.0000000000000000E+000, 1.2500000000000000E+000, 0.0000000000000000E+000, 1.7500000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 7.6157522201538086E-001, 1.1575208976864815E-002, 1.2500000000000000E+000, 0.0000000000000000E+000, 1.7500000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,1, 4.5000000000000000E+001, 8.7500000000000000E-001,-0.0000000000000000E+000, 1.5000000000000000E+000, 0.0000000000000000E+000, 2.1250000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 9.2971533536911011E-001, 5.4715335369110107E-002, 1.5257881879806519E+000, 2.5788176804780960E-002, 2.1539270877838135E+000, 2.8927158564329147E-002, 1.0000000000000000E+000
4,1, 4.5000000000000000E+001, 1.0000000000000000E+000,-0.0000000000000000E+000, 1.7500000000000000E+000, 0.0000000000000000E+000, 2.5000000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 1.0000000000000000E+000, 0.0000000000000000E+000, 1.7500000000000000E+000, 0.0000000000000000E+000, 2.5000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,1, 4.5000000000000000E+001, 1.1250000000000000E+000,-0.0000000000000000E+000, 2.0000000000000000E+000, 0.0000000000000000E+000, 2.8750000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 1.1250000000000000E+000, 0.0000000000000000E+000, 2.0000000000000000E+000, 0.0000000000000000E+000, 2.8750000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,1, 4.5000000000000000E+001, 1.2500000000000000E+000,-0.0000000000000000E+000, 2.2500000000000000E+000, 0.0000000000000000E+000, 3.2500000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 1.3046219348907471E+000, 5.4621983319520950E-002, 2.2500000000000000E+000,-1.1316697579033530E-009, 3.2500000000000000E+000, 0.0000000000000000E+000,-2.0718211146686372E-008
7,1, 4.5000000000000000E+001, 1.3750000000000000E+000,-0.0000000000000000E+000, 2.5000000000000000E+000, 0.0000000000000000E+000, 3.6250000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 1.4159333705902100E+000, 4.0933333337306976E-002, 2.5254213809967041E+000, 2.5421442463994026E-002, 3.6404516696929932E+000, 1.5451693907380104E-002, 9.9852937459945679E-001
8,1, 4.5000000000000000E+001, 1.5000000000000000E+000,-0.0000000000000000E+000, 2.7500000000000000E+000, 0.0000000000000000E+000, 4.0000000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 1.5146398544311523E+000, 1.4639837667346001E-002, 2.7646372318267822E+000, 1.4637311920523643E-002, 4.0000000000000000E+000, 0.0000000000000000E+000, 9.9982750415802002E-001
9,1, 9.0000000000000000E+001, 1.6250000000000000E+000,-0.0000000000000000E+000, 3.0000000000000000E+000, 0.0000000000000000E+000, 4.3750000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 4.7564396858215332E+000, 3.1314396858215332E+000, 3.0008749961853027E+000, 8.7497569620609283E-004, 4.3750000000000000E+000,-3.1742442008209082E-010, 2.7941633015871048E-004
10,1, 4.5000000000000000E+001, 1.7500000000000000E+000,-0.0000000000000000E+000, 3.2500000000000000E+000, 0.0000000000000000E+000, 4.7500000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 1.7677602767944336E+000, 1.7760332673788071E-002, 3.2502617835998535E+000, 2.6171377976424992E-004, 4.7500000000000000E+000, 0.0000000000000000E+000, 1.4735859818756580E-002
11,1, 1.0000000000000000E+001, 1.8750000000000000E+000,-0.0000000000000000E+000, 3.5000000000000000E+000, 0.0000000000000000E+000, 5.1250000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 1.8750000000000000E+000, 0.0000000000000000E+000, 3.5000000000000000E+000, 0.0000000000000000E+000, 5.1250000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
12,1, 1.0000000000000000E+001, 2.0000000000000000E+000,-0.0000000000000000E+000, 3.7500000000000000E+000, 0.0000000000000000E+000, 5.5000000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 2.0000000000000000E+000, 0.0000000000000000E+000, 3.7500000000000000E+000, 0.0000000000000000E+000, 5.5000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
13,1, 3.0000000000000000E+001, 2.1250000000000000E+000,-0.0000000000000000E+000, 4.0000000000000000E+000, 0.0000000000000000E+000, 5.8750000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 2.1250009536743164E+000, 8.3991920973858214E-007, 4.0000009536743164E+000, 8.3991920973858214E-007, 5.8750000000000000E+000, 0.0000000000000000E+000, 9.9999880790710449E-001
14,1, 4.5000000000000000E+001, 2.2500000000000000E+000,-0.0000000000000000E+000, 4.2500000000000000E+000, 0.0000000000000000E+000, 6.2500000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 2.2500009536743164E+000, 1.0248207900076522E-006, 4.2500009536743164E+000, 1.0248207900076522E-006, 6.2500000000000000E+000, 0.0000000000000000E+000, 9.9999898672103882E-001
