leaf,case,role,name,hex,value
ragrb,ragrb01,in,HCAN,41200000,  1.000000000E+01
ragrb,ragrb01,in,UC,4019999A,  2.400000095E+00
ragrb,ragrb01,in,Z0H,3F800000,  1.000000000E+00
ragrb,ragrb01,in,FV,3EB33333,  3.499999940E-01
ragrb,ragrb01,in,CWP,40400000,  3.000000000E+00
ragrb,ragrb01,in,MPE,358637BD,  9.999999975E-07
ragrb,ragrb01,in,TV,43940000,  2.960000000E+02
ragrb,ragrb01,in,MOZG,00000000,  0.000000000E+00
ragrb,ragrb01,in,FHG,3F800000,  1.000000000E+00
ragrb,ragrb01,in,P_DLEAF,3D23D70A,  3.999999911E-02
ragrb,ragrb01,out,MOZG,00000000,  0.000000000E+00
ragrb,ragrb01,out,FHG,3F800000,  1.000000000E+00
ragrb,ragrb01,out,RAMG,00000000,  0.000000000E+00
ragrb,ragrb01,out,RAHG,476632E8,  5.893090625E+04
ragrb,ragrb01,out,RAWG,476632E8,  5.893090625E+04
ragrb,ragrb01,out,RB,42480000,  5.000000000E+01
ragrb,ragrb02,in,ITER,00000002,                2
ragrb,ragrb02,in,VAI,40600000,  3.500000000E+00
ragrb,ragrb02,in,RHOAIR,3F970A3D,  1.179999948E+00
ragrb,ragrb02,in,HG,42AA0000,  8.500000000E+01
ragrb,ragrb02,in,TAH,43938000,  2.950000000E+02
ragrb,ragrb02,in,ZPD,40D66666,  6.699999809E+00
ragrb,ragrb02,in,Z0MG,3C23D70A,  9.999999776E-03
ragrb,ragrb02,in,Z0HG,3C23D70A,  9.999999776E-03
ragrb,ragrb02,in,HCAN,41200000,  1.000000000E+01
ragrb,ragrb02,in,UC,4019999A,  2.400000095E+00
ragrb,ragrb02,in,Z0H,3F800000,  1.000000000E+00
ragrb,ragrb02,in,FV,3EB33333,  3.499999940E-01
ragrb,ragrb02,in,CWP,40400000,  3.000000000E+00
ragrb,ragrb02,in,MPE,358637BD,  9.999999975E-07
ragrb,ragrb02,in,TV,43940000,  2.960000000E+02
ragrb,ragrb02,in,MOZG,BECCCCCD, -4.000000060E-01
ragrb,ragrb02,in,FHG,3FA66666,  1.299999952E+00
ragrb,ragrb02,in,P_DLEAF,3D23D70A,  3.999999911E-02
ragrb,ragrb02,out,MOZG,BE185478, -1.487597227E-01
ragrb,ragrb02,out,FHG,3F82EF3C,  1.022925854E+00
ragrb,ragrb02,out,RAMG,00000000,  0.000000000E+00
ragrb,ragrb02,out,RAHG,477FC7CD,  6.547980078E+04
ragrb,ragrb02,out,RAWG,477FC7CD,  6.547980078E+04
ragrb,ragrb02,out,RB,42480000,  5.000000000E+01
ragrb,ragrb03,in,ITER,00000003,                3
ragrb,ragrb03,in,VAI,40600000,  3.500000000E+00
ragrb,ragrb03,in,RHOAIR,3F970A3D,  1.179999948E+00
ragrb,ragrb03,in,HG,C20C0000, -3.500000000E+01
ragrb,ragrb03,in,TAH,43878000,  2.710000000E+02
ragrb,ragrb03,in,ZPD,40D66666,  6.699999809E+00
ragrb,ragrb03,in,Z0MG,3C23D70A,  9.999999776E-03
ragrb,ragrb03,in,Z0HG,3C23D70A,  9.999999776E-03
ragrb,ragrb03,in,HCAN,41200000,  1.000000000E+01
ragrb,ragrb03,in,UC,4019999A,  2.400000095E+00
ragrb,ragrb03,in,Z0H,3F800000,  1.000000000E+00
ragrb,ragrb03,in,FV,3EB33333,  3.499999940E-01
ragrb,ragrb03,in,CWP,40400000,  3.000000000E+00
ragrb,ragrb03,in,MPE,358637BD,  9.999999975E-07
ragrb,ragrb03,in,TV,43870000,  2.700000000E+02
ragrb,ragrb03,in,MOZG,3E4CCCCD,  2.000000030E-01
ragrb,ragrb03,in,FHG,3F8CCCCD,  1.100000024E+00
ragrb,ragrb03,in,P_DLEAF,3D23D70A,  3.999999911E-02
ragrb,ragrb03,out,MOZG,3D888EDA,  6.667871773E-02
ragrb,ragrb03,out,FHG,3F9A74FC,  1.206695080E+00
ragrb,ragrb03,out,RAMG,00000000,  0.000000000E+00
ragrb,ragrb03,out,RAHG,480F9F81,  1.470700156E+05
ragrb,ragrb03,out,RAWG,480F9F81,  1.470700156E+05
ragrb,ragrb03,out,RB,42480000,  5.000000000E+01
ragrb,ragrb04,in,ITER,00000002,                2
ragrb,ragrb04,in,VAI,40600000,  3.500000000E+00
ragrb,ragrb04,in,RHOAIR,3F970A3D,  1.179999948E+00
ragrb,ragrb04,in,HG,3089705F,  9.999999717E-10
ragrb,ragrb04,in,TAH,43938000,  2.950000000E+02
ragrb,ragrb04,in,ZPD,40D66666,  6.699999809E+00
ragrb,ragrb04,in,Z0MG,3C23D70A,  9.999999776E-03
ragrb,ragrb04,in,Z0HG,3C23D70A,  9.999999776E-03
ragrb,ragrb04,in,HCAN,41200000,  1.000000000E+01
ragrb,ragrb04,in,UC,4019999A,  2.400000095E+00
ragrb,ragrb04,in,Z0H,3F800000,  1.000000000E+00
ragrb,ragrb04,in,FV,3EB33333,  3.499999940E-01
ragrb,ragrb04,in,CWP,40400000,  3.000000000E+00
ragrb,ragrb04,in,MPE,358637BD,  9.999999975E-07
ragrb,ragrb04,in,TV,43940000,  2.960000000E+02
ragrb,ragrb04,in,MOZG,00000000,  0.000000000E+00
ragrb,ragrb04,in,FHG,3F800000,  1.000000000E+00
ragrb,ragrb04,in,P_DLEAF,3D23D70A,  3.999999911E-02
ragrb,ragrb04,out,MOZG,B9239D52, -1.560349774E-04
ragrb,ragrb04,out,FHG,3F7FECDA,  9.997078180E-01
ragrb,ragrb04,out,RAMG,00000000,  0.000000000E+00
ragrb,ragrb04,out,RAHG,4765E367,  5.885140234E+04
ragrb,ragrb04,out,RAWG,4765E367,  5.885140234E+04
ragrb,ragrb04,out,RB,42480000,  5.000000000E+01
ragrb,ragrb05,in,ITER,00000002,                2
ragrb,ragrb05,in,VAI,40600000,  3.500000000E+00
ragrb,ragrb05,in,RHOAIR,3F970A3D,  1.179999948E+00
ragrb,ragrb05,in,HG,B951B717, -1.999999949E-04
ragrb,ragrb05,in,TAH,43938000,  2.950000000E+02
ragrb,ragrb05,in,ZPD,40D66666,  6.699999809E+00
ragrb,ragrb05,in,Z0MG,3C23D70A,  9.999999776E-03
ragrb,ragrb05,in,Z0HG,3C23D70A,  9.999999776E-03
ragrb,ragrb05,in,HCAN,41200000,  1.000000000E+01
ragrb,ragrb05,in,UC,4019999A,  2.400000095E+00
ragrb,ragrb05,in,Z0H,3F800000,  1.000000000E+00
ragrb,ragrb05,in,FV,3EB33333,  3.499999940E-01
ragrb,ragrb05,in,CWP,40400000,  3.000000000E+00
ragrb,ragrb05,in,MPE,358637BD,  9.999999975E-07
ragrb,ragrb05,in,TV,43940000,  2.960000000E+02
ragrb,ragrb05,in,MOZG,BDCCCCCD, -1.000000015E-01
ragrb,ragrb05,in,FHG,3F99999A,  1.200000048E+00
ragrb,ragrb05,in,P_DLEAF,3D23D70A,  3.999999911E-02
ragrb,ragrb05,out,MOZG,B9239D52, -1.560349774E-04
ragrb,ragrb05,out,FHG,3F8CC33A,  1.099707842E+00
ragrb,ragrb05,out,RAMG,00000000,  0.000000000E+00
ragrb,ragrb05,out,RAHG,47B4A8A9,  9.249732031E+04
ragrb,ragrb05,out,RAWG,47B4A8A9,  9.249732031E+04
ragrb,ragrb05,out,RB,42480000,  5.000000000E+01
ragrb,ragrb06,in,ITER,00000001,                1
ragrb,ragrb06,in,VAI,40600000,  3.500000000E+00
ragrb,ragrb06,in,RHOAIR,3F970A3D,  1.179999948E+00
ragrb,ragrb06,in,HG,00000000,  0.000000000E+00
ragrb,ragrb06,in,TAH,43938000,  2.950000000E+02
ragrb,ragrb06,in,ZPD,40D66666,  6.699999809E+00
ragrb,ragrb06,in,Z0MG,3C23D70A,  9.999999776E-03
ragrb,ragrb06,in,Z0HG,3C23D70A,  9.999999776E-03
ragrb,ragrb06,in,HCAN,41200000,  1.000000000E+01
ragrb,ragrb06,in,UC,44610000,  9.000000000E+02
ragrb,ragrb06,in,Z0H,3F800000,  1.000000000E+00
ragrb,ragrb06,in,FV,3EB33333,  3.499999940E-01
ragrb,ragrb06,in,CWP,40400000,  3.000000000E+00
ragrb,ragrb06,in,MPE,358637BD,  9.999999975E-07
ragrb,ragrb06,in,TV,43940000,  2.960000000E+02
ragrb,ragrb06,in,MOZG,00000000,  0.000000000E+00
ragrb,ragrb06,in,FHG,3F800000,  1.000000000E+00
ragrb,ragrb06,in,P_DLEAF,3D23D70A,  3.999999911E-02
ragrb,ragrb06,out,MOZG,00000000,  0.000000000E+00
ragrb,ragrb06,out,FHG,3F800000,  1.000000000E+00
ragrb,ragrb06,out,RAMG,00000000,  0.000000000E+00
ragrb,ragrb06,out,RAHG,476632E8,  5.893090625E+04
ragrb,ragrb06,out,RAWG,476632E8,  5.893090625E+04
ragrb,ragrb06,out,RB,40A00000,  5.000000000E+00
ragrb,ragrb07,in,ITER,00000001,                1
ragrb,ragrb07,in,VAI,40600000,  3.500000000E+00
ragrb,ragrb07,in,RHOAIR,3F970A3D,  1.179999948E+00
ragrb,ragrb07,in,HG,00000000,  0.000000000E+00
ragrb,ragrb07,in,TAH,43938000,  2.950000000E+02
ragrb,ragrb07,in,ZPD,40D66666,  6.699999809E+00
ragrb,ragrb07,in,Z0MG,3C23D70A,  9.999999776E-03
ragrb,ragrb07,in,Z0HG,3C23D70A,  9.999999776E-03
ragrb,ragrb07,in,HCAN,41200000,  1.000000000E+01
ragrb,ragrb07,in,UC,38D1B717,  9.999999747E-05
ragrb,ragrb07,in,Z0H,3F800000,  1.000000000E+00
ragrb,ragrb07,in,FV,3EB33333,  3.499999940E-01
ragrb,ragrb07,in,CWP,40400000,  3.000000000E+00
ragrb,ragrb07,in,MPE,358637BD,  9.999999975E-07
ragrb,ragrb07,in,TV,43940000,  2.960000000E+02
ragrb,ragrb07,in,MOZG,00000000,  0.000000000E+00
ragrb,ragrb07,in,FHG,3F800000,  1.000000000E+00
ragrb,ragrb07,in,P_DLEAF,3D23D70A,  3.999999911E-02
ragrb,ragrb07,out,MOZG,00000000,  0.000000000E+00
ragrb,ragrb07,out,FHG,3F800000,  1.000000000E+00
ragrb,ragrb07,out,RAMG,00000000,  0.000000000E+00
ragrb,ragrb07,out,RAHG,476632E8,  5.893090625E+04
ragrb,ragrb07,out,RAWG,476632E8,  5.893090625E+04
ragrb,ragrb07,out,RB,42480000,  5.000000000E+01
ragrb,ragrb08,in,ITER,00000001,                1
ragrb,ragrb08,in,VAI,40600000,  3.500000000E+00
ragrb,ragrb08,in,RHOAIR,3F970A3D,  1.179999948E+00
ragrb,ragrb08,in,HG,00000000,  0.000000000E+00
ragrb,ragrb08,in,TAH,43938000,  2.950000000E+02
ragrb,ragrb08,in,ZPD,40D66666,  6.699999809E+00
ragrb,ragrb08,in,Z0MG,3C23D70A,  9.999999776E-03
ragrb,ragrb08,in,Z0HG,3C23D70A,  9.999999776E-03
ragrb,ragrb08,in,HCAN,40D66E98,  6.701000214E+00
ragrb,ragrb08,in,UC,4019999A,  2.400000095E+00
ragrb,ragrb08,in,Z0H,3F800000,  1.000000000E+00
ragrb,ragrb08,in,FV,33D6BF95,  1.000000012E-07
ragrb,ragrb08,in,CWP,40400000,  3.000000000E+00
ragrb,ragrb08,in,MPE,358637BD,  9.999999975E-07
ragrb,ragrb08,in,TV,43940000,  2.960000000E+02
ragrb,ragrb08,in,MOZG,00000000,  0.000000000E+00
ragrb,ragrb08,in,FHG,3F800000,  1.000000000E+00
ragrb,ragrb08,in,P_DLEAF,3D23D70A,  3.999999911E-02
ragrb,ragrb08,out,MOZG,00000000,  0.000000000E+00
ragrb,ragrb08,out,FHG,3F800000,  1.000000000E+00
ragrb,ragrb08,out,RAMG,00000000,  0.000000000E+00
ragrb,ragrb08,out,RAHG,4F4EA277,  3.466753792E+09
ragrb,ragrb08,out,RAWG,4F4EA277,  3.466753792E+09
ragrb,ragrb08,out,RB,42480000,  5.000000000E+01
ragrb,ragrb09,in,ITER,00000001,                1
ragrb,ragrb09,in,VAI,40600000,  3.500000000E+00
ragrb,ragrb09,in,RHOAIR,3F970A3D,  1.179999948E+00
ragrb,ragrb09,in,HG,00000000,  0.000000000E+00
ragrb,ragrb09,in,TAH,43938000,  2.950000000E+02
ragrb,ragrb09,in,ZPD,40D66666,  6.699999809E+00
ragrb,ragrb09,in,Z0MG,3C23D70A,  9.999999776E-03
ragrb,ragrb09,in,Z0HG,3C23D70A,  9.999999776E-03
ragrb,ragrb09,in,HCAN,41200000,  1.000000000E+01
ragrb,ragrb09,in,UC,4019999A,  2.400000095E+00
ragrb,ragrb09,in,Z0H,3F800000,  1.000000000E+00
ragrb,ragrb09,in,FV,3EB33333,  3.499999940E-01
ragrb,ragrb09,in,CWP,4000DF7A,  2.013639927E+00
ragrb,ragrb09,in,MPE,358637BD,  9.999999975E-07
ragrb,ragrb09,in,TV,43940000,  2.960000000E+02
ragrb,ragrb09,in,MOZG,00000000,  0.000000000E+00
ragrb,ragrb09,in,FHG,3F800000,  1.000000000E+00
ragrb,ragrb09,in,P_DLEAF,3D23D70A,  3.999999911E-02
ragrb,ragrb09,out,MOZG,00000000,  0.000000000E+00
ragrb,ragrb09,out,FHG,3F800000,  1.000000000E+00
ragrb,ragrb09,out,RAMG,00000000,  0.000000000E+00
ragrb,ragrb09,out,RAHG,463081D0,  1.129645312E+04
ragrb,ragrb09,out,RAWG,463081D0,  1.129645312E+04
ragrb,ragrb09,out,RB,42480000,  5.000000000E+01
ragrb,ragrb10,in,ITER,00000002,                2
ragrb,ragrb10,in,VAI,40600000,  3.500000000E+00
ragrb,ragrb10,in,RHOAIR,3F970A3D,  1.179999948E+00
ragrb,ragrb10,in,HG,4248D2F2,  5.020600128E+01
ragrb,ragrb10,in,TAH,43938000,  2.950000000E+02
ragrb,ragrb10,in,ZPD,40D66666,  6.699999809E+00
ragrb,ragrb10,in,Z0MG,3C23D70A,  9.999999776E-03
ragrb,ragrb10,in,Z0HG,3C23D70A,  9.999999776E-03
ragrb,ragrb10,in,HCAN,41200000,  1.000000000E+01
ragrb,ragrb10,in,UC,4019999A,  2.400000095E+00
ragrb,ragrb10,in,Z0H,3F800000,  1.000000000E+00
ragrb,ragrb10,in,FV,3EB33333,  3.499999940E-01
ragrb,ragrb10,in,CWP,40400000,  3.000000000E+00
ragrb,ragrb10,in,MPE,358637BD,  9.999999975E-07
ragrb,ragrb10,in,TV,43940000,  2.960000000E+02
ragrb,ragrb10,in,MOZG,BECCCCCD, -4.000000060E-01
ragrb,ragrb10,in,FHG,3F800000,  1.000000000E+00
ragrb,ragrb10,in,P_DLEAF,3D23D70A,  3.999999911E-02
ragrb,ragrb10,out,MOZG,BDB3F337, -8.786623925E-02
ragrb,ragrb10,out,FHG,3F67BC90,  9.052209854E-01
ragrb,ragrb10,out,RAMG,00000000,  0.000000000E+00
ragrb,ragrb10,out,RAHG,4713233D,  3.766723828E+04
ragrb,ragrb10,out,RAWG,4713233D,  3.766723828E+04
ragrb,ragrb10,out,RB,42480000,  5.000000000E+01
sfcdif1,sfcdif101,in,ITER,00000001,                1
sfcdif1,sfcdif101,in,SFCTMP,43938000,  2.950000000E+02
sfcdif1,sfcdif101,in,RHOAIR,3F970A3D,  1.179999948E+00
sfcdif1,sfcdif101,in,H,00000000,  0.000000000E+00
sfcdif1,sfcdif101,in,QAIR,3C23D70A,  9.999999776E-03
sfcdif1,sfcdif101,in,ZLVL,41F00000,  3.000000000E+01
sfcdif1,sfcdif101,in,ZPD,40D66666,  6.699999809E+00
sfcdif1,sfcdif101,in,Z0M,3F800000,  1.000000000E+00
sfcdif1,sfcdif101,in,Z0H,3F800000,  1.000000000E+00
sfcdif1,sfcdif101,in,UR,40866666,  4.199999809E+00
sfcdif1,sfcdif101,in,MPE,358637BD,  9.999999975E-07
sfcdif1,sfcdif101,in,MOZ,00000000,  0.000000000E+00
sfcdif1,sfcdif101,in,MOZSGN,00000000,                0
sfcdif1,sfcdif101,in,FM,00000000,  0.000000000E+00
sfcdif1,sfcdif101,in,FH,00000000,  0.000000000E+00
sfcdif1,sfcdif101,in,FM2,00000000,  0.000000000E+00
sfcdif1,sfcdif101,in,FH2,00000000,  0.000000000E+00
sfcdif1,sfcdif101,in,FV,3DCCCCCD,  1.000000015E-01
sfcdif1,sfcdif101,out,MOZ,00000000,  0.000000000E+00
sfcdif1,sfcdif101,out,MOZSGN,00000000,                0
sfcdif1,sfcdif101,out,FM,80000000, -0.000000000E+00
sfcdif1,sfcdif101,out,FH,80000000, -0.000000000E+00
sfcdif1,sfcdif101,out,FM2,80000000, -0.000000000E+00
sfcdif1,sfcdif101,out,FH2,80000000, -0.000000000E+00
sfcdif1,sfcdif101,out,CM,3C8439BF,  1.614081673E-02
sfcdif1,sfcdif101,out,CH,3C8439BF,  1.614081673E-02
sfcdif1,sfcdif101,out,FV,3F0899B4,  5.335953236E-01
sfcdif1,sfcdif101,out,CH2,3E46F146,  1.942797601E-01
sfcdif1,sfcdif102,in,ITER,00000002,                2
sfcdif1,sfcdif102,in,SFCTMP,43938000,  2.950000000E+02
sfcdif1,sfcdif102,in,RHOAIR,3F970A3D,  1.179999948E+00
sfcdif1,sfcdif102,in,H,43340000,  1.800000000E+02
sfcdif1,sfcdif102,in,QAIR,3C23D70A,  9.999999776E-03
sfcdif1,sfcdif102,in,ZLVL,41F00000,  3.000000000E+01
sfcdif1,sfcdif102,in,ZPD,40D66666,  6.699999809E+00
sfcdif1,sfcdif102,in,Z0M,3F800000,  1.000000000E+00
sfcdif1,sfcdif102,in,Z0H,3F800000,  1.000000000E+00
sfcdif1,sfcdif102,in,UR,40866666,  4.199999809E+00
sfcdif1,sfcdif102,in,MPE,358637BD,  9.999999975E-07
sfcdif1,sfcdif102,in,MOZ,BE4CCCCD, -2.000000030E-01
sfcdif1,sfcdif102,in,MOZSGN,00000000,                0
sfcdif1,sfcdif102,in,FM,3ECCCCCD,  4.000000060E-01
sfcdif1,sfcdif102,in,FH,3F000000,  5.000000000E-01
sfcdif1,sfcdif102,in,FM2,3DCCCCCD,  1.000000015E-01
sfcdif1,sfcdif102,in,FH2,3E4CCCCD,  2.000000030E-01
sfcdif1,sfcdif102,in,FV,3EB33333,  3.499999940E-01
sfcdif1,sfcdif102,out,MOZ,BF8B95A9, -1.090504766E+00
sfcdif1,sfcdif102,out,MOZSGN,00000000,                0
sfcdif1,sfcdif102,out,FM,3F47C2F2,  7.803183794E-01
sfcdif1,sfcdif102,out,FH,3F9CA034,  1.223639011E+00
sfcdif1,sfcdif102,out,FM2,3E6CFD93,  2.314360589E-01
sfcdif1,sfcdif102,out,FH2,3EDFCE2E,  4.371199012E-01
sfcdif1,sfcdif102,out,CM,3CE9B87B,  2.853034995E-02
sfcdif1,sfcdif102,out,CH,3D0FC683,  3.510142490E-02
sfcdif1,sfcdif102,out,FV,3F359C7C,  7.094190121E-01
sfcdif1,sfcdif102,out,CH2,3EDBA363,  4.289809167E-01
sfcdif1,sfcdif103,in,ITER,00000002,                2
sfcdif1,sfcdif103,in,SFCTMP,43878000,  2.710000000E+02
sfcdif1,sfcdif103,in,RHOAIR,3FA66666,  1.299999952E+00
sfcdif1,sfcdif103,in,H,C2700000, -6.000000000E+01
sfcdif1,sfcdif103,in,QAIR,3B449BA6,  3.000000026E-03
sfcdif1,sfcdif103,in,ZLVL,41F00000,  3.000000000E+01
sfcdif1,sfcdif103,in,ZPD,40D66666,  6.699999809E+00
sfcdif1,sfcdif103,in,Z0M,3F800000,  1.000000000E+00
sfcdif1,sfcdif103,in,Z0H,3F800000,  1.000000000E+00
sfcdif1,sfcdif103,in,UR,40066666,  2.099999905E+00
sfcdif1,sfcdif103,in,MPE,358637BD,  9.999999975E-07
sfcdif1,sfcdif103,in,MOZ,3DCCCCCD,  1.000000015E-01
sfcdif1,sfcdif103,in,MOZSGN,00000000,                0
sfcdif1,sfcdif103,in,FM,BE4CCCCD, -2.000000030E-01
sfcdif1,sfcdif103,in,FH,BE99999A, -3.000000119E-01
sfcdif1,sfcdif103,in,FM2,BDCCCCCD, -1.000000015E-01
sfcdif1,sfcdif103,in,FH2,BDCCCCCD, -1.000000015E-01
sfcdif1,sfcdif103,in,FV,3E6147AE,  2.199999988E-01
sfcdif1,sfcdif103,out,MOZ,3F800000,  1.000000000E+00
sfcdif1,sfcdif103,out,MOZSGN,00000000,                0
sfcdif1,sfcdif103,out,FM,C0266666, -2.599999905E+00
sfcdif1,sfcdif103,out,FH,C029999A, -2.650000095E+00
sfcdif1,sfcdif103,out,FM2,BF047B37, -5.175051093E-01
sfcdif1,sfcdif103,out,FH2,BF047B37, -5.175051093E-01
sfcdif1,sfcdif103,out,CM,3B9EA902,  4.841924645E-03
sfcdif1,sfcdif103,out,CH,3B9D4AC4,  4.800172523E-03
sfcdif1,sfcdif103,out,FV,3E15A21F,  1.461262554E-01
sfcdif1,sfcdif103,out,CH2,3D142418,  3.616723418E-02
sfcdif1,sfcdif104,in,ITER,00000002,                2
sfcdif1,sfcdif104,in,SFCTMP,43938000,  2.950000000E+02
sfcdif1,sfcdif104,in,RHOAIR,3F970A3D,  1.179999948E+00
sfcdif1,sfcdif104,in,H,3089705F,  9.999999717E-10
sfcdif1,sfcdif104,in,QAIR,3C23D70A,  9.999999776E-03
sfcdif1,sfcdif104,in,ZLVL,41F00000,  3.000000000E+01
sfcdif1,sfcdif104,in,ZPD,40D66666,  6.699999809E+00
sfcdif1,sfcdif104,in,Z0M,3F800000,  1.000000000E+00
sfcdif1,sfcdif104,in,Z0H,3F800000,  1.000000000E+00
sfcdif1,sfcdif104,in,UR,40866666,  4.199999809E+00
sfcdif1,sfcdif104,in,MPE,358637BD,  9.999999975E-07
sfcdif1,sfcdif104,in,MOZ,00000000,  0.000000000E+00
sfcdif1,sfcdif104,in,MOZSGN,00000000,                0
sfcdif1,sfcdif104,in,FM,00000000,  0.000000000E+00
sfcdif1,sfcdif104,in,FH,00000000,  0.000000000E+00
sfcdif1,sfcdif104,in,FM2,00000000,  0.000000000E+00
sfcdif1,sfcdif104,in,FH2,00000000,  0.000000000E+00
sfcdif1,sfcdif104,in,FV,3EB33333,  3.499999940E-01
sfcdif1,sfcdif104,out,MOZ,BA0E75A8, -5.434402265E-04
sfcdif1,sfcdif104,out,MOZSGN,00000000,                0
sfcdif1,sfcdif104,out,FM,3A8E1200,  1.083910465E-03
sfcdif1,sfcdif104,out,FH,3B0E0096,  2.166782971E-03
sfcdif1,sfcdif104,out,FM2,3912D000,  1.400113106E-04
sfcdif1,sfcdif104,out,FH2,3992BABE,  2.798642381E-04
sfcdif1,sfcdif104,out,CM,3C845110,  1.615193486E-02
sfcdif1,sfcdif104,out,CH,3C845CB9,  1.615749486E-02
sfcdif1,sfcdif104,out,FV,3F08A5BF,  5.337790847E-01
sfcdif1,sfcdif104,out,CH2,3E470FCB,  1.943961829E-01
sfcdif1,sfcdif105,in,ITER,00000002,                2
sfcdif1,sfcdif105,in,SFCTMP,43938000,  2.950000000E+02
sfcdif1,sfcdif105,in,RHOAIR,3F970A3D,  1.179999948E+00
sfcdif1,sfcdif105,in,H,C25C0000, -5.500000000E+01
sfcdif1,sfcdif105,in,QAIR,3C23D70A,  9.999999776E-03
sfcdif1,sfcdif105,in,ZLVL,41F00000,  3.000000000E+01
sfcdif1,sfcdif105,in,ZPD,40D66666,  6.699999809E+00
sfcdif1,sfcdif105,in,Z0M,3F800000,  1.000000000E+00
sfcdif1,sfcdif105,in,Z0H,3F800000,  1.000000000E+00
sfcdif1,sfcdif105,in,UR,40866666,  4.199999809E+00
sfcdif1,sfcdif105,in,MPE,358637BD,  9.999999975E-07
