# WRF v4.6.1 Noah-MP BARE_FLUX bitwise oracle
#   tree     <wrf-4.6.1-checkout> (WSL)
#   commit   d66e442fccc04111067e29274c9f9eaccc3cef28
#   file     phys/module_sf_noahmplsm.F
#   sha256   bd592a5b7db29000e715250e3a7c779ffb5e0dcc356f6b5a7d9e1c9f69c55282
#   patch    private:: -> public:: only, 50 lines, 300 bytes; see
#            tools/noahmp_wrf461_oracle/visibility_patch_bareflux.py --check
#   pristine every row below is bit-identical to the row produced by a
#            driver linked against the UNPATCHED object, reached with
#            objcopy --globalize-symbol (which leaves .text byte-identical).
#            Reproduce: build_bareflux.sh <tree> <work> noopt pristine
#   optlevel every row is also bit-identical between the -O0 build and
#            WRF's own -O2 build, so no row depends on the optimiser.
#   compiler gfortran 13.3.0 (Ubuntu 13.3.0-6ubuntu2~24.04.1)
#   flags    -w -ffree-form -ffree-line-length-none
#            -fconvert=big-endian -frecord-marker=4
#            -O2 -ftree-vectorize -funroll-loops  (WRF's own FCOPTIM)
#   libc     Ubuntu GLIBC 2.39-0ubuntu8.7 (logf/atanf/powf)
#   options  dveg=4 opt_crs=1 opt_btr=1 opt_run=3 opt_sfc=1 opt_frz=1
#            opt_inf=1 opt_rad=3 opt_alb=2 opt_snf=1 opt_tbot=2
#            opt_stc=1 opt_rsf=1 opt_soil=1 opt_pedo=1 opt_crop=0
#            opt_irr=0 opt_irrm=0 opt_infdv=0 opt_tdrn=0
#            (Registry.EM_COMMON defaults)
#   NITERB   5 (DATA NITERB /5/, line 4329 -- not an option)
#   layers   NSNOW=3 NSOIL=4; array columns run -2..4
# Every REAL is the IEEE-754 binary32 bit pattern, so no decimal
# round-trip sits between the fixture and the compiled routine.
case,opt_sfc,opt_stc,isnow,ivgtyp,iloc,jloc,iurban,dt,sag,lwdn,ur,uu,vv,sfctmp,thair,qair,eair,rhoair,snowh,zlvl,zpd,z0m,fsno,emg,rsurf,lathea,gamma,rhsur,q2,pahb,dx,dz8w,qc,psfc,sfcprs,tgb,cm,ch,qsfc,dzsnso-2,dzsnso-1,dzsnso0,dzsnso1,dzsnso2,dzsnso3,dzsnso4,stc-2,stc-1,stc0,stc1,stc2,stc3,stc4,df-2,df-1,df0,df1,df2,df3,df4,tgb_out,cm_out,ch_out,qsfc_out,tauxb,tauyb,irb,shb,evb,ghb,t2mb,q2b,ehb2,note
bf11_degenerate_z0m_2m,1,1,0,16,3,7,0,42B40000,43C80000,43AF0000,41400000,40800000,40400000,43938000,43940000,3C03126F,44960000,3F933333,00000000,49742400,00000000,48742400,00000000,3F733333,42A00000,4A193900,42840000,3F333333,3C03126F,00000000,447A0000,42200000,00000000,47BF6800,47BF6800,43950000,3C23D70A,3C23D70A,3C0B4396,3D4CCCCD,3DCCCCCD,3E19999A,3DCCCCCD,3E99999A,3F19999A,3F800000,43848000,43860000,43878000,438D8000,438E8000,438F8000,43908000,3E99999A,3EB33333,3ECCCCCD,3F99999A,3FA66666,3FB33333,3FC00000,43932841,3B8E1E44,3D552D66,3C37EC49,BE752768,BE37DD8E,428F51D0,C224E200,42C406FA,4387C60E,43936BF9,3C032CD3,3D8A1C7B,"Degenerate 2 m roughness: (2+Z0M)/Z0M ~ 1 so TMPCM2,TMPCH2 ~ 0 and the FH2=MIN(FH2,0.9*TMPCH2) clamp binds at a tiny bound, which drives EHB2.  NOTE: this does NOT reach the |CM2FM2|<=MPE / |CH2FH2|<=MPE guards -- gcov confirms both stay untaken -- and nothing can, through BARE_FLUX: CM2FM2 feeds only the commented-out CH2 formula, and CH2FH2 feeds only CH2, which BARE_FLUX declares, passes as INTENT(OUT) and never reads"
bf12_fh_clamp,1,1,0,16,3,7,0,42B40000,446D8000,43D20000,3F19999A,3F000000,3EA8F5C3,43938000,43940000,3C03126F,44960000,3F933333,00000000,41200000,00000000,40800000,00000000,3F733333,43C80000,4A193900,42840000,3EB33333,3C03126F,00000000,447A0000,42200000,00000000,47BF6800,47BF6800,43A50000,3C23D70A,3C23D70A,3C0B4396,3D4CCCCD,3DCCCCCD,3E19999A,3DCCCCCD,3E99999A,3F19999A,3F800000,43848000,43860000,43878000,438D8000,438E8000,438F8000,43908000,3E99999A,3EB33333,3ECCCCCD,3F99999A,3FA66666,3FB33333,3FC00000,4393D1F8,3F494C14,3F5F084B,3BC6D16C,BE8AE522,BE37576B,4147DFEA,44212550,C1271C87,4397AF45,4393C270,3BF6435E,409324C2,"Strongly unstable with a short log profile so FH=MIN(FH,0.9*TMPCH) and FM=MIN(FM,0.9*TMPCM) clamps bind"
bf13_pahb,1,1,-1,16,3,7,0,42B40000,44020000,43AF0000,40A00000,40800000,40400000,438A0000,43940000,3C03126F,44960000,3F933333,3E99999A,41A00000,00000000,3D4CCCCD,3F19999A,3F733333,42A00000,4A193900,42840000,3F333333,3C03126F,42FA0000,447A0000,42200000,00000000,47BF6800,47BF6800,43880000,3C23D70A,3C23D70A,3C0B4396,3D4CCCCD,3DCCCCCD,3E19999A,3DCCCCCD,3E99999A,3F19999A,3F800000,43850000,43868000,43878000,43884000,43890000,438A0000,438B0000,3E99999A,3EB33333,3ECCCCCD,3F99999A,3FA66666,3FB33333,3FC00000,4388947B,3BF50238,3D3C382E,3BDF53A8,BE301998,BE041332,C2026758,C316C684,C1B3C18E,4454B623,4389B096,3BF8113E,3D70D47F,Non-zero advected precipitation heat PAHB enters B and the snow-reset residual
bf14_isnow_shallow,1,1,-1,16,3,7,0,42B40000,43960000,43AF0000,40A00000,40800000,40400000,438C0000,43940000,3C03126F,44960000,3F933333,3CF5C28F,41A00000,00000000,3D4CCCCD,3ECCCCCD,3F733333,42A00000,4A193900,42840000,3F333333,3C03126F,00000000,447A0000,42200000,00000000,47BF6800,47BF6800,438D0000,3C23D70A,3C23D70A,3C0B4396,3D4CCCCD,3DCCCCCD,3E19999A,3DCCCCCD,3E99999A,3F19999A,3F800000,43848000,43860000,43878000,438D8000,438E8000,438F8000,43908000,3E99999A,3EB33333,3ECCCCCD,3F99999A,3FA66666,3FB33333,3FC00000,438EAF26,3BD37325,3D19C4E8,3BCFA8A5,BE17FAC3,BDE3F824,41C5B7EB,4368D712,C208BE89,42994327,438CA8A0,3BF6800A,3D4BC689,ISNOW=-1 with SNOWH below the 0.05 reset threshold: the SNOWH>0.05 guard is exercised on its false side with snow present
bf15_zpd_offset,1,1,0,16,3,7,0,42B40000,44188000,43AF0000,404CCCCD,C0000000,C0200000,43938000,43940000,3C03126F,44960000,3F933333,00000000,41C80000,40D00000,3F666666,00000000,3F733333,42A00000,4A193900,42840000,3F333333,3C03126F,00000000,447A0000,42200000,00000000,47BF6800,47BF6800,43988000,3C23D70A,3C23D70A,3C0B4396,3D4CCCCD,3DCCCCCD,3E19999A,3DCCCCCD,3E99999A,3F19999A,3F800000,43848000,43860000,43878000,438D8000,438E8000,438F8000,43908000,3E99999A,3EB33333,3ECCCCCD,3F99999A,3FA66666,3FB33333,3FC00000,4393ECC3,3CBCAACF,3DAC277F,3C4A202E,3E2D92E7,3E58F7A1,42A05161,42A50B35,430AED0F,439A3253,4393BDF5,3C0703D8,3E480550,Non-zero ZPD so (ZLVL-ZPD) differs from ZLVL in all four LOG arguments
bf16_negative_wind_components,1,1,0,16,3,7,0,42B40000,43C80000,43AF0000,40A00000,C0800000,C0400000,43938000,43940000,3C03126F,44960000,3F933333,00000000,41A00000,00000000,3D4CCCCD,00000000,3F733333,42A00000,4A193900,42840000,3F333333,3C03126F,00000000,447A0000,42200000,00000000,47BF6800,47BF6800,43950000,3C23D70A,3C23D70A,3C0B4396,3D4CCCCD,3DCCCCCD,3E19999A,3DCCCCCD,3E99999A,3F19999A,3F800000,43848000,43860000,43878000,438D8000,438E8000,438F8000,43908000,3E99999A,3EB33333,3ECCCCCD,3F99999A,3FA66666,3FB33333,3FC00000,4393255C,3B75D687,3C99A614,3C37AA83,3DB0B230,3D8485A4,428F1236,C1758575,42919C29,43878095,439359AB,3C09E61F,3D05204F,"UU,VV negative so TAUXB,TAUYB change sign"
bf17_libm_logf_1,1,1,-1,16,3,7,0,42B40000,4389F256,4389D206,400AE7E3,C100FE65,C167F1A0,43981E24,43940000,3C8C597B,45045327,3F671E93,00000000,40C5B26E,40350F41,3F83E5B9,3EFEBCC8,3F75A242,41B4E7AC,4A2D9580,425E2D5C,3EC49BA4,3C03126F,00000000,447A0000,42200000,00000000,4771FBF7,47BF6800,438FEE5C,3C23D70A,3C23D70A,3C0B4396,3F806F56,3DCF5D35,3F8DDAD4,3F4D9F8A,3F96D99C,3F2A2F4E,3F3FCDA6,439940BD,43794427,4396F9A2,43991862,4380DA76,4391AC4F,439725EF,40142321,3F9A1AE9,3F98E479,3F717A0E,3EF1E697,3F6E78DA,3F8CA3FF,439891C2,3E05ED7C,3E9B849D,3C97B1B8,40043B57,406DC427,434F2BE5,4378D865,C33AFF24,40DBF0C1,439827F1,3CA6FBBD,3EA9EBDC,Randomised column on which glibc logf and a correctly-rounded float32 log disagree: substituting FP64-log-then-round-once for logf moves at least one output bit
bf18_libm_logf_2,1,1,0,16,3,7,0,42B40000,4409AE43,439EA451,4175049B,419226A8,40EECDC7,43687A21,43940000,3CAF4C0E,44221A87,3F349C74,3CA3D70A,40B469CC,4016622B,3E273CB2,3F609242,3F7DFC0B,4428E936,4A193900,426FFDC0,3F03F7F3,3C03126F,00000000,447A0000,42200000,00000000,479DB5AE,47BF6800,438001DC,3C23D70A,3C23D70A,3C0B4396,3DA45B2E,3F9592E3,3DB140CA,3F137411,3E642808,3F894392,3F84AF8A,4386915F,4395FE3E,43993466,438D04EA,4392C373,43946E72,438FB098,3FA9620C,400B4B1D,3F161EB8,400C1246,400E7ABA,3FF4E3D8,40085832,436DABD9,3C94A532,3E8FD5FF,38B03BC3,C0653608,BFBB4290,C30749ED,44814890,C1316A60,C3A89571,43692DE9,3B8DFE8E,3EA652CD,Randomised column on which glibc logf and a correctly-rounded float32 log disagree: substituting FP64-log-then-round-once for logf moves at least one output bit
bf19_libm_atanf_1,1,1,-1,16,3,7,0,42B40000,4405561A,43E40B65,401FBA94,41903C2B,C198C853,438D149D,43940000,3BF56181,4538D409,3F78D080,3ECCCCCD,408C2E77,3F8F90FC,3F1A89E4,3F58AEF1,3F77B192,43559FF8,4A2D9580,428F29A9,3F2376A4,3C03126F,4303F640,447A0000,42200000,00000000,47963FA2,47BF6800,439BA4AC,3C23D70A,3C23D70A,3C0B4396,3F8BE374,3DDB7866,3F5F8418,3F30C2D5,3F956466,3F08BBCB,3E625700,438B2230,4375A2DA,439607B0,437D58A8,4391F19F,4376112B,437B1891,3FF97479,3FF083EA,3F2131CA,3F8F7A9F,3F872684,3F6DDE3A,3F469B9F,4388947B,3DAB1DB1,3E83C513,3BF6CC6B,C069DCC3,4077B8A2,C307D99E,C50D5F57,C2FE9E8F,454766D0,438C8223,3C8F946F,3E96F66E,Randomised column on which glibc atanf and a correctly-rounded float32 atan disagree; SFCDIF1 calls ATAN only on the MOZ<0 branch
bf20_libm_atanf_2,1,1,-2,16,3,7,0,42B40000,43562D22,439E4409,40C83260,C1767DC2,419ADEA1,438E11E9,43940000,3B07FBD3,4542ED2E,3F6C2315,00000000,41A87884,401E7474,3E11CEF5,3F0EAD0E,3F738B20,4119E361,4A193900,42A1B5FB,3E80BB63,3C03126F,00000000,447A0000,42200000,00000000,47891F93,47BF6800,43962E57,3C23D70A,3C23D70A,3C0B4396,3F4BEF9A,3F3DC0FC,3F525CA7,3F976CB6,3E64E1BD,3D26C732,3EC4BF96,437B792E,437A0882,438984D0,438EE066,438D7C00,43800029,43812E08,40005965,3F215C75,400BB7AB,3F2C01C0,3F20013D,3F906B89,4003B8FA,4395B6DD,3C3D4686,3DBA6E0D,3BFA6328,3F837609,BFA53171,4304781C,44A13697,C4A1803E,42A80482,43905A2A,3C8DC76E,3E04E3BC,Randomised column on which glibc atanf and a correctly-rounded float32 atan disagree; SFCDIF1 calls ATAN only on the MOZ<0 branch
bf21_libm_powf_1,1,1,-1,16,3,7,0,42B40000,43F86F3F,43AB3DFF,3F850B6B,418E9269,C08247A0,43987CA5,43940000,3C873F3E,43C153E4,3F5C59B9,00000000,4144ABF1,400B05E8,3C39ABD4,3EBB343A,3F7BC044,43873448,4A2D9580,4256D953,3F12BBF9,3C03126F,00000000,447A0000,42200000,00000000,47BA9AD1,47BF6800,439FCF57,3C23D70A,3C23D70A,3C0B4396,3F4270CC,3E8FE869,3F415006,3F986E2A,3F9196CA,3F20DB2F,3EEABCFE,438149E7,439A6C4B,438404D1,437F221A,43900FA7,43840575,437B372C,401AFA3B,3FE5D42F,3FA88430,3F842C47,3E77F274,401C97A5,3FF8B968,439A72C9,3C019802,3C3712C3,3CB57118,BE012481,3CEC0440,432ADA59,42179F97,4303B0AB,431C6B94,4398A9E6,3B531BC8,3C493524,"Randomised column on which glibc powf(x,0.25) disagrees with both a correctly-rounded x**0.25 and the sqrt(sqrt(x)) shortcut"
bf22_libm_powf_2,1,1,-1,16,3,7,0,42B40000,4419FBDD,43B7DF40,4009953F,C16413A5,41909A81,43989C1C,43940000,3BCEF8A3,44AB9C16,3F50DC9A,00000000,4041289B,3C73463C,3DCFF847,3F08BC50,3F7AD93E,4117D204,4A193900,42780E64,3EBC1492,3C03126F,00000000,447A0000,42200000,00000000,476C2ADD,47BF6800,43ABCFB2,3C23D70A,3C23D70A,3C0B4396,3F48C8C1,3F1B5133,3F056D35,3ED1BC43,3EC501BD,3F468BA8,3F6EE6D9,4380206B,4399D19E,438F1788,4396410D,438245A7,4396DFEA,438BEAC4,3FC773E4,40198F89,3F7FD793,3F12780E,3FBDDDD1,3FBF5F9E,3F91BCC5,439B4932,3CE2CCA2,3DAA14DF,3CC9ADF1,3F313272,BF60B0BA,431C20CA,43B629D7,3FFA1600,42BB0DAE,4398CB2F,3CC98486,3DB6A140,"Randomised column on which glibc powf(x,0.25) disagrees with both a correctly-rounded x**0.25 and the sqrt(sqrt(x)) shortcut"
bf23_mozsgn_reset_1,1,1,0,16,3,7,0,42B40000,44045856,439468D5,3E848716,41406FB0,C121D809,439731AA,43940000,3B8A56D2,44644FDD,3FA70EB0,00000000,419A2B71,3FD328D4,40038C18,3E9A8A82,3F6383F5,3FC7BCE4,4A193900,42A59A21,3F1187DD,3C03126F,00000000,447A0000,42200000,00000000,47AD362B,47BF6800,4385F2A3,3C23D70A,3C23D70A,3C0B4396,3E133290,3F21C43D,3F13F74C,3F604E5F,3F0D0A8D,3EEC6E22,3F3D12BA,43823261,43817B6F,4391925F,43817C38,4398FD1C,438E9CC2,439962C5,3FFD519A,3FBCE3F2,3E983C24,3FB920AC,3F271D18,3FBDB11D,3E8F027D,4398D9C4,3D0DF4B2,3C12FA28,3CA20CFC,BE10321E,3DF28B75,432FBE87,421BE3A4,432063AE,431A4639,439853A1,3C934947,3CE85A3C,"MOZ changes sign twice across the five stability iterations, so MOZSGN reaches 2 and SFCDIF1 zeroes MOZ/FM/FH/MOZ2/FM2/FH2"
bf24_mozsgn_reset_2,1,1,-1,16,3,7,0,42B40000,4414C10D,43C82EC9,3F43ABD6,C137AF37,40C7A30C,439CFBAC,43940000,3CA6DF22,4329C173,3FA3DD9D,00000000,4102E152,400B223D,3FFF6E76,3F09B989,3F7B5174,412FDC0A,4A2D9580,42966ECF,3EC407F3,3C03126F,42AB6501,447A0000,42200000,00000000,47863655,47BF6800,43974232,3C23D70A,3C23D70A,3C0B4396,3EF33CC2,3F57A12D,3F99F355,3FAC7B5D,3FBDCEE6,3FBDE2BB,3EFAAA34,43714BBC,43840145,4395EC80,4399CE50,43971299,438E7FAB,43707CD9,401B7F18,3F672A52,3F7BEEC8,3FB3C858,3F21DAB8,3FE5B64D,4008F835,439B0E14,3E06F3D6,3DCE4CA2,3CB411A4,3FBD7FE7,BF4DF505,42F2A13F,C3F9CBA9,44824646,418659C6,439C4516,3C8BA098,3E23B4D7,"MOZ changes sign twice across the five stability iterations, so MOZSGN reaches 2 and SFCDIF1 zeroes MOZ/FM/FH/MOZ2/FM2/FH2"
