case,dveg,croptype,vegtyp,yearlen,pgs,iswater,isbarren,isice,urban_flag,veg_row,snowh,tv,lat,julian,troot,lai_in,sai_in,hvt,hvb,tmin,laim01,laim02,laim03,laim04,laim05,laim06,laim07,laim08,laim09,laim10,laim11,laim12,saim01,saim02,saim03,saim04,saim05,saim06,saim07,saim08,saim09,saim10,saim11,saim12,lai,sai,elai,esai,igs,fb,binds
PH11_EXP_PARTIAL_BURIAL,4,0,20,365,1,16,19,24,0,USGS20_HERB_TUNDRA,3E19999A,43898000,3F333333,43484CCD,438C0000,411FD70A,410E147B,3F000000,3DCCCCCD,43860000,3E4CCCCD,3E99999A,3E99999A,3ECCCCCD,3F19999A,3FC00000,3FD9999A,3F4CCCCD,3ECCCCCD,3E99999A,3E4CCCCD,3E4CCCCD,3DCCCCCD,3DCCCCCD,3DCCCCCD,3DCCCCCD,3DCCCCCD,3E4CCCCD,3ECCCCCD,3F19999A,3F333333,3F000000,3E99999A,3E4CCCCD,3FCFC8CA,3ED5866A,3F17A417,3E1BD49F,3F800000,3F2295EB,EXP branch with SNOWH<SNOWHC and a partial FB
PH12_ZERO_TABLE_EXP,4,0,23,365,1,16,19,24,0,USGS23_BARE_TUNDRA,3E99999A,43898000,3F333333,42C80000,438C0000,411FD70A,410E147B,3F000000,3DCCCCCD,43860000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,3F800000,3F800000,all-zero LAIM/SAIM with the EXP branch live
PH13_SAI_SUBTHRESH,4,0,11,365,1,16,19,24,0,SYN_SAI_SUBTHRESH,3CA3D70A,43910000,3F333333,43358000,438C0000,411FD70A,410E147B,41800000,41380000,43888000,40000000,40000000,40000000,40000000,40000000,40000000,40000000,40000000,40000000,40000000,40000000,40000000,3CF5C28F,3CF5C28F,3CF5C28F,3CF5C28F,3CF5C28F,3CF5C28F,3CF5C28F,3CF5C28F,3CF5C28F,3CF5C28F,3CF5C28F,3CF5C28F,00000000,00000000,00000000,00000000,3F800000,00000000,"SAI in (0,0.05) so SAI:=0, then SAI==0.0 forces LAI:=0"
PH14_LAI_SUBTHRESH,4,0,11,365,1,16,19,24,0,SYN_LAI_SUBTHRESH,3CA3D70A,43910000,3F333333,43358000,438C0000,411FD70A,410E147B,41800000,41380000,43888000,3CF5C28F,3CF5C28F,3CF5C28F,3CF5C28F,3CF5C28F,3CF5C28F,3CF5C28F,3CF5C28F,3CF5C28F,3CF5C28F,3CF5C28F,3CF5C28F,3E99999A,3E99999A,3E99999A,3E99999A,3E99999A,3E99999A,3E99999A,3E99999A,3E99999A,3E99999A,3E99999A,3E99999A,00000000,3E99999A,00000000,3E99999A,3F800000,00000000,"LAI in (0,0.05) with SAI>=0.05, binding the first LAI disjunct alone"
PH15_PARTIAL_BURIAL,4,0,11,365,1,16,19,24,0,USGS11_DECID_BROADLEAF,41500000,43910000,3F333333,437A0000,438C0000,411FD70A,410E147B,41800000,41380000,43888000,00000000,00000000,3E99999A,3F99999A,40400000,40966666,40900000,4059999A,3F99999A,3E99999A,00000000,00000000,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3F666666,3F99999A,3FCCCCCD,3FB33333,3F19999A,3ECCCCCD,3FE8ADEF,3FBE6C04,3F9B1E9F,3F7DE55A,3F800000,3EAAAAAB,"MAX(SNOWH-HVB,0)>0 and MIN picks SNOWH-HVB"
PH16_FULL_BURIAL,4,0,11,365,1,16,19,24,0,USGS11_DECID_BROADLEAF,41A00000,43910000,3F333333,437A0000,438C0000,411FD70A,410E147B,41800000,41380000,43888000,00000000,00000000,3E99999A,3F99999A,40400000,40966666,40900000,4059999A,3F99999A,3E99999A,00000000,00000000,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3F666666,3F99999A,3FCCCCCD,3FB33333,3F19999A,3ECCCCCD,3FE8ADEF,3FBE6C04,00000000,00000000,3F800000,3F800000,MIN picks HVT-HVB so FB=1 and both ELAI and ESAI collapse
PH17_ESAI_SUBTHRESH,4,0,20,365,1,16,19,24,0,USGS20_HERB_TUNDRA,3E19999A,43898000,3F333333,41700000,438C0000,411FD70A,410E147B,3F000000,3DCCCCCD,43860000,3E4CCCCD,3E99999A,3E99999A,3ECCCCCD,3F19999A,3FC00000,3FD9999A,3F4CCCCD,3ECCCCCD,3E99999A,3E4CCCCD,3E4CCCCD,3DCCCCCD,3DCCCCCD,3DCCCCCD,3DCCCCCD,3DCCCCCD,3E4CCCCD,3ECCCCCD,3F19999A,3F333333,3F000000,3E99999A,3E4CCCCD,3E4CCCCD,3DCE33E7,00000000,00000000,3F800000,3F2295EB,"ESAI in (0,0.05) so ESAI:=0 while ELAI>=0.05, binding the ESAI==0 disjunct of the ELAI test on its own"
PH18_SH_EARLY,4,0,8,365,1,16,19,24,0,USGS08_SHRUBLAND,00000000,43878000,BF333333,41200000,438C0000,411FD70A,410E147B,3F8CCCCD,3DCCCCCD,43888000,00000000,00000000,3E4CCCCD,3F19999A,3FC00000,40133333,40133333,3FD9999A,3F19999A,3E4CCCCD,00000000,00000000,3E4CCCCD,3E4CCCCD,3E4CCCCD,3E4CCCCD,3E4CCCCD,3E4CCCCD,3ECCCCCD,3F19999A,3F4CCCCD,3F333333,3E99999A,3E4CCCCD,40133333,3EBB440A,40133333,3EBB440A,00000000,00000000,southern hemisphere with a small JULIAN; HVT>1 so no EXP; SNOWH=0
PH19_WATER_INDEX_HITS_VEG,4,0,11,365,1,11,19,24,0,USGS11_DECID_BROADLEAF,3CA3D70A,43910000,3F333333,43358000,438C0000,411FD70A,410E147B,41800000,41380000,43888000,00000000,00000000,3E99999A,3F99999A,40400000,40966666,40900000,4059999A,3F99999A,3E99999A,00000000,00000000,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3F666666,3F99999A,3FCCCCCD,3FB33333,3F19999A,3ECCCCCD,00000000,00000000,00000000,00000000,3F800000,00000000,"VEGTYP==ISWATER on a row with nonzero LAIM/SAIM, so the zeroing is observable"
PH20_BARREN_INDEX_HITS_VEG,4,0,11,365,1,16,11,24,0,USGS11_DECID_BROADLEAF,3CA3D70A,43910000,3F333333,43358000,438C0000,411FD70A,410E147B,41800000,41380000,43888000,00000000,00000000,3E99999A,3F99999A,40400000,40966666,40900000,4059999A,3F99999A,3E99999A,00000000,00000000,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3F666666,3F99999A,3FCCCCCD,3FB33333,3F19999A,3ECCCCCD,00000000,00000000,00000000,00000000,3F800000,00000000,VEGTYP==ISBARREN on a vegetated row
PH21_ICE_INDEX_HITS_VEG,4,0,11,365,1,16,19,11,0,USGS11_DECID_BROADLEAF,3CA3D70A,43910000,3F333333,43358000,438C0000,411FD70A,410E147B,41800000,41380000,43888000,00000000,00000000,3E99999A,3F99999A,40400000,40966666,40900000,4059999A,3F99999A,3E99999A,00000000,00000000,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3F666666,3F99999A,3FCCCCCD,3FB33333,3F19999A,3ECCCCCD,00000000,00000000,00000000,00000000,3F800000,00000000,VEGTYP==ISICE on a vegetated row
PH22_URBAN_FLAG_ON_VEG,4,0,11,365,1,16,19,24,1,USGS11_DECID_BROADLEAF,3CA3D70A,43910000,3F333333,43358000,438C0000,411FD70A,410E147B,41800000,41380000,43888000,00000000,00000000,3E99999A,3F99999A,40400000,40966666,40900000,4059999A,3F99999A,3E99999A,00000000,00000000,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3F666666,3F99999A,3FCCCCCD,3FB33333,3F19999A,3ECCCCCD,00000000,00000000,00000000,00000000,3F800000,00000000,parameters%urban_flag true on a vegetated row
