bits,x,atanf_bits,atanf
95D8D809,-8.75825486e-26,95D8D809,-8.75825486e-26
097324EB,2.92674198e-33,097324EB,2.92674198e-33
897324EB,-2.92674198e-33,897324EB,-2.92674198e-33
22FEE85D,6.90928621e-18,22FEE85D,6.90928621e-18
A2FEE85D,-6.90928621e-18,A2FEE85D,-6.90928621e-18
23AE91B2,1.89268222e-17,23AE91B2,1.89268222e-17
A3AE91B2,-1.89268222e-17,A3AE91B2,-1.89268222e-17
1CBB5D69,1.23987679e-21,1CBB5D69,1.23987679e-21
9CBB5D69,-1.23987679e-21,9CBB5D69,-1.23987679e-21
2DE2D3C1,2.57872629e-11,2DE2D3C1,2.57872629e-11
ADE2D3C1,-2.57872629e-11,ADE2D3C1,-2.57872629e-11
25E6F5D9,4.00652328e-16,25E6F5D9,4.00652328e-16
A5E6F5D9,-4.00652328e-16,A5E6F5D9,-4.00652328e-16
222401BC,2.22270627e-18,222401BC,2.22270627e-18
A22401BC,-2.22270627e-18,A22401BC,-2.22270627e-18
0329F3BC,4.99444297e-37,0329F3BC,4.99444297e-37
8329F3BC,-4.99444297e-37,8329F3BC,-4.99444297e-37
03D682DD,1.26078343e-36,03D682DD,1.26078343e-36
83D682DD,-1.26078343e-36,83D682DD,-1.26078343e-36
2119DEF0,5.21334717e-19,2119DEF0,5.21334717e-19
A119DEF0,-5.21334717e-19,A119DEF0,-5.21334717e-19
06E14431,8.47357915e-35,06E14431,8.47357915e-35
86E14431,-8.47357915e-35,86E14431,-8.47357915e-35
1690BCBC,2.33835629e-25,1690BCBC,2.33835629e-25
9690BCBC,-2.33835629e-25,9690BCBC,-2.33835629e-25
12058795,4.21345179e-28,12058795,4.21345179e-28
92058795,-4.21345179e-28,92058795,-4.21345179e-28
2784DE16,3.68781459e-15,2784DE16,3.68781459e-15
A784DE16,-3.68781459e-15,A784DE16,-3.68781459e-15
128D5D03,8.92128017e-28,128D5D03,8.92128017e-28
928D5D03,-8.92128017e-28,928D5D03,-8.92128017e-28
29A8D366,7.49737051e-14,29A8D366,7.49737051e-14
A9A8D366,-7.49737051e-14,A9A8D366,-7.49737051e-14
020EE31F,1.04976929e-37,020EE31F,1.04976929e-37
820EE31F,-1.04976929e-37,820EE31F,-1.04976929e-37
1C3FC6B1,6.34534014e-22,1C3FC6B1,6.34534014e-22
9C3FC6B1,-6.34534014e-22,9C3FC6B1,-6.34534014e-22
063899FD,3.47196864e-35,063899FD,3.47196864e-35
863899FD,-3.47196864e-35,863899FD,-3.47196864e-35
0DCBFAFE,1.25712651e-30,0DCBFAFE,1.25712651e-30
8DCBFAFE,-1.25712651e-30,8DCBFAFE,-1.25712651e-30
0503F518,6.20460701e-36,0503F518,6.20460701e-36
8503F518,-6.20460701e-36,8503F518,-6.20460701e-36
0F8DA834,1.39684629e-29,0F8DA834,1.39684629e-29
8F8DA834,-1.39684629e-29,8F8DA834,-1.39684629e-29
1DD4DF90,5.6347091e-21,1DD4DF90,5.6347091e-21
9DD4DF90,-5.6347091e-21,9DD4DF90,-5.6347091e-21
185C59F4,2.84797483e-24,185C59F4,2.84797483e-24
985C59F4,-2.84797483e-24,985C59F4,-2.84797483e-24
0FCCD61C,2.0198425e-29,0FCCD61C,2.0198425e-29
8FCCD61C,-2.0198425e-29,8FCCD61C,-2.0198425e-29
15CFDB4A,8.39526113e-26,15CFDB4A,8.39526113e-26
95CFDB4A,-8.39526113e-26,95CFDB4A,-8.39526113e-26
0DCD5F60,1.26570611e-30,0DCD5F60,1.26570611e-30
8DCD5F60,-1.26570611e-30,8DCD5F60,-1.26570611e-30
0E5D988A,2.7313798e-30,0E5D988A,2.7313798e-30
8E5D988A,-2.7313798e-30,8E5D988A,-2.7313798e-30
15C219D7,7.83967441e-26,15C219D7,7.83967441e-26
95C219D7,-7.83967441e-26,95C219D7,-7.83967441e-26
309EDBC3,1.15584731e-09,309EDBC3,1.15584731e-09
B09EDBC3,-1.15584731e-09,B09EDBC3,-1.15584731e-09
0EAD390C,4.27027268e-30,0EAD390C,4.27027268e-30
8EAD390C,-4.27027268e-30,8EAD390C,-4.27027268e-30
0D78F21F,7.67123429e-31,0D78F21F,7.67123429e-31
8D78F21F,-7.67123429e-31,8D78F21F,-7.67123429e-31
10427E4C,3.83570495e-29,10427E4C,3.83570495e-29
90427E4C,-3.83570495e-29,90427E4C,-3.83570495e-29
224F5276,2.80973857e-18,224F5276,2.80973857e-18
A24F5276,-2.80973857e-18,A24F5276,-2.80973857e-18
0942CDCA,2.34486621e-33,0942CDCA,2.34486621e-33
8942CDCA,-2.34486621e-33,8942CDCA,-2.34486621e-33
29DA567E,9.69614878e-14,29DA567E,9.69614878e-14
A9DA567E,-9.69614878e-14,A9DA567E,-9.69614878e-14
08C8DBAD,1.20887077e-33,08C8DBAD,1.20887077e-33
88C8DBAD,-1.20887077e-33,88C8DBAD,-1.20887077e-33
1C34966A,5.97514097e-22,1C34966A,5.97514097e-22
9C34966A,-5.97514097e-22,9C34966A,-5.97514097e-22
14F638F3,2.48621147e-26,14F638F3,2.48621147e-26
94F638F3,-2.48621147e-26,94F638F3,-2.48621147e-26
0E79EF5F,3.08068726e-30,0E79EF5F,3.08068726e-30
8E79EF5F,-3.08068726e-30,8E79EF5F,-3.08068726e-30
0AFC9FFD,2.43268982e-32,0AFC9FFD,2.43268982e-32
8AFC9FFD,-2.43268982e-32,8AFC9FFD,-2.43268982e-32
1E892A79,1.45230055e-20,1E892A79,1.45230055e-20
9E892A79,-1.45230055e-20,9E892A79,-1.45230055e-20
246F0E2B,5.18368646e-17,246F0E2B,5.18368646e-17
A46F0E2B,-5.18368646e-17,A46F0E2B,-5.18368646e-17
064E60C8,3.88153974e-35,064E60C8,3.88153974e-35
864E60C8,-3.88153974e-35,864E60C8,-3.88153974e-35
158F4FFA,5.78834208e-26,158F4FFA,5.78834208e-26
958F4FFA,-5.78834208e-26,958F4FFA,-5.78834208e-26
01D0EC6D,7.67463872e-38,01D0EC6D,7.67463872e-38
81D0EC6D,-7.67463872e-38,81D0EC6D,-7.67463872e-38
2B55CF48,7.59604619e-13,2B55CF48,7.59604619e-13
AB55CF48,-7.59604619e-13,AB55CF48,-7.59604619e-13
1CE7FE07,1.53519622e-21,1CE7FE07,1.53519622e-21
9CE7FE07,-1.53519622e-21,9CE7FE07,-1.53519622e-21
01DD829F,8.13700107e-38,01DD829F,8.13700107e-38
81DD829F,-8.13700107e-38,81DD829F,-8.13700107e-38
1B30A648,1.46121072e-22,1B30A648,1.46121072e-22
9B30A648,-1.46121072e-22,9B30A648,-1.46121072e-22
1E3CB7B9,9.99063009e-21,1E3CB7B9,9.99063009e-21
9E3CB7B9,-9.99063009e-21,9E3CB7B9,-9.99063009e-21
29CA180A,8.97477215e-14,29CA180A,8.97477215e-14
A9CA180A,-8.97477215e-14,A9CA180A,-8.97477215e-14
16475621,1.61022695e-25,16475621,1.61022695e-25
96475621,-1.61022695e-25,96475621,-1.61022695e-25
21B5B66F,1.23133268e-18,21B5B66F,1.23133268e-18
A1B5B66F,-1.23133268e-18,A1B5B66F,-1.23133268e-18
1099F2D4,6.07219952e-29,1099F2D4,6.07219952e-29
9099F2D4,-6.07219952e-29,9099F2D4,-6.07219952e-29
02DFD5A7,3.28895355e-37,02DFD5A7,3.28895355e-37
82DFD5A7,-3.28895355e-37,82DFD5A7,-3.28895355e-37
222BFF58,2.33099993e-18,222BFF58,2.33099993e-18
A22BFF58,-2.33099993e-18,A22BFF58,-2.33099993e-18
137C4D77,3.18450648e-27,137C4D77,3.18450648e-27
937C4D77,-3.18450648e-27,937C4D77,-3.18450648e-27
1CE761DA,1.53115918e-21,1CE761DA,1.53115918e-21
9CE761DA,-1.53115918e-21,9CE761DA,-1.53115918e-21
0B935E75,5.67644635e-32,0B935E75,5.67644635e-32
8B935E75,-5.67644635e-32,8B935E75,-5.67644635e-32
2EB1C407,8.08384956e-11,2EB1C407,8.08384956e-11
AEB1C407,-8.08384956e-11,AEB1C407,-8.08384956e-11
27E0B103,6.23644059e-15,27E0B103,6.23644059e-15
A7E0B103,-6.23644059e-15,A7E0B103,-6.23644059e-15
224382E5,2.64967229e-18,224382E5,2.64967229e-18
A24382E5,-2.64967229e-18,A24382E5,-2.64967229e-18
2E62A1EC,5.15302662e-11,2E62A1EC,5.15302662e-11
AE62A1EC,-5.15302662e-11,AE62A1EC,-5.15302662e-11
09E16B5D,5.42677436e-33,09E16B5D,5.42677436e-33
89E16B5D,-5.42677436e-33,89E16B5D,-5.42677436e-33
2B332C10,6.36547239e-13,2B332C10,6.36547239e-13
AB332C10,-6.36547239e-13,AB332C10,-6.36547239e-13
262EB34E,6.06113801e-16,262EB34E,6.06113801e-16
A62EB34E,-6.06113801e-16,A62EB34E,-6.06113801e-16
2ED65E01,9.74829176e-11,2ED65E01,9.74829176e-11
AED65E01,-9.74829176e-11,AED65E01,-9.74829176e-11
1DCE9FB4,5.46928751e-21,1DCE9FB4,5.46928751e-21
9DCE9FB4,-5.46928751e-21,9DCE9FB4,-5.46928751e-21
1A47DACE,4.13289845e-23,1A47DACE,4.13289845e-23
9A47DACE,-4.13289845e-23,9A47DACE,-4.13289845e-23
1DF98810,6.60504365e-21,1DF98810,6.60504365e-21
9DF98810,-6.60504365e-21,9DF98810,-6.60504365e-21
00DC9B72,2.02595724e-38,00DC9B72,2.02595724e-38
80DC9B72,-2.02595724e-38,80DC9B72,-2.02595724e-38
04F3D30D,5.7322845e-36,04F3D30D,5.7322845e-36
84F3D30D,-5.7322845e-36,84F3D30D,-5.7322845e-36
291C58A0,3.47158283e-14,291C58A0,3.47158283e-14
A91C58A0,-3.47158283e-14,A91C58A0,-3.47158283e-14
264C4073,7.08640628e-16,264C4073,7.08640628e-16
A64C4073,-7.08640628e-16,A64C4073,-7.08640628e-16
0A51D55D,1.01031131e-32,0A51D55D,1.01031131e-32
8A51D55D,-1.01031131e-32,8A51D55D,-1.01031131e-32
23A7D206,1.81951247e-17,23A7D206,1.81951247e-17
A3A7D206,-1.81951247e-17,A3A7D206,-1.81951247e-17
0072AA09,1.05302437e-38,0072AA09,1.05302437e-38
8072AA09,-1.05302437e-38,8072AA09,-1.05302437e-38
300C590D,5.10582521e-10,300C590D,5.10582521e-10
B00C590D,-5.10582521e-10,B00C590D,-5.10582521e-10
246A92F5,5.08651391e-17,246A92F5,5.08651391e-17
A46A92F5,-5.08651391e-17,A46A92F5,-5.08651391e-17
2D39B58A,1.05563423e-11,2D39B58A,1.05563423e-11
AD39B58A,-1.05563423e-11,AD39B58A,-1.05563423e-11
01C9F4E1,7.41871229e-38,01C9F4E1,7.41871229e-38
81C9F4E1,-7.41871229e-38,81C9F4E1,-7.41871229e-38
27978627,4.20563674e-15,27978627,4.20563674e-15
A7978627,-4.20563674e-15,A7978627,-4.20563674e-15
0BE1943E,8.68898976e-32,0BE1943E,8.68898976e-32
8BE1943E,-8.68898976e-32,8BE1943E,-8.68898976e-32
1912E2EC,7.5938496e-24,1912E2EC,7.5938496e-24
9912E2EC,-7.5938496e-24,9912E2EC,-7.5938496e-24
2AA48261,2.92227207e-13,2AA48261,2.92227207e-13
AAA48261,-2.92227207e-13,AAA48261,-2.92227207e-13
233F9E86,1.03876994e-17,233F9E86,1.03876994e-17
A33F9E86,-1.03876994e-17,A33F9E86,-1.03876994e-17
17993E8D,9.9031833e-25,17993E8D,9.9031833e-25
97993E8D,-9.9031833e-25,97993E8D,-9.9031833e-25
1B739F0A,2.01518772e-22,1B739F0A,2.01518772e-22
9B739F0A,-2.01518772e-22,9B739F0A,-2.01518772e-22
2B056F89,4.74058781e-13,2B056F89,4.74058781e-13
AB056F89,-4.74058781e-13,AB056F89,-4.74058781e-13
0456DE45,2.52576403e-36,0456DE45,2.52576403e-36
8456DE45,-2.52576403e-36,8456DE45,-2.52576403e-36
0E1A6EAD,1.9035254e-30,0E1A6EAD,1.9035254e-30
8E1A6EAD,-1.9035254e-30,8E1A6EAD,-1.9035254e-30
0F032844,6.46655354e-30,0F032844,6.46655354e-30
8F032844,-6.46655354e-30,8F032844,-6.46655354e-30
2E964853,6.83405763e-11,2E964853,6.83405763e-11
AE964853,-6.83405763e-11,AE964853,-6.83405763e-11
26B77A29,1.27312874e-15,26B77A29,1.27312874e-15
A6B77A29,-1.27312874e-15,A6B77A29,-1.27312874e-15
2B0D69B6,5.02399663e-13,2B0D69B6,5.02399663e-13
AB0D69B6,-5.02399663e-13,AB0D69B6,-5.02399663e-13
109922E5,6.04016228e-29,109922E5,6.04016228e-29
909922E5,-6.04016228e-29,909922E5,-6.04016228e-29
0EF343E9,5.99695201e-30,0EF343E9,5.99695201e-30
8EF343E9,-5.99695201e-30,8EF343E9,-5.99695201e-30
111AEE88,1.22219611e-28,111AEE88,1.22219611e-28
911AEE88,-1.22219611e-28,911AEE88,-1.22219611e-28
269A122C,1.06908221e-15,269A122C,1.06908221e-15
A69A122C,-1.06908221e-15,A69A122C,-1.06908221e-15
089BDD1F,9.38070849e-34,089BDD1F,9.38070849e-34
889BDD1F,-9.38070849e-34,889BDD1F,-9.38070849e-34
1280872F,8.111261e-28,1280872F,8.111261e-28
9280872F,-8.111261e-28,9280872F,-8.111261e-28
055EB318,1.04712842e-35,055EB318,1.04712842e-35
855EB318,-1.04712842e-35,855EB318,-1.04712842e-35
2B373E01,6.5100708e-13,2B373E01,6.5100708e-13
AB373E01,-6.5100708e-13,AB373E01,-6.5100708e-13
101C4CD5,3.08247645e-29,101C4CD5,3.08247645e-29
901C4CD5,-3.08247645e-29,901C4CD5,-3.08247645e-29
1F294E1F,3.58517623e-20,1F294E1F,3.58517623e-20
9F294E1F,-3.58517623e-20,9F294E1F,-3.58517623e-20
21524A17,7.12488247e-19,21524A17,7.12488247e-19
A1524A17,-7.12488247e-19,A1524A17,-7.12488247e-19
147F4EA3,1.28897183e-26,147F4EA3,1.28897183e-26
947F4EA3,-1.28897183e-26,947F4EA3,-1.28897183e-26
152B57C4,3.46024099e-26,152B57C4,3.46024099e-26
952B57C4,-3.46024099e-26,952B57C4,-3.46024099e-26
12CDDB28,1.2991345e-27,12CDDB28,1.2991345e-27
92CDDB28,-1.2991345e-27,92CDDB28,-1.2991345e-27
24F83B4D,1.07653315e-16,24F83B4D,1.07653315e-16
A4F83B4D,-1.07653315e-16,A4F83B4D,-1.07653315e-16
06713371,4.53648553e-35,06713371,4.53648553e-35
86713371,-4.53648553e-35,86713371,-4.53648553e-35
24A32BA7,7.07639316e-17,24A32BA7,7.07639316e-17
A4A32BA7,-7.07639316e-17,A4A32BA7,-7.07639316e-17
10CC88D4,8.06746294e-29,10CC88D4,8.06746294e-29
90CC88D4,-8.06746294e-29,90CC88D4,-8.06746294e-29
27FB49C0,6.97464547e-15,27FB49C0,6.97464547e-15
A7FB49C0,-6.97464547e-15,A7FB49C0,-6.97464547e-15
0F091026,6.75773158e-30,0F091026,6.75773158e-30
8F091026,-6.75773158e-30,8F091026,-6.75773158e-30
08F0896C,1.44767823e-33,08F0896C,1.44767823e-33
88F0896C,-1.44767823e-33,88F0896C,-1.44767823e-33
189EB0E8,4.10206724e-24,189EB0E8,4.10206724e-24
989EB0E8,-4.10206724e-24,989EB0E8,-4.10206724e-24
112C2732,1.35804856e-28,112C2732,1.35804856e-28
912C2732,-1.35804856e-28,912C2732,-1.35804856e-28
0D5154A4,6.45049798e-31,0D5154A4,6.45049798e-31
8D5154A4,-6.45049798e-31,8D5154A4,-6.45049798e-31
0CBD1621,2.91333791e-31,0CBD1621,2.91333791e-31
8CBD1621,-2.91333791e-31,8CBD1621,-2.91333791e-31
034A2B7A,5.94123734e-37,034A2B7A,5.94123734e-37
834A2B7A,-5.94123734e-37,834A2B7A,-5.94123734e-37
0F40FE68,9.51532772e-30,0F40FE68,9.51532772e-30
8F40FE68,-9.51532772e-30,8F40FE68,-9.51532772e-30
2EFFF5C5,1.16397149e-10,2EFFF5C5,1.16397149e-10
AEFFF5C5,-1.16397149e-10,AEFFF5C5,-1.16397149e-10
132C9B5E,2.1786054e-27,132C9B5E,2.1786054e-27
932C9B5E,-2.1786054e-27,932C9B5E,-2.1786054e-27
054C703B,9.61264738e-36,054C703B,9.61264738e-36
854C703B,-9.61264738e-36,854C703B,-9.61264738e-36
266DCA6D,8.25002309e-16,266DCA6D,8.25002309e-16
A66DCA6D,-8.25002309e-16,A66DCA6D,-8.25002309e-16
222DE40B,2.35665969e-18,222DE40B,2.35665969e-18
A22DE40B,-2.35665969e-18,A22DE40B,-2.35665969e-18
2A2B3D8B,1.5209203e-13,2A2B3D8B,1.5209203e-13
AA2B3D8B,-1.5209203e-13,AA2B3D8B,-1.5209203e-13
0CE52640,3.53060575e-31,0CE52640,3.53060575e-31
8CE52640,-3.53060575e-31,8CE52640,-3.53060575e-31
0E7C14ED,3.10714735e-30,0E7C14ED,3.10714735e-30
8E7C14ED,-3.10714735e-30,8E7C14ED,-3.10714735e-30
27C4A4B0,5.45794828e-15,27C4A4B0,5.45794828e-15
A7C4A4B0,-5.45794828e-15,A7C4A4B0,-5.45794828e-15
2C86599A,3.81845684e-12,2C86599A,3.81845684e-12
AC86599A,-3.81845684e-12,AC86599A,-3.81845684e-12
0DDB4F8B,1.35160663e-30,0DDB4F8B,1.35160663e-30
8DDB4F8B,-1.35160663e-30,8DDB4F8B,-1.35160663e-30
05149A40,6.98725781e-36,05149A40,6.98725781e-36
85149A40,-6.98725781e-36,85149A40,-6.98725781e-36
1BA19492,2.6731227e-22,1BA19492,2.6731227e-22
9BA19492,-2.6731227e-22,9BA19492,-2.6731227e-22
171487EC,4.79929367e-25,171487EC,4.79929367e-25
971487EC,-4.79929367e-25,971487EC,-4.79929367e-25
162C6302,1.39252907e-25,162C6302,1.39252907e-25
962C6302,-1.39252907e-25,962C6302,-1.39252907e-25
0AE80A4F,2.2344665e-32,0AE80A4F,2.2344665e-32
8AE80A4F,-2.2344665e-32,8AE80A4F,-2.2344665e-32
2A282E32,1.49374247e-13,2A282E32,1.49374247e-13
AA282E32,-1.49374247e-13,AA282E32,-1.49374247e-13
19F6AC01,2.55052757e-23,19F6AC01,2.55052757e-23
99F6AC01,-2.55052757e-23,99F6AC01,-2.55052757e-23
1CDFDA12,1.4813272e-21,1CDFDA12,1.4813272e-21
9CDFDA12,-1.4813272e-21,9CDFDA12,-1.4813272e-21
2B3A37C2,6.61578539e-13,2B3A37C2,6.61578539e-13
AB3A37C2,-6.61578539e-13,AB3A37C2,-6.61578539e-13
0103F134,2.42339547e-38,0103F134,2.42339547e-38
8103F134,-2.42339547e-38,8103F134,-2.42339547e-38
2C5E06A4,3.15517838e-12,2C5E06A4,3.15517838e-12
AC5E06A4,-3.15517838e-12,AC5E06A4,-3.15517838e-12
2A2080A2,1.42554832e-13,2A2080A2,1.42554832e-13
AA2080A2,-1.42554832e-13,AA2080A2,-1.42554832e-13
2B16AA91,5.35274136e-13,2B16AA91,5.35274136e-13
AB16AA91,-5.35274136e-13,AB16AA91,-5.35274136e-13
032899FC,4.95475281e-37,032899FC,4.95475281e-37
832899FC,-4.95475281e-37,832899FC,-4.95475281e-37
01EF2364,8.78455174e-38,01EF2364,8.78455174e-38
81EF2364,-8.78455174e-38,81EF2364,-8.78455174e-38
027022A4,1.76423566e-37,027022A4,1.76423566e-37
827022A4,-1.76423566e-37,827022A4,-1.76423566e-37
020419A4,9.70518689e-38,020419A4,9.70518689e-38
820419A4,-9.70518689e-38,820419A4,-9.70518689e-38
182CBC22,2.23254618e-24,182CBC22,2.23254618e-24
982CBC22,-2.23254618e-24,982CBC22,-2.23254618e-24
04A62CAD,3.90674407e-36,04A62CAD,3.90674407e-36
84A62CAD,-3.90674407e-36,84A62CAD,-3.90674407e-36
0B897049,5.29394284e-32,0B897049,5.29394284e-32
8B897049,-5.29394284e-32,8B897049,-5.29394284e-32
23CE046F,2.23364425e-17,23CE046F,2.23364425e-17
A3CE046F,-2.23364425e-17,A3CE046F,-2.23364425e-17
1DEE6585,6.31030442e-21,1DEE6585,6.31030442e-21
9DEE6585,-6.31030442e-21,9DEE6585,-6.31030442e-21
289818A7,1.68860812e-14,289818A7,1.68860812e-14
A89818A7,-1.68860812e-14,A89818A7,-1.68860812e-14
04813147,3.03730083e-36,04813147,3.03730083e-36
84813147,-3.03730083e-36,84813147,-3.03730083e-36
1D5D36EB,2.92774984e-21,1D5D36EB,2.92774984e-21
9D5D36EB,-2.92774984e-21,9D5D36EB,-2.92774984e-21
03617F3E,6.62676241e-37,03617F3E,6.62676241e-37
83617F3E,-6.62676241e-37,83617F3E,-6.62676241e-37
