case,ib,ic,vegtyp,ist,iloc,jloc,xl,omegas1,omegas2,betads,betais,cosz,vai,fwet,t,fveg,albgrd1,albgrd2,albgri1,albgri2,rho1,rho2,tau1,tau2,fab_in1,fab_in2,fre_in1,fre_in2,ftd_in1,ftd_in2,fti_in1,fti_in2,gdir_in,frev_in1,frev_in2,freg_in1,freg_in2,bgap_in,wgap_in,fab1,fab2,fre1,fre2,ftd1,ftd2,fti1,fti2,gdir,frev1,frev2,freg1,freg2,bgap,wgap
ts_chil_clamp_low,1,0,11,1,3,7,0xBF666666,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F333333,0x40333333,0x3DCCCCCD,0x43900000,0x3F0CCCCD,0x3E19999A,0x3E99999A,0x3E178D50,0x3E978D50,0x3DE147AE,0x3F147AE1,0x3D8F5C29,0x3E800000,0xC1A00000,0xC2000000,0xC2300000,0xC2600000,0xC2780000,0xC2940000,0xC2A60000,0xC2BA0000,0xC1A00000,0xC2CE0000,0xC2E20000,0xC2F60000,0xC3050000,0x3EF851EC,0x3F03D70A,0x3EE1827F,0xC2000000,0x3DB61D2E,0xC2600000,0x3F0A129E,0xC2940000,0x3C6A4B9B,0xC2BA0000,0x3EE8A06B,0x3CAF7EF5,0xC2E20000,0x3D8A3D71,0xC3050000,0x3EF851EC,0x3F03D70A
ts_chil_clamp_high,1,0,11,1,3,7,0x3F733333,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F333333,0x40333333,0x3DCCCCCD,0x43900000,0x3F0CCCCD,0x3E19999A,0x3E99999A,0x3E178D50,0x3E978D50,0x3DE147AE,0x3F147AE1,0x3D8F5C29,0x3E800000,0xC1A80000,0xC2080000,0xC23C0000,0xC2700000,0xC2860000,0xC2A00000,0xC2B40000,0xC2CA0000,0xC1A80000,0xC2E00000,0xC2F60000,0xC3060000,0xC3110000,0x3EFD70A4,0x3F0147AE,0x3EF16371,0xC2080000,0x3DC316D8,0xC2700000,0x3EFE986D,0xC2A00000,0x3C4C0FAA,0xC2CA0000,0x3F1D13A6,0x3CE3659E,0xC2F60000,0x3D8A3D71,0xC3110000,0x3EFD70A4,0x3F0147AE
ts_chil_eps_from_zero,1,0,11,1,3,7,0x00000000,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F333333,0x40333333,0x3DCCCCCD,0x43900000,0x3F0CCCCD,0x3E19999A,0x3E99999A,0x3E178D50,0x3E978D50,0x3DE147AE,0x3F147AE1,0x3D8F5C29,0x3E800000,0xC1B00000,0xC2100000,0xC2480000,0xC2800000,0xC2900000,0xC2AC0000,0xC2C20000,0xC2DA0000,0xC1B00000,0xC2F20000,0xC3050000,0xC3110000,0xC31D0000,0x3F0147AE,0x3EFD70A4,0x3EE8E00A,0xC2100000,0x3DB6E1C0,0xC2800000,0x3F062522,0xC2AC0000,0x3C493B59,0xC2DA0000,0x3F005EFE,0x3CB2913C,0xC3050000,0x3D8A3D71,0xC31D0000,0x3F0147AE,0x3EFD70A4
ts_chil_eps_from_small,1,0,11,1,3,7,0xBBA3D70A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F333333,0x40333333,0x3DCCCCCD,0x43900000,0x3F0CCCCD,0x3E19999A,0x3E99999A,0x3E178D50,0x3E978D50,0x3DE147AE,0x3F147AE1,0x3D8F5C29,0x3E800000,0xC1B80000,0xC2180000,0xC2540000,0xC2880000,0xC29A0000,0xC2B80000,0xC2D00000,0xC2EA0000,0xC1B80000,0xC3020000,0xC30F0000,0xC31C0000,0xC3290000,0x3F03D70A,0x3EF851EC,0x3EE8E00A,0xC2180000,0x3DB6E1C0,0xC2880000,0x3F062522,0xC2B80000,0x3C493B59,0xC2EA0000,0x3F005EFE,0x3CB2913C,0xC30F0000,0x3D8A3D71,0xC3290000,0x3F03D70A,0x3EF851EC
ts_sigma_neg_far,1,0,11,1,3,7,0xBE99999A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F166B6E,0x40066666,0x00000000,0x43910000,0x3F19999A,0x3E3851EC,0x3EAE147B,0x3E3645A2,0x3EAC0831,0x3DE147AE,0x3F147AE1,0x3D8F5C29,0x3E800000,0xC1C00000,0xC2200000,0xC2600000,0xC2900000,0xC2A40000,0xC2C40000,0xC2DE0000,0xC2FA0000,0xC1C00000,0xC30B0000,0xC3190000,0xC3270000,0xC3350000,0x3F066666,0x3EF33334,0x3EF1C009,0xC2200000,0x3DCC93E4,0xC2900000,0x3F0093AF,0xC2C40000,0x3CA06080,0xC2FA0000,0x3EFD7D44,0x3CE47CA1,0xC3190000,0x3D9374BC,0xC3350000,0x3F066666,0x3EF33334
ts_sigma_neg_mid,1,0,11,1,3,7,0xBE99999A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F166B63,0x40066666,0x00000000,0x43910000,0x3F19999A,0x3E3851EC,0x3EAE147B,0x3E3645A2,0x3EAC0831,0x3DE147AE,0x3F147AE1,0x3D8F5C29,0x3E800000,0xC1C80000,0xC2280000,0xC26C0000,0xC2980000,0xC2AE0000,0xC2D00000,0xC2EC0000,0xC3050000,0xC1C80000,0xC3140000,0xC3230000,0xC3320000,0xC3410000,0x3F08F5C2,0x3EEE147B,0x3EF75C29,0xC2280000,0x3DC8C0E4,0xC2980000,0x3F0093AA,0xC2D00000,0x3C0B96AC,0xC3050000,0x3EFD7D4A,0x3CD5309E,0xC3230000,0x3D9374BC,0xC3410000,0x3F08F5C2,0x3EEE147B
ts_sigma_neg_near,1,0,11,1,3,7,0xBE99999A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F166B62,0x40066666,0x00000000,0x43910000,0x3F19999A,0x3E3851EC,0x3EAE147B,0x3E3645A2,0x3EAC0831,0x3DE147AE,0x3F147AE1,0x3D8F5C29,0x3E800000,0xC1D00000,0xC2300000,0xC2780000,0xC2A00000,0xC2B80000,0xC2DC0000,0xC2FA0000,0xC30D0000,0xC1D00000,0xC31D0000,0xC32D0000,0xC33D0000,0xC34D0000,0x3F0B851F,0x3EE8F5C2,0x3EF4419D,0xC2300000,0x3DCA3AB9,0xC2A00000,0x3F0093AA,0xC2DC0000,0x3C760C9D,0xC30D0000,0x3EFD7D4C,0x3CDB17F3,0xC32D0000,0x3D9374BC,0xC34D0000,0x3F0B851F,0x3EE8F5C2
ts_sigma_pos_near,1,0,11,1,3,7,0xBE99999A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F166B5F,0x40066666,0x00000000,0x43910000,0x3F19999A,0x3E3851EC,0x3EAE147B,0x3E3645A2,0x3EAC0831,0x3DE147AE,0x3F147AE1,0x3D8F5C29,0x3E800000,0xC1D80000,0xC2380000,0xC2820000,0xC2A80000,0xC2C20000,0xC2E80000,0xC3040000,0xC3150000,0xC1D80000,0xC3260000,0xC3370000,0xC3480000,0xC3590000,0x3F0E147B,0x3EE3D70A,0x3EF0A101,0xC2380000,0x3DCD2043,0xC2A80000,0x3F0093A9,0xC2E80000,0x3CB3890E,0xC3150000,0x3EFD7D4D,0x3CE6AE1B,0xC3370000,0x3D9374BC,0xC3590000,0x3F0E147B,0x3EE3D70A
ts_sigma_pos_mid,1,0,11,1,3,7,0xBE99999A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F166B5E,0x40066666,0x00000000,0x43910000,0x3F19999A,0x3E3851EC,0x3EAE147B,0x3E3645A2,0x3EAC0831,0x3DE147AE,0x3F147AE1,0x3D8F5C29,0x3E800000,0xC1E00000,0xC2400000,0xC2880000,0xC2B00000,0xC2CC0000,0xC2F40000,0xC30B0000,0xC31D0000,0xC1E00000,0xC32F0000,0xC3410000,0xC3530000,0xC3650000,0x3F10A3D7,0x3EDEB852,0x3EF157AB,0xC2400000,0x3DCC6A68,0xC2B00000,0x3F0093A8,0xC2F40000,0x3CA91A95,0xC31D0000,0x3EFD7D4E,0x3CE3D6B2,0xC3410000,0x3D9374BC,0xC3650000,0x3F10A3D7,0x3EDEB852
ts_sigma_pos_far,1,0,11,1,3,7,0xBE99999A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F166B53,0x40066666,0x00000000,0x43910000,0x3F19999A,0x3E3851EC,0x3EAE147B,0x3E3645A2,0x3EAC0831,0x3DE147AE,0x3F147AE1,0x3D8F5C29,0x3E800000,0xC1E80000,0xC2480000,0xC28E0000,0xC2B80000,0xC2D60000,0xC3000000,0xC3120000,0xC3250000,0xC1E80000,0xC3380000,0xC34B0000,0xC35E0000,0xC3710000,0x3F133333,0x3ED9999A,0x3EF17D96,0xC2480000,0x3DCCA915,0xC2B80000,0x3F0093A4,0xC3000000,0x3CA5080C,0xC3250000,0x3EFD7D54,0x3CE4D163,0xC34B0000,0x3D9374BC,0xC3710000,0x3F133333,0x3ED9999A
ts_fveg_one_nogap,2,1,11,1,3,7,0xBE99999A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F400000,0x40900000,0x3E800000,0x438C8000,0x3F800000,0x3E4CCCCD,0x3EC28F5C,0x3E4AC083,0x3EC08312,0x3E02A993,0x3F0DF3B6,0x3DB53F7D,0x3E808312,0xC1F00000,0xC2500000,0xC2940000,0xC2C00000,0xC2E00000,0xC3060000,0xC3190000,0xC32D0000,0xC1F00000,0xC3410000,0xC3550000,0xC3690000,0xC37D0000,0x3F15C28F,0x3ED47AE2,0xC1F00000,0x3F02954E,0xC2940000,0x3ECA541E,0xC2E00000,0x00000000,0xC3190000,0x3E1B76F4,0x3EE61F36,0xC3410000,0x3ECA541E,0xC3690000,0x00000000,0x3F15C28F,0x3ED47AE2
ts_lowsun_cosz_clamp,1,0,11,1,3,7,0xBE99999A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3951B717,0x3FF33333,0x00000000,0x438F8000,0x3EE66666,0x3E6147AE,0x3ECCCCCD,0x3E5F3B64,0x3ECAC083,0x3DE147AE,0x3F147AE1,0x3D8F5C29,0x3E800000,0xC1F80000,0xC2580000,0xC29A0000,0xC2C80000,0xC2EA0000,0xC30C0000,0xC3200000,0xC3350000,0xC1F80000,0xC34A0000,0xC35F0000,0xC3740000,0xC3848000,0x3F1851EC,0x3ECF5C29,0x3ECD4625,0xC2580000,0x3E27845C,0xC2C80000,0x3F0CCCCD,0xC30C0000,0x3C07D5E8,0xC3350000,0x3F28F075,0x3D2E73BC,0xC35F0000,0x3DF7CED9,0xC3848000,0x3F1851EC,0x3ECF5C29
ts_logf_discrim_asu,1,0,11,1,3,7,0xBE99999A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F0CCCDF,0x40133333,0x00000000,0x43900000,0x3F147AE1,0x3E428F5C,0x3EB33333,0x3E408312,0x3EB126E9,0x3DE147AE,0x3F147AE1,0x3D8F5C29,0x3E800000,0xC2000000,0xC2600000,0xC2A00000,0xC2D00000,0xC2F40000,0xC3120000,0xC3270000,0xC33D0000,0xC2000000,0xC3530000,0xC3690000,0xC37F0000,0xC38A8000,0x3F1AE148,0x3ECA3D71,0x3EF6AE6E,0xC2600000,0x3DDAE211,0xC2D00000,0x3EFAE11B,0xC3120000,0x3C91878E,0xC33D0000,0x3F017297,0x3CDDCF88,0xC3690000,0x3DA36E2F,0xC38A8000,0x3F1AE148,0x3ECA3D71
ts_logf_discrim_avmu,1,1,11,1,3,7,0x3E4CCD18,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F23D70A,0x40033333,0x00000000,0x43900000,0x3F051EB8,0x3E51EB85,0x3EBAE148,0x3E4FDF3B,0x3EB8D4FE,0x3DE147AE,0x3F147AE1,0x3D8F5C29,0x3E800000,0xC2040000,0xC2680000,0xC2A60000,0xC2D80000,0xC2FE0000,0xC3180000,0xC32E0000,0xC3450000,0xC2040000,0xC35C0000,0xC3730000,0xC3850000,0xC3908000,0x3F1D70A4,0x3EC51EB8,0x3EDC47CA,0xC2680000,0x3E01C26A,0xC2D80000,0x00000000,0xC3180000,0x3F0E4EFF,0xC3450000,0x3F0462E4,0x3E01C26A,0xC3730000,0x00000000,0xC3908000,0x3F1D70A4,0x3EC51EB8
