case,k,isltyp,iland,nroot,tabs,lai,gswin,dqm,qmin,ref,wilt,pc,rstbl,rgltbl,rsmax,soiliqw,zshalf,tranf,transum
mixed_hot_crop,9,6,12,6,310.000000,2.50000000,40.0000000,0.400999993,0.500000007E-1,0.314000010,0.136999995,0.400000006,40.0000000,100.000000,5000.00000,0.300000012,2.29999995,0.00000000,0.211759642
bare_high_sun,1,8,16,4,315.000000,0.750000000,1200.00000,0.416999996,0.599999987E-1,0.356999993,0.170000002,0.300000012,999.000000,999.000000,5000.00000,0.999999978E-2,0.00000000,0.199999995E-3,0.187714398E-1
bare_high_sun,2,8,16,4,315.000000,0.750000000,1200.00000,0.416999996,0.599999987E-1,0.356999993,0.170000002,0.300000012,999.000000,999.000000,5000.00000,0.299999993E-1,0.499999989E-2,0.199999995E-3,0.187714398E-1
bare_high_sun,3,8,16,4,315.000000,0.750000000,1200.00000,0.416999996,0.599999987E-1,0.356999993,0.170000002,0.300000012,999.000000,999.000000,5000.00000,0.799999982E-1,0.249999985E-1,0.199999995E-3,0.187714398E-1
bare_high_sun,4,8,16,4,315.000000,0.750000000,1200.00000,0.416999996,0.599999987E-1,0.356999993,0.170000002,0.300000012,999.000000,999.000000,5000.00000,0.200000003,0.700000003E-1,0.181714389E-1,0.187714398E-1
bare_high_sun,5,8,16,4,315.000000,0.750000000,1200.00000,0.416999996,0.599999987E-1,0.356999993,0.170000002,0.300000012,999.000000,999.000000,5000.00000,0.200000003,0.200000003,0.00000000,0.187714398E-1
bare_high_sun,6,8,16,4,315.000000,0.750000000,1200.00000,0.416999996,0.599999987E-1,0.356999993,0.170000002,0.300000012,999.000000,999.000000,5000.00000,0.200000003,0.450000018,0.00000000,0.187714398E-1
bare_high_sun,7,8,16,4,315.000000,0.750000000,1200.00000,0.416999996,0.599999987E-1,0.356999993,0.170000002,0.300000012,999.000000,999.000000,5000.00000,0.200000003,0.800000012,0.00000000,0.187714398E-1
bare_high_sun,8,8,16,4,315.000000,0.750000000,1200.00000,0.416999996,0.599999987E-1,0.356999993,0.170000002,0.300000012,999.000000,999.000000,5000.00000,0.200000003,1.29999995,0.00000000,0.187714398E-1
bare_high_sun,9,8,16,4,315.000000,0.750000000,1200.00000,0.416999996,0.599999987E-1,0.356999993,0.170000002,0.300000012,999.000000,999.000000,5000.00000,0.200000003,2.29999995,0.00000000,0.187714398E-1
