case,itimestep,xland,snowh,u1,v1,t1,qv1,p1,rho1,dz1,u2,v2,dz2,psfc,tsk,pblh,mavail,hfx_input,qfx_input,znt_input,qsfc_input,ust_input,mol_input,ustm_input,regime,zol,rmol,ust,ustm,mol,psim,psih,chs,chs2,cqs2,ch,flhc,flqc,qgh,qsfc,hfx,qfx,lh,u10,v10,th2,t2,q2,gz1oz0,wspd,br,ck,cka,cd,cda,cpm,znt
strong_stable_land,2, 1.0000000000000000E+000, 0.0000000000000000E+000, 6.0000000000000000E+000, 1.0000000000000000E+000, 2.9500000000000000E+002, 6.0000000521540642E-003, 9.9000000000000000E+004, 1.1650869846343994E+000, 4.0000000000000000E+001, 8.0000000000000000E+000, 1.3999999761581421E+000, 6.0000000000000000E+001, 1.0000000000000000E+005, 2.8000000000000000E+002, 2.5000000000000000E+002, 4.4999998807907104E-001,-6.8144546508789062E+001,-8.9264273056555155E-013, 1.0000000149011612E-001, 5.9642144478857517E-003, 1.8217216432094574E-001, 3.1917652487754822E-001, 1.8217216432094574E-001, 1.0000000000000000E+000, 5.8641176223754883E+000, 2.9320588707923889E-001, 1.5134216845035553E-001, 1.5134216845035553E-001, 3.2116696238517761E-001,-1.4886399269104004E+001,-1.3329992294311523E+001, 3.0558628495782614E-003, 7.5692469254136086E-003, 7.6010804623365402E-003, 3.0558628495782614E-003, 3.5943927764892578E+000, 1.6024345532059669E-003, 1.6893278807401657E-002, 5.9642144478857517E-003,-5.6965114593505859E+001,-7.4619173687229257E-013,-1.8654793620953569E-006, 4.5670709609985352E+000, 7.6117849349975586E-001, 2.8639831542968750E+002, 2.8639831542968750E+002, 5.9999995864927769E-003, 5.3033046722412109E+000, 6.0827627182006836E+000, 2.8509205579757690E-001, 6.6569109912961721E-004, 4.0011008968576789E-004, 6.7746522836387157E-004, 3.9251841371878982E-004, 1.0095627441406250E+003, 1.0000000149011612E-001
clipped_stable_land,2, 1.0000000000000000E+000, 0.0000000000000000E+000, 1.2000000476837158E+000, 4.0000000596046448E-001, 2.9500000000000000E+002, 4.9999998882412910E-003, 9.9200000000000000E+004, 1.1681410074234009E+000, 4.0000000000000000E+001, 2.0000000000000000E+000, 6.9999998807907104E-001, 6.0000000000000000E+001, 1.0000000000000000E+005, 2.7800000000000000E+002, 1.8000000000000000E+002, 4.0000000596046448E-001,-1.1465639114379883E+001, 0.0000000000000000E+000, 1.0000000149011612E-001, 4.9751242622733116E-003, 3.4582596272230148E-002, 2.8221982717514038E-001, 3.4582596272230148E-002, 1.0000000000000000E+000, 2.0000000000000000E+001, 1.0000000000000000E+000, 2.6575673371553421E-002, 2.6575673371553421E-002, 2.8401809930801392E-001,-2.1944866180419922E+001,-1.9155990600585938E+001, 4.2568726348690689E-004, 9.4262528000399470E-004, 9.4424007693305612E-004, 4.2568723438307643E-004, 5.0159829854965210E-001, 1.9892099953722209E-004, 1.6858296468853951E-002, 4.9751242622733116E-003,-8.8671369552612305E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.8495334386825562E-001, 3.2831779122352600E-001, 2.8598324584960938E+002, 2.8598324584960938E+002, 4.9999998882412910E-003, 5.3033046722412109E+000, 1.2649110555648804E+000, 4.0000000000000000E+000, 3.5071428283117712E-004, 2.3516015789937228E-004, 3.1987219699658453E-004, 2.1549900702666491E-004, 1.0087188720703125E+003, 1.0000000149011612E-001
damped_stable_land,2, 1.0000000000000000E+000, 0.0000000000000000E+000, 5.0000000000000000E+000, 1.0000000000000000E+000, 2.9300000000000000E+002, 7.0000002160668373E-003, 9.9500000000000000E+004, 1.1782591342926025E+000, 4.0000000000000000E+001, 6.5000000000000000E+000, 1.2999999523162842E+000, 6.0000000000000000E+001, 1.0000000000000000E+005, 2.9100000000000000E+002, 4.0000000000000000E+002, 5.5000001192092896E-001,-3.0022308349609375E+001, 0.0000000000000000E+000, 1.0000000149011612E-001, 6.9513409398496151E-003, 2.4097517132759094E-001, 1.0509105026721954E-001, 2.4097517132759094E-001, 2.0000000000000000E+000, 3.6047387123107910E-001, 1.8023693934082985E-002, 2.5990152359008789E-001, 2.5990152359008789E-001, 1.0414258390665054E-001,-2.0116312503814697E+000,-2.6689758300781250E+000, 1.1137941852211952E-002, 2.2057693451642990E-002, 2.2227760404348373E-002, 1.1137941852211952E-002, 1.3259949684143066E+001, 7.2207278572022915E-003, 1.4812489040195942E-002, 6.9513409398496151E-003,-3.2088043212890625E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.8642351627349854E+000, 7.7284705638885498E-001, 2.9222192382812500E+002, 2.9222192382812500E+002, 7.0000002160668373E-003, 5.3033046722412109E+000, 5.0990195274353027E+000, 6.2498316168785095E-002, 3.8098706863820553E-003, 2.3443268146365881E-003, 5.0062420777976513E-003, 2.9901913367211819E-003, 1.0104064331054688E+003, 1.0000000149011612E-001
neutral_land,2, 1.0000000000000000E+000, 0.0000000000000000E+000, 4.0000000000000000E+000, 0.0000000000000000E+000, 2.9500000000000000E+002, 8.0000003799796104E-003, 1.0000000000000000E+005, 1.1754503250122070E+000, 4.0000000000000000E+001, 5.0000000000000000E+000, 0.0000000000000000E+000, 6.0000000000000000E+001, 1.0000000000000000E+005, 2.9500000000000000E+002, 6.0000000000000000E+002, 5.5000001192092896E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000149011612E-001, 7.9365083947777748E-003, 2.3084934055805206E-001, 0.0000000000000000E+000, 2.3084934055805206E-001, 3.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6627400517463684E-001, 2.6627400517463684E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6069635748863220E-002, 2.4377251043915749E-002, 2.4577412754297256E-002, 1.6069635748863220E-002, 1.9101562500000000E+001, 1.0394719429314137E-002, 1.6719803214073181E-002, 7.9365083947777748E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.4809393882751465E+000, 0.0000000000000000E+000, 2.9500000000000000E+002, 2.9500000000000000E+002, 8.0000003799796104E-003, 5.3033046722412109E+000, 4.0000000000000000E+000, 0.0000000000000000E+000, 5.8438279666006565E-003, 4.5543927699327469E-003, 7.5119710527360439E-003, 5.6888810358941555E-003, 1.0112501831054688E+003, 1.0000000149011612E-001
free_convective_land,2, 1.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+000, 1.0000000000000000E+000, 2.9900000000000000E+002, 1.2000000104308128E-002, 9.8500000000000000E+004, 1.1396236419677734E+000, 4.4000000000000000E+001, 4.0000000000000000E+000, 1.3999999761581421E+000, 6.6000000000000000E+001, 1.0000000000000000E+005, 3.0900000000000000E+002, 1.5000000000000000E+003, 7.5000000000000000E-001, 2.6779156494140625E+002, 0.0000000000000000E+000, 1.1999999731779099E-001, 1.1857707984745502E-002, 2.8524672985076904E-001,-8.1776928901672363E-001, 2.8524672985076904E-001, 4.0000000000000000E+000,-1.0734758377075195E+000,-4.8794355243444443E-002, 3.6179870367050171E-001, 3.6179870367050171E-001,-7.1738344430923462E-001, 1.1335531473159790E+000, 1.9213130474090576E+000, 2.9598874971270561E-002, 3.6527026444673538E-002, 3.6957561969757080E-002, 2.9598876833915710E-002, 3.4224914550781250E+001, 2.5321116670966148E-002, 2.1766735240817070E-002, 1.1857707984745502E-002, 2.9796398925781250E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6987996101379395E+000, 8.9959985017776489E-001, 3.0194525146484375E+002, 3.0194525146484375E+002, 1.2000000104308128E-002, 5.2167458534240723E+000, 4.4746761322021484E+000,-3.1474953889846802E-001, 9.3100396916270256E-003, 8.0214561894536018E-003, 1.1858272366225719E-002, 9.5966625958681107E-003, 1.0146253662109375E+003, 1.1999999731779099E-001
land_qsfc_unset,2, 1.0000000000000000E+000, 0.0000000000000000E+000, 5.0000000000000000E+000, 2.0000000000000000E+000, 2.9700000000000000E+002, 8.9999996125698090E-003, 9.9000000000000000E+004, 1.1551717519760132E+000, 4.0000000000000000E+001, 6.5000000000000000E+000, 2.5999999046325684E+000, 6.0000000000000000E+001, 1.0000000000000000E+005, 3.0200000000000000E+002, 9.0000000000000000E+002, 5.0000000000000000E-001, 1.2683440399169922E+002, 0.0000000000000000E+000, 1.0000000149011612E-001, 8.9197224006056786E-003, 3.5722061991691589E-001,-3.0533933639526367E-001, 3.5722061991691589E-001, 4.0000000000000000E+000,-3.1088304519653320E-001,-1.5544151887297630E-002, 4.2437660694122314E-001, 4.2437660694122314E-001,-2.8509435057640076E-001, 6.0053485631942749E-001, 1.0928354263305664E+000, 2.9024709016084671E-002, 3.7945356220006943E-002, 3.8280095905065536E-002, 2.9024710878729820E-002, 3.3934020996093750E+001, 1.6775783151388168E-002, 1.9138988107442856E-002, 8.9197224006056786E-003, 1.4068824768066406E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.4970269203186035E+000, 1.7988109588623047E+000, 2.9882873535156250E+002, 2.9882873535156250E+002, 8.9999996125698090E-003, 5.3033046722412109E+000, 5.7789115905761719E+000,-8.2219630479812622E-002, 6.8404213525354862E-003, 5.8213151060044765E-003, 8.9433770626783371E-003, 7.2345673106610775E-003, 1.0120940551757812E+003, 1.0000000149011612E-001
thin_land_level2_wind,2, 1.0000000000000000E+000, 0.0000000000000000E+000, 2.5000000000000000E+000, 8.0000001192092896E-001, 2.9400000000000000E+002, 6.5000001341104507E-003, 9.9800000000000000E+004, 1.1781440973281860E+000, 6.0000000000000000E+000, 3.2000000476837158E+000, 1.0000000000000000E+000, 1.0000000000000000E+001, 1.0000000000000000E+005, 2.9000000000000000E+002, 3.0000000000000000E+002, 5.0000000000000000E-001,-4.1025482177734375E+001, 2.2714913717331031E-012, 5.0000000745058060E-002, 6.4580230973660946E-003, 1.4402148127555847E-001, 2.4033519625663757E-001, 1.4402148127555847E-001, 2.0000000000000000E+000, 2.8142550587654114E-001, 9.3808501958847046E-002, 1.6413183510303497E-001, 1.6413183510303497E-001, 2.3810531198978424E-001,-1.5878884792327881E+000,-2.1768627166748047E+000, 9.3391612172126770E-003, 1.1004409752786160E-002, 1.1028181761503220E-002, 9.3391612172126770E-003, 1.1112737655639648E+001, 5.5081970058381557E-003, 1.5732189640402794E-002, 6.4580230973660946E-003,-4.6320255279541016E+001, 2.5649541084832306E-012, 6.4123851188924164E-006, 3.2000000476837158E+000, 1.0000000000000000E+000, 2.9353744506835938E+002, 2.9353744506835938E+002, 6.5000001341104507E-003, 4.1108736991882324E+000, 2.6248810291290283E+000, 6.0761619359254837E-002, 1.3824123889207840E-003, 3.9987820200622082E-003, 1.5517383581027389E-003, 4.9267318099737167E-003, 1.0099846191406250E+003, 5.0000000745058060E-002
thin_land_log10_wind,2, 1.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000000000000E+000, 5.0000000000000000E-001, 2.9600000000000000E+002, 7.4999998323619366E-003, 9.9850000000000000E+004, 1.1700706481933594E+000, 3.0000000000000000E+000, 2.5999999046325684E+000, 6.9999998807907104E-001, 4.0000000000000000E+001, 1.0000000000000000E+005, 2.9100000000000000E+002, 2.6000000000000000E+002, 5.0000000000000000E-001,-3.7133338928222656E+001,-3.3383740650344551E-012, 1.9999999552965164E-002, 7.4441679753363132E-003, 1.0859002172946930E-001, 2.9043400287628174E-001, 1.0859002172946930E-001, 2.0000000000000000E+000, 3.1543177366256714E-001, 2.1028785407543182E-001, 1.2187378853559494E-001, 1.2187378853559494E-001, 2.8921633958816528E-001,-1.7704510688781738E+000,-2.3871526718139648E+000, 6.8439748138189316E-003, 6.0764704830944538E-003, 6.0789738781750202E-003, 6.8439752794802189E-003, 8.0946464538574219E+000, 4.0064370259642601E-003, 1.7826853320002556E-002, 7.4441679753363132E-003,-4.1501121520996094E+001,-3.7312852460558155E-012,-9.3282133093453012E-006, 2.8788073062896729E+000, 7.1970182657241821E-001, 2.9783596801757812E+002, 2.9783596801757812E+002, 7.4999998323619366E-003, 4.3307332992553711E+000, 2.0615527629852295E+000, 6.0216855257749557E-002, 6.9682038156315684E-004, 3.6839337553828955E-003, 6.9763971259817481E-004, 4.2982501909136772E-003, 1.0108283081054688E+003, 1.9999999552965164E-002
midres_water,2, 2.0000000000000000E+000, 0.0000000000000000E+000, 9.0000000000000000E+000, 3.0000000000000000E+000, 2.9200000000000000E+002, 8.5000004619359970E-003, 9.9000000000000000E+004, 1.1753014326095581E+000, 1.8000000000000000E+001, 1.1000000000000000E+001, 3.5999999046325684E+000, 3.4000000000000000E+001, 1.0000000000000000E+005, 2.8900000000000000E+002, 4.2000000000000000E+002, 1.0000000000000000E+000,-4.6930725097656250E+001, 3.4964050428243354E-005, 1.6579682414885610E-004, 1.1265649460256100E-002, 3.5414138436317444E-001, 9.7545564174652100E-002, 1.6445472836494446E-001, 2.0000000000000000E+000, 1.1242088675498962E-001, 1.2491209432482719E-002, 3.3933162689208984E-001, 2.4448828399181366E-001, 9.8202951252460480E-002,-6.5913718938827515E-001,-9.4069170951843262E-001, 9.9160000681877136E-003, 1.1849376372992992E-002, 1.1849437840282917E-002, 9.9160000681877136E-003, 1.1790320396423340E+001, 1.1654300615191460E-002, 1.3969942927360535E-002, 1.1265649460256100E-002,-4.5271190643310547E+001, 3.3727668778738007E-005, 8.4319175720214844E+001, 9.0859365463256836E+000, 3.0286457538604736E+000, 2.9221319580078125E+002, 2.9221319580078125E+002, 8.9250002056360245E-003, 1.1034169197082520E+001, 9.4868326187133789E+000, 1.1257746256887913E-002, 9.7031006589531898E-004, 9.9962076637893915E-004, 1.1356917675584555E-003, 1.1701602488756180E-003, 1.0116721801757812E+003, 1.4526830636896193E-004
coarse_water,2, 2.0000000000000000E+000, 0.0000000000000000E+000, 1.1000000000000000E+001, 2.0000000000000000E+000, 2.9900000000000000E+002, 1.3000000268220901E-002, 9.8500000000000000E+004, 1.1389527320861816E+000, 6.0000000000000000E+001, 1.3000000000000000E+001, 2.4000000953674316E+000, 9.0000000000000000E+001, 1.0000000000000000E+005, 3.0400000000000000E+002, 1.2000000000000000E+003, 1.0000000000000000E+000, 5.6721527099609375E+001, 2.4127875803969800E-004, 2.3502610565628856E-004, 2.8190687298774719E-002, 4.3051439523696899E-001,-2.0210947096347809E-001, 2.0332653820514679E-001, 4.0000000000000000E+000,-4.7488513588905334E-001,-1.5829505398869514E-002, 4.2016214132308960E-001, 3.0372148752212524E-001,-2.0345810055732727E-001, 7.6762813329696655E-001, 1.3589634895324707E+000, 1.3001133687794209E-002, 1.4790748246014118E-002, 1.4790878631174564E-002, 1.3001133687794209E-002, 1.5036739349365234E+001, 1.4807683415710926E-002, 2.1766735240817070E-002, 2.8190687298774719E-002, 5.5726978302001953E+001, 2.3704816703684628E-004, 5.9262042236328125E+002, 1.0279802322387695E+001, 1.8690547943115234E+000, 3.0074237060546875E+002, 3.0074237060546875E+002, 1.3650000095367432E-002, 1.1834082603454590E+001, 1.1337857246398926E+001,-5.0129387527704239E-002, 1.2420010752975941E-003, 1.1184484465047717E-003, 1.4959560940042138E-003, 1.3064804952591658E-003, 1.0154691772460938E+003, 2.1759441005997360E-004
