leaf,sample,ustar,wsp10,visc,zu,ren,z0_in,landsea,z0_out,zt_out,zq_out
garratt_1992,2, 1.0000000474974513E-003, 1.0000000149011612E-001, 1.2999999853491317E-005, 1.0000000000000000E+001, 2.0000000298023224E-001, 1.5899999198154546E-005, 1.5000000000000000E+000, 0.0000000000000000E+000, 2.1518310404644581E-006, 2.1518310404644581E-006
garratt_1992,2, 1.0000000474974513E-003, 1.0000000149011612E-001, 1.2999999853491317E-005, 1.0000000000000000E+001, 2.0000000298023224E-001, 1.5899999198154546E-005, 1.0000000000000000E+000, 0.0000000000000000E+000, 2.1518310404644581E-006, 2.1518310404644581E-006
charnock_1955,3, 4.9999998882412910E-003, 1.0000000000000000E+000, 1.3500000022759195E-005, 1.2000000000000000E+001, 5.0000000000000000E-001, 2.9999999242136255E-005, 2.0000000000000000E+000, 2.9728031222475693E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
edson_etal_2013,3, 4.9999998882412910E-003, 1.0000000000000000E+000, 1.3500000022759195E-005, 1.2000000000000000E+001, 5.0000000000000000E-001, 2.9999999242136255E-005, 2.0000000000000000E+000, 2.1214285879977979E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
davis_etal_2008,3, 4.9999998882412910E-003, 1.0000000000000000E+000, 1.3500000022759195E-005, 1.2000000000000000E+001, 5.0000000000000000E-001, 2.9999999242136255E-005, 2.0000000000000000E+000, 4.5815922931069508E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
taylor_yelland_2001,3, 4.9999998882412910E-003, 1.0000000000000000E+000, 1.3500000022759195E-005, 1.2000000000000000E+001, 5.0000000000000000E-001, 2.9999999242136255E-005, 2.0000000000000000E+000, 4.1059797695197631E-006, 0.0000000000000000E+000, 0.0000000000000000E+000
fairall_etal_2003,3, 4.9999998882412910E-003, 1.0000000000000000E+000, 1.3500000022759195E-005, 1.2000000000000000E+001, 5.0000000000000000E-001, 2.9999999242136255E-005, 2.0000000000000000E+000, 0.0000000000000000E+000, 8.3364408055786043E-005, 8.3364408055786043E-005
fairall_etal_2014,3, 4.9999998882412910E-003, 1.0000000000000000E+000, 1.3500000022759195E-005, 1.2000000000000000E+001, 5.0000000000000000E-001, 2.9999999242136255E-005, 2.0000000000000000E+000, 0.0000000000000000E+000, 9.5536561275366694E-005, 9.5536561275366694E-005
garratt_1992,3, 4.9999998882412910E-003, 1.0000000000000000E+000, 1.3500000022759195E-005, 1.2000000000000000E+001, 5.0000000000000000E-001, 2.9999999242136255E-005, 2.0000000000000000E+000, 0.0000000000000000E+000, 2.7543706892174669E-005, 3.2588304748060182E-005
garratt_1992,3, 4.9999998882412910E-003, 1.0000000000000000E+000, 1.3500000022759195E-005, 1.2000000000000000E+001, 5.0000000000000000E-001, 2.9999999242136255E-005, 1.5000000000000000E+000, 0.0000000000000000E+000, 4.0600584725325461E-006, 4.0600584725325461E-006
garratt_1992,3, 4.9999998882412910E-003, 1.0000000000000000E+000, 1.3500000022759195E-005, 1.2000000000000000E+001, 5.0000000000000000E-001, 2.9999999242136255E-005, 1.0000000000000000E+000, 0.0000000000000000E+000, 4.0600584725325461E-006, 4.0600584725325461E-006
charnock_1955,4, 9.9999997764825821E-003, 2.0000000000000000E+000, 1.4000000192027073E-005, 1.5000000000000000E+001, 1.0000000000000000E+000, 5.2700001106131822E-005, 2.0000000000000000E+000, 3.0912127840565518E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
edson_etal_2013,4, 9.9999997764825821E-003, 2.0000000000000000E+000, 1.4000000192027073E-005, 1.5000000000000000E+001, 1.0000000000000000E+000, 5.2700001106131822E-005, 2.0000000000000000E+000, 2.2000000171829015E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
davis_etal_2008,4, 9.9999997764825821E-003, 2.0000000000000000E+000, 1.4000000192027073E-005, 1.5000000000000000E+001, 1.0000000000000000E+000, 5.2700001106131822E-005, 2.0000000000000000E+000, 5.2787676395382732E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
taylor_yelland_2001,4, 9.9999997764825821E-003, 2.0000000000000000E+000, 1.4000000192027073E-005, 1.5000000000000000E+001, 1.0000000000000000E+000, 5.2700001106131822E-005, 2.0000000000000000E+000, 1.6423919078079052E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
fairall_etal_2003,4, 9.9999997764825821E-003, 2.0000000000000000E+000, 1.4000000192027073E-005, 1.5000000000000000E+001, 1.0000000000000000E+000, 5.2700001106131822E-005, 2.0000000000000000E+000, 0.0000000000000000E+000, 5.5000000429572538E-005, 5.5000000429572538E-005
fairall_etal_2014,4, 9.9999997764825821E-003, 2.0000000000000000E+000, 1.4000000192027073E-005, 1.5000000000000000E+001, 1.0000000000000000E+000, 5.2700001106131822E-005, 2.0000000000000000E+000, 0.0000000000000000E+000, 5.8000001445179805E-005, 5.8000001445179805E-005
garratt_1992,4, 9.9999997764825821E-003, 2.0000000000000000E+000, 1.4000000192027073E-005, 1.5000000000000000E+001, 1.0000000000000000E+000, 5.2700001106131822E-005, 2.0000000000000000E+000, 0.0000000000000000E+000, 3.2609885238343850E-005, 3.9829803426982835E-005
garratt_1992,4, 9.9999997764825821E-003, 2.0000000000000000E+000, 1.4000000192027073E-005, 1.5000000000000000E+001, 1.0000000000000000E+000, 5.2700001106131822E-005, 1.5000000000000000E+000, 0.0000000000000000E+000, 7.1321701398119330E-006, 7.1321701398119330E-006
garratt_1992,4, 9.9999997764825821E-003, 2.0000000000000000E+000, 1.4000000192027073E-005, 1.5000000000000000E+001, 1.0000000000000000E+000, 5.2700001106131822E-005, 1.0000000000000000E+000, 0.0000000000000000E+000, 7.1321701398119330E-006, 7.1321701398119330E-006
charnock_1955,5, 1.9999999552965164E-002, 3.0000000000000000E+000, 1.4500000361294951E-005, 2.0000000000000000E+001, 1.5000000000000000E+000, 9.9999997473787516E-005, 2.0000000000000000E+000, 3.2348521926905960E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
edson_etal_2013,5, 1.9999999552965164E-002, 3.0000000000000000E+000, 1.4500000361294951E-005, 2.0000000000000000E+001, 1.5000000000000000E+000, 9.9999997473787516E-005, 2.0000000000000000E+000, 2.2785714463680051E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
davis_etal_2008,5, 1.9999999552965164E-002, 3.0000000000000000E+000, 1.4500000361294951E-005, 2.0000000000000000E+001, 1.5000000000000000E+000, 9.9999997473787516E-005, 2.0000000000000000E+000, 3.6451332562137395E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
taylor_yelland_2001,5, 1.9999999552965164E-002, 3.0000000000000000E+000, 1.4500000361294951E-005, 2.0000000000000000E+001, 1.5000000000000000E+000, 9.9999997473787516E-005, 2.0000000000000000E+000, 3.6953846574760973E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
fairall_etal_2003,5, 1.9999999552965164E-002, 3.0000000000000000E+000, 1.4500000361294951E-005, 2.0000000000000000E+001, 1.5000000000000000E+000, 9.9999997473787516E-005, 2.0000000000000000E+000, 0.0000000000000000E+000, 4.3122898205183446E-005, 4.3122898205183446E-005
fairall_etal_2014,5, 1.9999999552965164E-002, 3.0000000000000000E+000, 1.4500000361294951E-005, 2.0000000000000000E+001, 1.5000000000000000E+000, 9.9999997473787516E-005, 2.0000000000000000E+000, 0.0000000000000000E+000, 4.3315394577803090E-005, 4.3315394577803090E-005
garratt_1992,5, 1.9999999552965164E-002, 3.0000000000000000E+000, 1.4500000361294951E-005, 2.0000000000000000E+001, 1.5000000000000000E+000, 9.9999997473787516E-005, 2.0000000000000000E+000, 0.0000000000000000E+000, 4.7493791498709470E-005, 5.5000000429572538E-005
garratt_1992,5, 1.9999999552965164E-002, 3.0000000000000000E+000, 1.4500000361294951E-005, 2.0000000000000000E+001, 1.5000000000000000E+000, 9.9999997473787516E-005, 1.5000000000000000E+000, 0.0000000000000000E+000, 1.3533528544940054E-005, 1.3533528544940054E-005
garratt_1992,5, 1.9999999552965164E-002, 3.0000000000000000E+000, 1.4500000361294951E-005, 2.0000000000000000E+001, 1.5000000000000000E+000, 9.9999997473787516E-005, 1.0000000000000000E+000, 0.0000000000000000E+000, 1.3533528544940054E-005, 1.3533528544940054E-005
charnock_1955,6, 5.0000000745058060E-002, 5.0000000000000000E+000, 1.4999999621068127E-005, 8.0000000000000000E+000, 1.9900000095367432E+000, 1.9999999494757503E-004, 2.0000000000000000E+000, 3.5803259379463270E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
edson_etal_2013,6, 5.0000000745058060E-002, 5.0000000000000000E+000, 1.4999999621068127E-005, 8.0000000000000000E+000, 1.9900000095367432E+000, 1.9999999494757503E-004, 2.0000000000000000E+000, 2.4506189220119268E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
davis_etal_2008,6, 5.0000000745058060E-002, 5.0000000000000000E+000, 1.4999999621068127E-005, 8.0000000000000000E+000, 1.9900000095367432E+000, 1.9999999494757503E-004, 2.0000000000000000E+000, 2.4422497517662123E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
taylor_yelland_2001,6, 5.0000000745058060E-002, 5.0000000000000000E+000, 1.4999999621068127E-005, 8.0000000000000000E+000, 1.9900000095367432E+000, 1.9999999494757503E-004, 2.0000000000000000E+000, 1.0264946467941627E-004, 0.0000000000000000E+000, 0.0000000000000000E+000
fairall_etal_2003,6, 5.0000000745058060E-002, 5.0000000000000000E+000, 1.4999999621068127E-005, 8.0000000000000000E+000, 1.9900000095367432E+000, 1.9999999494757503E-004, 2.0000000000000000E+000, 0.0000000000000000E+000, 3.6395762435859069E-005, 3.6395762435859069E-005
fairall_etal_2014,6, 5.0000000745058060E-002, 5.0000000000000000E+000, 1.4999999621068127E-005, 8.0000000000000000E+000, 1.9900000095367432E+000, 1.9999999494757503E-004, 2.0000000000000000E+000, 0.0000000000000000E+000, 3.5338958696229383E-005, 3.5338958696229383E-005
garratt_1992,6, 5.0000000745058060E-002, 5.0000000000000000E+000, 1.4999999621068127E-005, 8.0000000000000000E+000, 1.9900000095367432E+000, 1.9999999494757503E-004, 2.0000000000000000E+000, 0.0000000000000000E+000, 5.5000000429572538E-005, 5.5000000429572538E-005
garratt_1992,6, 5.0000000745058060E-002, 5.0000000000000000E+000, 1.4999999621068127E-005, 8.0000000000000000E+000, 1.9900000095367432E+000, 1.9999999494757503E-004, 1.5000000000000000E+000, 0.0000000000000000E+000, 2.7067057089880109E-005, 2.7067057089880109E-005
garratt_1992,6, 5.0000000745058060E-002, 5.0000000000000000E+000, 1.4999999621068127E-005, 8.0000000000000000E+000, 1.9900000095367432E+000, 1.9999999494757503E-004, 1.0000000000000000E+000, 0.0000000000000000E+000, 2.7067057089880109E-005, 2.7067057089880109E-005
charnock_1955,7, 5.9999998658895493E-002, 6.0000000000000000E+000, 1.2000000424450263E-005, 5.0000000000000000E+000, 2.0000000000000000E+000, 5.0000002374872565E-004, 2.0000000000000000E+000, 2.6036697818199173E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
edson_etal_2013,7, 5.9999998658895493E-002, 6.0000000000000000E+000, 1.2000000424450263E-005, 5.0000000000000000E+000, 2.0000000000000000E+000, 5.0000002374872565E-004, 2.0000000000000000E+000, 2.1005194867029786E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
davis_etal_2008,7, 5.9999998658895493E-002, 6.0000000000000000E+000, 1.2000000424450263E-005, 5.0000000000000000E+000, 2.0000000000000000E+000, 5.0000002374872565E-004, 2.0000000000000000E+000, 2.3132512069423683E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
taylor_yelland_2001,7, 5.9999998658895493E-002, 6.0000000000000000E+000, 1.2000000424450263E-005, 5.0000000000000000E+000, 2.0000000000000000E+000, 5.0000002374872565E-004, 2.0000000000000000E+000, 1.4781538629904389E-004, 0.0000000000000000E+000, 0.0000000000000000E+000
fairall_etal_2003,7, 5.9999998658895493E-002, 6.0000000000000000E+000, 1.2000000424450263E-005, 5.0000000000000000E+000, 2.0000000000000000E+000, 5.0000002374872565E-004, 2.0000000000000000E+000, 0.0000000000000000E+000, 3.6286466638557613E-005, 3.6286466638557613E-005
fairall_etal_2014,7, 5.9999998658895493E-002, 6.0000000000000000E+000, 1.2000000424450263E-005, 5.0000000000000000E+000, 2.0000000000000000E+000, 5.0000002374872565E-004, 2.0000000000000000E+000, 0.0000000000000000E+000, 3.5211651265854016E-005, 3.5211651265854016E-005
garratt_1992,7, 5.9999998658895493E-002, 6.0000000000000000E+000, 1.2000000424450263E-005, 5.0000000000000000E+000, 2.0000000000000000E+000, 5.0000002374872565E-004, 2.0000000000000000E+000, 0.0000000000000000E+000, 5.5000000429572538E-005, 5.5000000429572538E-005
garratt_1992,7, 5.9999998658895493E-002, 6.0000000000000000E+000, 1.2000000424450263E-005, 5.0000000000000000E+000, 2.0000000000000000E+000, 5.0000002374872565E-004, 1.5000000000000000E+000, 0.0000000000000000E+000, 6.7667650000657886E-005, 6.7667650000657886E-005
garratt_1992,7, 5.9999998658895493E-002, 6.0000000000000000E+000, 1.2000000424450263E-005, 5.0000000000000000E+000, 2.0000000000000000E+000, 5.0000002374872565E-004, 1.0000000000000000E+000, 0.0000000000000000E+000, 6.7667650000657886E-005, 6.7667650000657886E-005
charnock_1955,8, 7.0000000298023224E-002, 7.0000000000000000E+000, 1.2499999684223440E-005, 4.0000000000000000E+000, 2.0000004768371582E+000, 1.0000000474974513E-003, 2.0000000000000000E+000, 2.5137251213891432E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
edson_etal_2013,8, 7.0000000298023224E-002, 7.0000000000000000E+000, 1.2499999684223440E-005, 4.0000000000000000E+000, 2.0000004768371582E+000, 1.0000000474974513E-003, 2.0000000000000000E+000, 2.3603312001796439E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
davis_etal_2008,8, 7.0000000298023224E-002, 7.0000000000000000E+000, 1.2499999684223440E-005, 4.0000000000000000E+000, 2.0000004768371582E+000, 1.0000000474974513E-003, 2.0000000000000000E+000, 2.2358217393048108E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
taylor_yelland_2001,8, 7.0000000298023224E-002, 7.0000000000000000E+000, 1.2499999684223440E-005, 4.0000000000000000E+000, 2.0000004768371582E+000, 1.0000000474974513E-003, 2.0000000000000000E+000, 2.0119306282140315E-004, 0.0000000000000000E+000, 0.0000000000000000E+000
fairall_etal_2003,8, 7.0000000298023224E-002, 7.0000000000000000E+000, 1.2499999684223440E-005, 4.0000000000000000E+000, 2.0000004768371582E+000, 1.0000000474974513E-003, 2.0000000000000000E+000, 0.0000000000000000E+000, 3.6286463000578806E-005, 3.6286463000578806E-005
fairall_etal_2014,8, 7.0000000298023224E-002, 7.0000000000000000E+000, 1.2499999684223440E-005, 4.0000000000000000E+000, 2.0000004768371582E+000, 1.0000000474974513E-003, 2.0000000000000000E+000, 0.0000000000000000E+000, 3.5211647627875209E-005, 3.5211647627875209E-005
garratt_1992,8, 7.0000000298023224E-002, 7.0000000000000000E+000, 1.2499999684223440E-005, 4.0000000000000000E+000, 2.0000004768371582E+000, 1.0000000474974513E-003, 2.0000000000000000E+000, 0.0000000000000000E+000, 5.5000000429572538E-005, 5.5000000429572538E-005
garratt_1992,8, 7.0000000298023224E-002, 7.0000000000000000E+000, 1.2499999684223440E-005, 4.0000000000000000E+000, 2.0000004768371582E+000, 1.0000000474974513E-003, 1.5000000000000000E+000, 0.0000000000000000E+000, 1.3533530000131577E-004, 1.3533530000131577E-004
garratt_1992,8, 7.0000000298023224E-002, 7.0000000000000000E+000, 1.2499999684223440E-005, 4.0000000000000000E+000, 2.0000004768371582E+000, 1.0000000474974513E-003, 1.0000000000000000E+000, 0.0000000000000000E+000, 1.3533530000131577E-004, 1.3533530000131577E-004
charnock_1955,9, 7.9999998211860657E-002, 8.0000000000000000E+000, 1.2999999853491317E-005, 3.0000000000000000E+000, 2.0999999046325684E+000, 2.8500000480562449E-003, 2.0000000000000000E+000, 2.5051349439308979E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
edson_etal_2013,9, 7.9999998211860657E-002, 8.0000000000000000E+000, 1.2999999853491317E-005, 3.0000000000000000E+000, 2.0999999046325684E+000, 2.8500000480562449E-003, 2.0000000000000000E+000, 2.4521821615053341E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
davis_etal_2008,9, 7.9999998211860657E-002, 8.0000000000000000E+000, 1.2999999853491317E-005, 3.0000000000000000E+000, 2.0999999046325684E+000, 2.8500000480562449E-003, 2.0000000000000000E+000, 2.1948457288090140E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
taylor_yelland_2001,9, 7.9999998211860657E-002, 8.0000000000000000E+000, 1.2999999853491317E-005, 3.0000000000000000E+000, 2.0999999046325684E+000, 2.8500000480562449E-003, 2.0000000000000000E+000, 2.6278270524926484E-004, 0.0000000000000000E+000, 0.0000000000000000E+000
fairall_etal_2003,9, 7.9999998211860657E-002, 8.0000000000000000E+000, 1.2999999853491317E-005, 3.0000000000000000E+000, 2.0999999046325684E+000, 2.8500000480562449E-003, 2.0000000000000000E+000, 0.0000000000000000E+000, 3.5239609132986516E-005, 3.5239609132986516E-005
fairall_etal_2014,9, 7.9999998211860657E-002, 8.0000000000000000E+000, 1.2999999853491317E-005, 3.0000000000000000E+000, 2.0999999046325684E+000, 2.8500000480562449E-003, 2.0000000000000000E+000, 0.0000000000000000E+000, 3.3996180718531832E-005, 3.3996180718531832E-005
garratt_1992,9, 7.9999998211860657E-002, 8.0000000000000000E+000, 1.2999999853491317E-005, 3.0000000000000000E+000, 2.0999999046325684E+000, 2.8500000480562449E-003, 2.0000000000000000E+000, 0.0000000000000000E+000, 5.5000000429572538E-005, 5.5000000429572538E-005
garratt_1992,9, 7.9999998211860657E-002, 8.0000000000000000E+000, 1.2999999853491317E-005, 3.0000000000000000E+000, 2.0999999046325684E+000, 2.8500000480562449E-003, 1.5000000000000000E+000, 0.0000000000000000E+000, 3.8570558535866439E-004, 3.8570558535866439E-004
garratt_1992,9, 7.9999998211860657E-002, 8.0000000000000000E+000, 1.2999999853491317E-005, 3.0000000000000000E+000, 2.0999999046325684E+000, 2.8500000480562449E-003, 1.0000000000000000E+000, 0.0000000000000000E+000, 3.8570558535866439E-004, 3.8570558535866439E-004
charnock_1955,10, 1.0000000149011612E-001, 9.0000000000000000E+000, 1.3500000022759195E-005, 2.0000000000000000E+000, 3.0000000000000000E+000, 1.2700000695531344E-007, 2.0000000000000000E+000, 2.6475670892978087E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
edson_etal_2013,10, 1.0000000149011612E-001, 9.0000000000000000E+000, 1.3500000022759195E-005, 2.0000000000000000E+000, 3.0000000000000000E+000, 1.2700000695531344E-007, 2.0000000000000000E+000, 2.7884085284313187E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
davis_etal_2008,10, 1.0000000149011612E-001, 9.0000000000000000E+000, 1.3500000022759195E-005, 2.0000000000000000E+000, 3.0000000000000000E+000, 1.2700000695531344E-007, 2.0000000000000000E+000, 2.1892468794248998E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
taylor_yelland_2001,10, 1.0000000149011612E-001, 9.0000000000000000E+000, 1.3500000022759195E-005, 2.0000000000000000E+000, 3.0000000000000000E+000, 1.2700000695531344E-007, 2.0000000000000000E+000, 3.3258425537496805E-004, 0.0000000000000000E+000, 0.0000000000000000E+000
fairall_etal_2003,10, 1.0000000149011612E-001, 9.0000000000000000E+000, 1.3500000022759195E-005, 2.0000000000000000E+000, 3.0000000000000000E+000, 1.2700000695531344E-007, 2.0000000000000000E+000, 0.0000000000000000E+000, 2.8450500394683331E-005, 2.8450500394683331E-005
fairall_etal_2014,10, 1.0000000149011612E-001, 9.0000000000000000E+000, 1.3500000022759195E-005, 2.0000000000000000E+000, 3.0000000000000000E+000, 1.2700000695531344E-007, 2.0000000000000000E+000, 0.0000000000000000E+000, 2.6296665964764543E-005, 2.6296665964764543E-005
garratt_1992,10, 1.0000000149011612E-001, 9.0000000000000000E+000, 1.3500000022759195E-005, 2.0000000000000000E+000, 3.0000000000000000E+000, 1.2700000695531344E-007, 2.0000000000000000E+000, 0.0000000000000000E+000, 3.5885150850845093E-008, 4.6690391997117331E-008
garratt_1992,10, 1.0000000149011612E-001, 9.0000000000000000E+000, 1.3500000022759195E-005, 2.0000000000000000E+000, 3.0000000000000000E+000, 1.2700000695531344E-007, 1.5000000000000000E+000, 0.0000000000000000E+000, 1.7187582912470134E-008, 1.7187582912470134E-008
garratt_1992,10, 1.0000000149011612E-001, 9.0000000000000000E+000, 1.3500000022759195E-005, 2.0000000000000000E+000, 3.0000000000000000E+000, 1.2700000695531344E-007, 1.0000000000000000E+000, 0.0000000000000000E+000, 1.7187582912470134E-008, 1.7187582912470134E-008
charnock_1955,11, 1.5000000596046448E-001, 9.8999996185302734E+000, 1.4000000192027073E-005, 1.5000000000000000E+000, 5.0000000000000000E+000, 1.5899999198154546E-005, 2.0000000000000000E+000, 3.9215148717630655E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
edson_etal_2013,11, 1.5000000596046448E-001, 9.8999996185302734E+000, 1.4000000192027073E-005, 1.5000000000000000E+000, 5.0000000000000000E+000, 1.5899999198154546E-005, 2.0000000000000000E+000, 4.5015338400844485E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
davis_etal_2008,11, 1.5000000596046448E-001, 9.8999996185302734E+000, 1.4000000192027073E-005, 1.5000000000000000E+000, 5.0000000000000000E+000, 1.5899999198154546E-005, 2.0000000000000000E+000, 2.4466879040119238E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
taylor_yelland_2001,11, 1.5000000596046448E-001, 9.8999996185302734E+000, 1.4000000192027073E-005, 1.5000000000000000E+000, 5.0000000000000000E+000, 1.5899999198154546E-005, 2.0000000000000000E+000, 4.0242678369395435E-004, 0.0000000000000000E+000, 0.0000000000000000E+000
fairall_etal_2003,11, 1.5000000596046448E-001, 9.8999996185302734E+000, 1.4000000192027073E-005, 1.5000000000000000E+000, 5.0000000000000000E+000, 1.5899999198154546E-005, 2.0000000000000000E+000, 0.0000000000000000E+000, 2.0940193280694075E-005, 2.0940193280694075E-005
fairall_etal_2014,11, 1.5000000596046448E-001, 9.8999996185302734E+000, 1.4000000192027073E-005, 1.5000000000000000E+000, 5.0000000000000000E+000, 1.5899999198154546E-005, 2.0000000000000000E+000, 0.0000000000000000E+000, 1.8204114894615486E-005, 1.8204114894615486E-005
garratt_1992,11, 1.5000000596046448E-001, 9.8999996185302734E+000, 1.4000000192027073E-005, 1.5000000000000000E+000, 5.0000000000000000E+000, 1.5899999198154546E-005, 2.0000000000000000E+000, 0.0000000000000000E+000, 2.8801832741010003E-006, 3.8842263165861368E-006
garratt_1992,11, 1.5000000596046448E-001, 9.8999996185302734E+000, 1.4000000192027073E-005, 1.5000000000000000E+000, 5.0000000000000000E+000, 1.5899999198154546E-005, 1.5000000000000000E+000, 0.0000000000000000E+000, 2.1518310404644581E-006, 2.1518310404644581E-006
