case,i,t,p,esat_blend,qsat_blend,xl_blend
upper_pressure,23,270.000000,15000.0000,484.942474,0.207807794E-1,2540016.50
upper_pressure,24,272.000000,15000.0000,562.307983,0.242251698E-1,2514754.00
upper_pressure,25,273.140015,15000.0000,611.140137,0.264182966E-1,2500129.00
upper_pressure,26,273.149994,15000.0000,611.583679,0.264382847E-1,2500000.00
upper_pressure,27,273.160004,15000.0000,612.028870,0.264583491E-1,2499976.50
upper_pressure,28,275.000000,15000.0000,698.907349,0.303977020E-1,2495664.25
upper_pressure,29,280.000000,15000.0000,992.505127,0.440719910E-1,2483946.25
upper_pressure,30,285.000000,15000.0000,1389.85925,0.635182559E-1,2472228.25
upper_pressure,31,290.000000,15000.0000,1920.71460,0.913417265E-1,2460510.25
upper_pressure,32,295.000000,15000.0000,2621.34888,0.109764703,2448792.25
upper_pressure,33,300.000000,15000.0000,3535.56567,0.109764703,2437074.25
upper_pressure,34,305.000000,15000.0000,4715.76855,0.109764703,2425356.25
upper_pressure,35,310.000000,15000.0000,6224.11621,0.109764703,2413638.25
upper_pressure,36,315.000000,15000.0000,8133.75488,0.109764703,2401920.25
upper_pressure,37,320.000000,15000.0000,10530.1309,0.109764703,2390202.25
