case,k,dz,rho,dfq,pdk,pdt,pdq,pdc,el,s_aw,s_aw_next,s_awqke,s_awqke_next,ust,flt,flq,pmz,phh,delt,qke_before,tsq_before,qsq_before,cov_before,qke_after,tsq_after,qsq_after,cov_after
stable,11,130.000000,1.04525864,0.670908317E-1,0.137740310E-3,0.336902340E-4,0.336917230E-10,-0.336909807E-7,19.8183556,0.00000000,0.00000000,0.00000000,0.00000000,0.280000001,-0.149999997E-1,-0.999999975E-5,1.14999998,0.899999976,6.00000000,0.600000024,0.135335285E-3,0.270670562E-7,-0.108268227E-5,0.590169251,0.114443637E-1,0.266103033E-7,-0.114446175E-4
stable,12,136.000000,1.02841043,0.570569970E-1,0.112313304E-3,0.260542001E-4,0.260553575E-10,-0.260547779E-7,19.7491398,0.00000000,0.00000000,0.00000000,0.00000000,0.280000001,-0.149999997E-1,-0.999999975E-5,1.14999998,0.899999976,6.00000000,0.490000010,0.110803157E-3,0.221606307E-7,-0.886425198E-6,0.490000010,0.114443637E-1,0.266103033E-7,-0.114446175E-4
convective,1,70.0000000,1.17999995,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.449999988,0.799999982E-1,0.599999985E-4,0.850000024,0.750000000,6.00000000,3.79999995,0.100000005E-2,0.200000002E-6,-0.799999998E-5,3.63694715,0.336723477E-1,0.209169585E-6,0.102891921E-3
convective,2,76.0000000,1.16972005,0.499514341,0.115836198E-1,0.277569867E-3,0.259171973E-8,0.848164689E-6,31.5305557,0.00000000,0.00000000,0.00000000,0.00000000,0.449999988,0.799999982E-1,0.599999985E-4,0.850000024,0.750000000,6.00000000,3.55999994,0.818730798E-3,0.163746151E-6,-0.654984615E-5,3.60104847,0.743501782E-1,0.180081997E-6,0.227190350E-3
convective,3,82.0000000,1.15866029,0.459054381,0.103452690E-1,0.120813980E-3,0.112806187E-8,0.369168845E-6,62.3712654,0.00000000,0.00000000,0.00000000,0.00000000,0.449999988,0.799999982E-1,0.599999985E-4,0.850000024,0.750000000,6.00000000,3.31999993,0.670320063E-3,0.134064010E-6,-0.536256039E-5,3.39376235,0.593348034E-1,0.142782156E-6,0.181296069E-3
convective,4,88.0000000,1.14684463,0.419946551,0.922908261E-2,0.784082222E-4,0.731863403E-9,0.239549820E-6,82.3423843,0.00000000,0.00000000,0.00000000,0.00000000,0.449999988,0.799999982E-1,0.599999985E-4,0.850000024,0.750000000,6.00000000,3.07999992,0.548811629E-3,0.109762325E-6,-0.439049290E-5,3.15452933,0.515109412E-1,0.115831298E-6,0.157385730E-3
convective,5,94.0000000,1.13429856,0.382166564,0.821228698E-2,0.590264935E-4,0.551140966E-9,0.180366072E-6,93.0646973,0.00000000,0.00000000,0.00000000,0.00000000,0.449999988,0.799999982E-1,0.599999985E-4,0.850000024,0.750000000,6.00000000,2.83999991,0.449328974E-3,0.898657930E-7,-0.359463161E-5,2.90740585,0.452366658E-1,0.945894882E-7,0.138228774E-3
convective,6,100.000000,1.12104845,0.345619708,0.727973832E-2,0.470109444E-4,0.438949571E-9,0.143650396E-6,98.6516953,0.00000000,0.00000000,0.00000000,0.00000000,0.449999988,0.799999982E-1,0.599999985E-4,0.850000024,0.750000000,6.00000000,2.59999990,0.367879460E-3,0.735758903E-7,-0.294303550E-5,2.63118649,0.985024944E-1,0.760065433E-7,0.174595914E-5
convective,7,106.000000,1.10712254,0.181522086,0.417696196E-3,0.182721124E-3,0.106622197E-9,-0.139578390E-6,85.7143707,0.00000000,0.00000000,0.00000000,0.00000000,0.449999988,0.799999982E-1,0.599999985E-4,0.850000024,0.750000000,6.00000000,2.36000013,0.301194203E-3,0.602388397E-7,-0.240955342E-5,2.34560680,0.138301313,0.605913044E-7,-0.105646650E-3
convective,8,112.000000,1.09254992,0.158341095,0.308978517E-3,0.150613414E-3,0.878865800E-10,-0.115051719E-6,84.2550278,0.00000000,0.00000000,0.00000000,0.00000000,0.449999988,0.799999982E-1,0.599999985E-4,0.850000024,0.750000000,6.00000000,2.11999989,0.246596988E-3,0.493193966E-7,-0.197277586E-5,2.10558558,0.117239922,0.496117458E-7,-0.895581252E-4
convective,9,118.000000,1.07736087,0.137824193,0.225769720E-3,0.124257916E-3,0.725075139E-10,-0.949190806E-7,81.3535004,0.00000000,0.00000000,0.00000000,0.00000000,0.449999988,0.799999982E-1,0.599999985E-4,0.850000024,0.750000000,6.00000000,1.88000000,0.201896532E-3,0.403793052E-7,-0.161517210E-5,1.86648738,0.975155011E-1,0.406267233E-7,-0.744908830E-4
convective,10,124.000000,1.06158638,0.122634433,0.166286874E-3,0.105080828E-3,0.613172083E-10,-0.802699418E-7,74.1155319,0.00000000,0.00000000,0.00000000,0.00000000,0.449999988,0.799999982E-1,0.599999985E-4,0.850000024,0.750000000,6.00000000,1.64000010,0.165298901E-3,0.330597807E-7,-0.132239120E-5,1.62597942,0.766071305E-1,0.332498402E-7,-0.585192392E-4
convective,11,130.000000,1.04525864,0.117640994,0.129454726E-3,0.960398320E-4,0.560415742E-10,-0.733636369E-7,55.9622726,0.00000000,0.00000000,0.00000000,0.00000000,0.449999988,0.799999982E-1,0.599999985E-4,0.850000024,0.750000000,6.00000000,1.40000010,0.135335285E-3,0.270670562E-7,-0.108268227E-5,1.38399553,0.508617535E-1,0.271532432E-7,-0.388526641E-4
convective,12,136.000000,1.02841043,0.104220465,0.904611516E-4,0.812452199E-4,0.474085562E-10,-0.620622131E-7,34.5592690,0.00000000,0.00000000,0.00000000,0.00000000,0.449999988,0.799999982E-1,0.599999985E-4,0.850000024,0.750000000,6.00000000,1.16000009,0.110803157E-3,0.221606307E-7,-0.886425198E-6,1.16000009,0.508617535E-1,0.271532450E-7,-0.388526641E-4
cloudy,1,70.0000000,1.17999995,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.379999995,0.450000018E-1,0.399999990E-4,0.910000026,0.800000012,6.00000000,1.70000005,0.100000005E-2,0.200000002E-6,-0.799999998E-5,1.65444827,0.345583744E-1,0.186902895E-6,-0.329919603E-4
cloudy,2,76.0000000,1.16972005,0.197170675,0.921640545E-3,0.234777806E-3,0.213976808E-9,-0.224136130E-6,25.5893631,0.00000000,0.00000000,0.00000000,0.00000000,0.379999995,0.450000018E-1,0.399999990E-4,0.910000026,0.800000012,6.00000000,1.59000003,0.818730798E-3,0.163746151E-6,-0.654984615E-5,1.57415986,0.854319558E-1,0.161485374E-6,-0.815578169E-4
cloudy,3,82.0000000,1.15866029,0.184500441,0.944956846E-3,0.148042644E-3,0.134910846E-9,-0.141324307E-6,49.4505882,0.00000000,0.00000000,0.00000000,0.00000000,0.379999995,0.450000018E-1,0.399999990E-4,0.910000026,0.800000012,6.00000000,1.48000002,0.670320063E-3,0.134064010E-6,-0.536256039E-5,1.47405517,0.856549889E-1,0.133217540E-6,-0.817697728E-4
cloudy,4,88.0000000,1.14684463,0.146243915,0.680019322E-3,0.104063532E-3,0.948434872E-10,-0.993466074E-7,60.7715340,0.00000000,0.00000000,0.00000000,0.00000000,0.379999995,0.450000018E-1,0.399999990E-4,0.910000026,0.800000012,6.00000000,1.37000012,0.548811629E-3,0.109762325E-6,-0.439049290E-5,1.36450803,0.737690926E-1,0.109183603E-6,-0.704253325E-4
cloudy,5,94.0000000,1.13429856,0.128794596,0.529396522E-3,0.856043771E-4,0.780198198E-10,-0.817241528E-7,60.6259270,0.00000000,0.00000000,0.00000000,0.00000000,0.379999995,0.450000018E-1,0.399999990E-4,0.910000026,0.800000012,6.00000000,1.25999999,0.449328974E-3,0.898657930E-7,-0.359463161E-5,1.25434375,0.629141331E-1,0.894360497E-7,-0.600624080E-4
cloudy,6,100.000000,1.12104845,0.112921923,0.410325214E-3,0.704119229E-4,0.641734235E-10,-0.672203413E-7,60.0810204,0.00000000,0.00000000,0.00000000,0.00000000,0.379999995,0.450000018E-1,0.399999990E-4,0.910000026,0.800000012,6.00000000,1.15000010,0.367879460E-3,0.735758903E-7,-0.294303550E-5,1.14447200,0.539748184E-1,0.733256940E-7,-0.537457563E-4
cloudy,7,106.000000,1.10712254,0.992635638E-1,0.324574998E-3,0.583156507E-4,0.637262326E-10,-0.609609430E-7,59.8239594,0.00000000,0.00000000,0.00000000,0.00000000,0.379999995,0.450000018E-1,0.399999990E-4,0.910000026,0.800000012,6.00000000,1.04000008,0.301194203E-3,0.602388397E-7,-0.240955342E-5,1.03474736,0.460266583E-1,0.601245134E-7,-0.481120951E-4
cloudy,8,112.000000,1.09254992,0.863113552E-1,0.249283621E-3,0.479259033E-4,0.523608934E-10,-0.500943429E-7,57.9910088,0.00000000,0.00000000,0.00000000,0.00000000,0.379999995,0.450000018E-1,0.399999990E-4,0.910000026,0.800000012,6.00000000,0.930000067,0.246596988E-3,0.493193966E-7,-0.197277586E-5,0.924835086,0.392975137E-1,0.492471806E-7,-0.410776884E-4
cloudy,9,118.000000,1.07736087,0.759510323E-1,0.180959236E-3,0.421152145E-4,0.460226995E-10,-0.440256294E-7,54.2455826,0.00000000,0.00000000,0.00000000,0.00000000,0.379999995,0.450000018E-1,0.399999990E-4,0.910000026,0.800000012,6.00000000,0.820000052,0.201896532E-3,0.403793052E-7,-0.161517210E-5,0.814703465,0.318903551E-1,0.403077856E-7,-0.333361058E-4
cloudy,10,124.000000,1.06158638,0.710363686E-1,0.160621392E-3,0.355284392E-4,0.388204920E-10,-0.371380082E-7,44.9355583,0.00000000,0.00000000,0.00000000,0.00000000,0.379999995,0.450000018E-1,0.399999990E-4,0.910000026,0.800000012,6.00000000,0.710000038,0.165298901E-3,0.330597807E-7,-0.132239120E-5,0.703824699,0.224239659E-1,0.329120446E-7,-0.234404743E-4
cloudy,11,130.000000,1.04525864,0.683574080E-1,0.137110997E-3,0.325697474E-4,0.355915956E-10,-0.340471615E-7,29.0547333,0.00000000,0.00000000,0.00000000,0.00000000,0.379999995,0.450000018E-1,0.399999990E-4,0.910000026,0.800000012,6.00000000,0.600000024,0.135335285E-3,0.270670562E-7,-0.108268227E-5,0.592288256,0.134917116E-1,0.267804410E-7,-0.141037199E-4
cloudy,12,136.000000,1.02841043,0.541017614E-1,0.959415556E-4,0.246145701E-4,0.268983585E-10,-0.257311399E-7,19.6795349,0.00000000,0.00000000,0.00000000,0.00000000,0.379999995,0.450000018E-1,0.399999990E-4,0.910000026,0.800000012,6.00000000,0.490000010,0.110803157E-3,0.221606307E-7,-0.886425198E-6,0.490000010,0.134917116E-1,0.267804410E-7,-0.141037199E-4
edmf_active,1,70.0000000,1.17999995,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.799999982E-1,0.749999955E-1,0.136000007,0.119249992,0.500000000,0.649999976E-1,0.499999987E-4,0.819999993,0.699999988,6.00000000,1.70000005,0.100000005E-2,0.200000002E-6,-0.799999998E-5,1.69349241,0.341262855E-1,0.186817317E-6,-0.341270425E-4
edmf_active,2,76.0000000,1.16972005,0.195796460,0.942940358E-3,0.237705171E-3,0.237715736E-9,-0.237710452E-6,24.9582195,0.749999955E-1,0.700000003E-1,0.119249992,0.103600003,0.500000000,0.649999976E-1,0.499999987E-4,0.819999993,0.699999988,6.00000000,1.59000003,0.818730798E-3,0.163746151E-6,-0.654984615E-5,1.57591546,0.861859620E-1,0.161682806E-6,-0.861860099E-4
edmf_active,3,82.0000000,1.15866029,0.184566423,0.972335460E-3,0.151263564E-3,0.151253482E-9,-0.151258519E-6,49.5474091,0.700000003E-1,0.649999976E-1,0.103600003,0.890500024E-1,0.500000000,0.649999976E-1,0.499999987E-4,0.819999993,0.699999988,6.00000000,1.48000002,0.670320063E-3,0.134064010E-6,-0.536256039E-5,1.47521091,0.896988958E-1,0.133465136E-6,-0.896978818E-4
edmf_active,4,88.0000000,1.14684463,0.140530542,0.687593827E-3,0.100020232E-3,0.100024669E-9,-0.100022447E-6,66.2562180,0.649999976E-1,0.599999987E-1,0.890500024E-1,0.755999982E-1,0.500000000,0.649999976E-1,0.499999987E-4,0.819999993,0.699999988,6.00000000,1.37000012,0.548811629E-3,0.109762325E-6,-0.439049290E-5,1.36603451,0.782517865E-1,0.109408333E-6,-0.782516145E-4
edmf_active,5,94.0000000,1.13429856,0.118348539,0.517763721E-3,0.786875025E-4,0.786822690E-10,-0.786848915E-7,70.4158936,0.599999987E-1,0.549999997E-1,0.755999982E-1,0.632500052E-1,0.500000000,0.649999976E-1,0.499999987E-4,0.819999993,0.699999988,6.00000000,1.25999999,0.449328974E-3,0.898657930E-7,-0.359463161E-5,1.25581741,0.674834549E-1,0.896238745E-7,-0.674829134E-4
edmf_active,6,100.000000,1.12104845,0.105164446,0.411711750E-3,0.655893455E-4,0.655922608E-10,-0.655908039E-7,69.5926743,0.549999997E-1,0.499999970E-1,0.632500052E-1,0.520000011E-1,0.500000000,0.649999976E-1,0.499999987E-4,0.819999993,0.699999988,6.00000000,1.15000010,0.367879460E-3,0.735758903E-7,-0.294303550E-5,1.14578700,0.579345860E-1,0.734127497E-7,-0.579358748E-4
edmf_active,7,106.000000,1.10712254,0.928305015E-1,0.325752393E-3,0.545242401E-4,0.545266540E-10,-0.545254437E-7,68.3388138,0.499999970E-1,0.449999981E-1,0.520000011E-1,0.418500006E-1,0.500000000,0.649999976E-1,0.499999987E-4,0.819999993,0.699999988,6.00000000,1.04000008,0.301194203E-3,0.602388397E-7,-0.240955342E-5,1.03589535,0.494360626E-1,0.601299206E-7,-0.494359156E-4
edmf_active,8,112.000000,1.09254992,0.813369900E-1,0.256089144E-3,0.451487613E-4,0.451457587E-10,-0.451472602E-7,66.5425110,0.449999981E-1,0.399999991E-1,0.418500006E-1,0.328000002E-1,0.500000000,0.649999976E-1,0.499999987E-4,0.819999993,0.699999988,6.00000000,0.930000067,0.246596988E-3,0.493193966E-7,-0.197277586E-5,0.926083624,0.417876095E-1,0.492450773E-7,-0.417872652E-4
edmf_active,9,118.000000,1.07736087,0.710151494E-1,0.200704235E-3,0.373584880E-4,0.373601497E-10,-0.373593174E-7,63.7038536,0.399999991E-1,0.350000001E-1,0.328000002E-1,0.248500016E-1,0.500000000,0.649999976E-1,0.499999987E-4,0.819999993,0.699999988,6.00000000,0.820000052,0.201896532E-3,0.403793052E-7,-0.161517210E-5,0.816212714,0.347069278E-1,0.403211793E-7,-0.347068126E-4
edmf_active,10,124.000000,1.06158638,0.635061413E-1,0.160926516E-3,0.317551821E-4,0.317530689E-10,-0.317541264E-7,57.5590363,0.350000001E-1,0.300000012E-1,0.248500016E-1,0.180000011E-1,0.500000000,0.649999976E-1,0.499999987E-4,0.819999993,0.699999988,6.00000000,0.710000038,0.165298901E-3,0.330597807E-7,-0.132239120E-5,0.705917656,0.275186151E-1,0.329908154E-7,-0.275184411E-4
edmf_active,11,130.000000,1.04525864,0.625664294E-1,0.141699711E-3,0.298039467E-4,0.298052659E-10,-0.298046068E-7,42.8868179,0.300000012E-1,0.249999985E-1,0.180000011E-1,0.122499997E-1,0.500000000,0.649999976E-1,0.499999987E-4,0.819999993,0.699999988,6.00000000,0.600000024,0.135335285E-3,0.270670562E-7,-0.108268227E-5,0.594875872,0.184915122E-1,0.269301204E-7,-0.184919209E-4
edmf_active,12,136.000000,1.02841043,0.586003847E-1,0.118578086E-3,0.266553816E-4,0.266565658E-10,-0.266559734E-7,24.7652512,0.249999985E-1,0.00000000,0.122499997E-1,0.00000000,0.500000000,0.649999976E-1,0.499999987E-4,0.819999993,0.699999988,6.00000000,0.490000010,0.110803157E-3,0.221606307E-7,-0.886425198E-6,0.490000010,0.184915122E-1,0.269301221E-7,-0.184919209E-4
