case,k,dz,zw,zw_next,u,v,qke,dtv,theta,vt,vq,cldfra,edmf_w,edmf_a,xland,dx,rmo,flt,fltv,flq,zi,psig_bl,el,qkw
convective,6, 1.0500000000000000E+002, 4.5000000000000000E+002, 5.5500000000000000E+002, 7.5000000000000000E+000, 2.5000000000000000E-001, 2.4000000953674316E+000,-4.0000001899898052E-003, 3.0100000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0000000149011612E-001, 0.0000000000000000E+000, 6.5000000000000000E+002, 9.5999997854232788E-001, 9.7693527221679688E+001, 1.5851444005966187E+000
convective,7, 1.1000000000000000E+002, 5.5500000000000000E+002, 6.6500000000000000E+002, 8.1999998092651367E+000, 9.9999964237213135E-002, 2.1800000667572021E+000, 8.0000003799796104E-003, 3.0164999389648438E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0000000149011612E-001, 0.0000000000000000E+000, 6.5000000000000000E+002, 9.5999997854232788E-001, 6.9816101074218750E+001, 1.5141196250915527E+000
convective,8, 1.1500000000000000E+002, 6.6500000000000000E+002, 7.8000000000000000E+002, 8.8999996185302734E+000,-5.0000071525573730E-002, 1.9600000381469727E+000, 8.0000003799796104E-003, 3.0229998779296875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0000000149011612E-001, 0.0000000000000000E+000, 6.5000000000000000E+002, 9.5999997854232788E-001, 6.5586868286132812E+001, 1.4395986795425415E+000
convective,9, 1.2000000000000000E+002, 7.8000000000000000E+002, 9.0000000000000000E+002, 9.6000003814697266E+000,-2.0000004768371582E-001, 1.7400000095367432E+000, 8.0000003799796104E-003, 3.0295001220703125E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0000000149011612E-001, 0.0000000000000000E+000, 6.5000000000000000E+002, 9.5999997854232788E-001, 5.9494892120361328E+001, 1.3610070943832397E+000
convective,10, 1.2500000000000000E+002, 9.0000000000000000E+002, 1.0250000000000000E+003, 1.0299999237060547E+001,-3.5000002384185791E-001, 1.5199999809265137E+000, 8.0000003799796104E-003, 3.0360000610351562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0000000149011612E-001, 0.0000000000000000E+000, 6.5000000000000000E+002, 9.5999997854232788E-001, 4.7979763031005859E+001, 1.2775933742523193E+000
convective,11, 1.3000000000000000E+002, 1.0250000000000000E+003, 1.1550000000000000E+003, 1.1000000000000000E+001,-5.0000000000000000E-001, 1.2999999523162842E+000, 8.0000003799796104E-003, 3.0425000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0000000149011612E-001, 0.0000000000000000E+000, 6.5000000000000000E+002, 9.5999997854232788E-001, 3.3264484405517578E+001, 1.1883420944213867E+000
convective,12, 1.3500000000000000E+002, 1.1550000000000000E+003, 1.2900000000000000E+003, 1.1699999809265137E+001,-6.5000009536743164E-001, 1.0799999237060547E+000, 8.0000003799796104E-003, 3.0489999389648438E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0000000149011612E-001, 0.0000000000000000E+000, 6.5000000000000000E+002, 9.5999997854232788E-001, 2.6861976623535156E+001, 1.0918221473693848E+000
high_shear,1, 8.0000000000000000E+001, 0.0000000000000000E+000, 8.0000000000000000E+001, 2.2000000000000000E+001, 1.0000000000000000E+000, 1.7999999523162842E+000, 6.0000000521540642E-003, 2.9000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 2.0000000949949026E-003, 0.0000000000000000E+000, 9.9999997764825821E-003, 0.0000000000000000E+000, 5.0000000000000000E+002, 8.7999999523162842E-001, 0.0000000000000000E+000, 1.3416407108306885E+000
high_shear,2, 8.5000000000000000E+001, 8.0000000000000000E+001, 1.6500000000000000E+002, 2.3799999237060547E+001, 8.5000002384185791E-001, 1.6799999475479126E+000, 6.0000000521540642E-003, 2.9045001220703125E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 2.0000000949949026E-003, 0.0000000000000000E+000, 9.9999997764825821E-003, 0.0000000000000000E+000, 5.0000000000000000E+002, 8.7999999523162842E-001, 1.7647279739379883E+001, 1.3197796344757080E+000
high_shear,3, 9.0000000000000000E+001, 1.6500000000000000E+002, 2.5500000000000000E+002, 2.5600000381469727E+001, 6.9999998807907104E-001, 1.5599999427795410E+000, 6.0000000521540642E-003, 2.9089999389648438E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 2.0000000949949026E-003, 0.0000000000000000E+000, 9.9999997764825821E-003, 0.0000000000000000E+000, 5.0000000000000000E+002, 8.7999999523162842E-001, 2.5658115386962891E+001, 1.2734653949737549E+000
high_shear,4, 9.5000000000000000E+001, 2.5500000000000000E+002, 3.5000000000000000E+002, 2.7399999618530273E+001, 5.4999995231628418E-001, 1.4399999380111694E+000, 6.0000000521540642E-003, 2.9135000610351562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 2.0000000949949026E-003, 0.0000000000000000E+000, 9.9999997764825821E-003, 0.0000000000000000E+000, 5.0000000000000000E+002, 8.7999999523162842E-001, 3.0079839706420898E+001, 1.2254067659378052E+000
high_shear,5, 1.0000000000000000E+002, 3.5000000000000000E+002, 4.5000000000000000E+002, 2.9200000762939453E+001, 3.9999997615814209E-001, 1.3199999332427979E+000, 6.0000000521540642E-003, 2.9179998779296875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 2.0000000949949026E-003, 0.0000000000000000E+000, 9.9999997764825821E-003, 0.0000000000000000E+000, 5.0000000000000000E+002, 8.7999999523162842E-001, 3.2832801818847656E+001, 1.1753885746002197E+000
high_shear,6, 1.0500000000000000E+002, 4.5000000000000000E+002, 5.5500000000000000E+002, 3.1000000000000000E+001, 2.5000000000000000E-001, 1.2000000476837158E+000, 6.0000000521540642E-003, 2.9225000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 2.0000000949949026E-003, 0.0000000000000000E+000, 9.9999997764825821E-003, 0.0000000000000000E+000, 5.0000000000000000E+002, 8.7999999523162842E-001, 3.4635089874267578E+001, 1.1231489181518555E+000
high_shear,7, 1.1000000000000000E+002, 5.5500000000000000E+002, 6.6500000000000000E+002, 3.2799999237060547E+001, 9.9999964237213135E-002, 1.0799999237060547E+000, 6.0000000521540642E-003, 2.9270001220703125E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 2.0000000949949026E-003, 0.0000000000000000E+000, 9.9999997764825821E-003, 0.0000000000000000E+000, 5.0000000000000000E+002, 8.7999999523162842E-001, 3.7982486724853516E+001, 1.0683610439300537E+000
high_shear,8, 1.1500000000000000E+002, 6.6500000000000000E+002, 7.8000000000000000E+002, 3.4599998474121094E+001,-5.0000071525573730E-002, 9.5999997854232788E-001, 6.0000000521540642E-003, 2.9314999389648438E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 2.0000000949949026E-003, 0.0000000000000000E+000, 9.9999997764825821E-003, 0.0000000000000000E+000, 5.0000000000000000E+002, 8.7999999523162842E-001, 3.4710964202880859E+001, 1.0106103420257568E+000
high_shear,9, 1.2000000000000000E+002, 7.8000000000000000E+002, 9.0000000000000000E+002, 3.6400001525878906E+001,-2.0000004768371582E-001, 8.3999997377395630E-001, 6.0000000521540642E-003, 2.9360000610351562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 2.0000000949949026E-003, 0.0000000000000000E+000, 9.9999997764825821E-003, 0.0000000000000000E+000, 5.0000000000000000E+002, 8.7999999523162842E-001, 2.8868330001831055E+001, 9.4935590028762817E-001
high_shear,10, 1.2500000000000000E+002, 9.0000000000000000E+002, 1.0250000000000000E+003, 3.8199996948242188E+001,-3.5000002384185791E-001, 7.2000002861022949E-001, 6.0000000521540642E-003, 2.9404998779296875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 2.0000000949949026E-003, 0.0000000000000000E+000, 9.9999997764825821E-003, 0.0000000000000000E+000, 5.0000000000000000E+002, 8.7999999523162842E-001, 2.2897552490234375E+001, 8.8386905193328857E-001
high_shear,11, 1.3000000000000000E+002, 1.0250000000000000E+003, 1.1550000000000000E+003, 4.0000000000000000E+001,-5.0000000000000000E-001, 6.0000002384185791E-001, 6.0000000521540642E-003, 2.9450000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 2.0000000949949026E-003, 0.0000000000000000E+000, 9.9999997764825821E-003, 0.0000000000000000E+000, 5.0000000000000000E+002, 8.7999999523162842E-001, 1.9737556457519531E+001, 8.1312757730484009E-001
high_shear,12, 1.3500000000000000E+002, 1.1550000000000000E+003, 1.2900000000000000E+003, 4.1799999237060547E+001,-6.5000009536743164E-001, 4.8000001907348633E-001, 6.0000000521540642E-003, 2.9495001220703125E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 2.0000000949949026E-003, 0.0000000000000000E+000, 9.9999997764825821E-003, 0.0000000000000000E+000, 5.0000000000000000E+002, 8.7999999523162842E-001, 1.9313278198242188E+001, 7.3561680316925049E-001
edmf_active,1, 8.0000000000000000E+001, 0.0000000000000000E+000, 8.0000000000000000E+001, 4.0000000000000000E+000, 1.0000000000000000E+000, 1.7999999523162842E+000,-2.0000000949949026E-003, 2.9000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4000000953674316E+000, 3.5000000149011612E-002, 1.0000000000000000E+000, 3.0000000000000000E+003,-3.0000000260770321E-003, 0.0000000000000000E+000, 7.0000000298023224E-002, 0.0000000000000000E+000, 5.5000000000000000E+002, 8.1999999284744263E-001, 0.0000000000000000E+000, 1.3416407108306885E+000
edmf_active,2, 8.5000000000000000E+001, 8.0000000000000000E+001, 1.6500000000000000E+002, 4.6999998092651367E+000, 8.5000002384185791E-001, 1.6799999475479126E+000,-2.0000000949949026E-003, 2.9045001220703125E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.9999998211860657E-002, 2.2800002098083496E+000, 3.2499998807907104E-002, 1.0000000000000000E+000, 3.0000000000000000E+003,-3.0000000260770321E-003, 0.0000000000000000E+000, 7.0000000298023224E-002, 0.0000000000000000E+000, 5.5000000000000000E+002, 8.1999999284744263E-001, 2.8590681076049805E+001, 1.3197796344757080E+000
edmf_active,3, 9.0000000000000000E+001, 1.6500000000000000E+002, 2.5500000000000000E+002, 5.4000000953674316E+000, 6.9999998807907104E-001, 1.5599999427795410E+000,-2.0000000949949026E-003, 2.9089999389648438E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5999999642372131E-001, 2.1600000858306885E+000, 3.0000001192092896E-002, 1.0000000000000000E+000, 3.0000000000000000E+003,-3.0000000260770321E-003, 0.0000000000000000E+000, 7.0000000298023224E-002, 0.0000000000000000E+000, 5.5000000000000000E+002, 8.1999999284744263E-001, 5.1895568847656250E+001, 1.2734653949737549E+000
edmf_active,4, 9.5000000000000000E+001, 2.5500000000000000E+002, 3.5000000000000000E+002, 6.0999999046325684E+000, 5.4999995231628418E-001, 1.4399999380111694E+000,-2.0000000949949026E-003, 2.9135000610351562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3999999463558197E-001, 2.0400002002716064E+000, 2.7499999850988388E-002, 1.0000000000000000E+000, 3.0000000000000000E+003,-3.0000000260770321E-003, 0.0000000000000000E+000, 7.0000000298023224E-002, 0.0000000000000000E+000, 5.5000000000000000E+002, 8.1999999284744263E-001, 6.4535934448242188E+001, 1.2254067659378052E+000
edmf_active,5, 1.0000000000000000E+002, 3.5000000000000000E+002, 4.5000000000000000E+002, 6.8000001907348633E+000, 3.9999997615814209E-001, 1.3199999332427979E+000,-2.0000000949949026E-003, 2.9179998779296875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.1999999284744263E-001, 1.9200000762939453E+000, 2.5000000372529030E-002, 1.0000000000000000E+000, 3.0000000000000000E+003,-3.0000000260770321E-003, 0.0000000000000000E+000, 7.0000000298023224E-002, 0.0000000000000000E+000, 5.5000000000000000E+002, 8.1999999284744263E-001, 7.0600196838378906E+001, 1.1753885746002197E+000
edmf_active,6, 1.0500000000000000E+002, 4.5000000000000000E+002, 5.5500000000000000E+002, 7.5000000000000000E+000, 2.5000000000000000E-001, 1.2000000476837158E+000, 7.0000002160668373E-003, 2.9225000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.9999997615814209E-001, 1.8000001907348633E+000, 2.2500000894069672E-002, 1.0000000000000000E+000, 3.0000000000000000E+003,-3.0000000260770321E-003, 0.0000000000000000E+000, 7.0000000298023224E-002, 0.0000000000000000E+000, 5.5000000000000000E+002, 8.1999999284744263E-001, 6.0768516540527344E+001, 1.1231489181518555E+000
edmf_active,7, 1.1000000000000000E+002, 5.5500000000000000E+002, 6.6500000000000000E+002, 8.1999998092651367E+000, 9.9999964237213135E-002, 1.0799999237060547E+000, 7.0000002160668373E-003, 2.9270001220703125E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.7999998927116394E-001, 1.6800000667572021E+000, 1.9999999552965164E-002, 1.0000000000000000E+000, 3.0000000000000000E+003,-3.0000000260770321E-003, 0.0000000000000000E+000, 7.0000000298023224E-002, 0.0000000000000000E+000, 5.5000000000000000E+002, 8.1999999284744263E-001, 5.7424415588378906E+001, 1.0683610439300537E+000
edmf_active,8, 1.1500000000000000E+002, 6.6500000000000000E+002, 7.8000000000000000E+002, 8.8999996185302734E+000,-5.0000071525573730E-002, 9.5999997854232788E-001, 7.0000002160668373E-003, 2.9314999389648438E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.6000000238418579E-001, 1.5600001811981201E+000, 1.7500000074505806E-002, 1.0000000000000000E+000, 3.0000000000000000E+003,-3.0000000260770321E-003, 0.0000000000000000E+000, 7.0000000298023224E-002, 0.0000000000000000E+000, 5.5000000000000000E+002, 8.1999999284744263E-001, 5.2626052856445312E+001, 1.0106103420257568E+000
edmf_active,9, 1.2000000000000000E+002, 7.8000000000000000E+002, 9.0000000000000000E+002, 9.6000003814697266E+000,-2.0000004768371582E-001, 8.3999997377395630E-001, 7.0000002160668373E-003, 2.9360000610351562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.3999998569488525E-001, 1.4400000572204590E+000, 1.5000000596046448E-002, 1.0000000000000000E+000, 3.0000000000000000E+003,-3.0000000260770321E-003, 0.0000000000000000E+000, 7.0000000298023224E-002, 0.0000000000000000E+000, 5.5000000000000000E+002, 8.1999999284744263E-001, 4.3195602416992188E+001, 9.4935590028762817E-001
