case,k,dz,zw,zw_next,u,v,thl,thetav,ql,qw,qke,tsq,qsq,cov,vt,vq,theta,cldfra,edmf_w,edmf_a,tkeprodtd,xland,dx,rmo,flt,fltv,flq,zi,psig_bl,psig_shcu,dfm,dfh,dfq,tcd,qcd,pdk,pdt,pdq,pdc,el,qkw_unused,sm,sh
stable,11, 1.3000000000000000E+002, 9.7000000000000000E+002, 1.1000000000000000E+003, 1.3000000000000000E+001,-1.9999992847442627E-001, 2.9550000000000000E+002, 2.9613088989257812E+002, 0.0000000000000000E+000, 3.4999996423721313E-003, 6.0000002384185791E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9550000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 4.0000000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 6.7090831696987152E-002, 1.4144955202937126E-002, 6.7090831696987152E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3774030958302319E-004, 3.3690233976813033E-005, 3.3691723022588604E-011,-3.3690980671963189E-008, 1.9818355560302734E+001, 0.0000000000000000E+000, 5.3069907426834106E-001, 1.1188883334398270E-001
stable,12, 1.3600000000000000E+002, 1.1000000000000000E+003, 1.2360000000000000E+003, 1.3800000190734863E+001,-3.1999993324279785E-001, 2.9604998779296875E+002, 2.9658273315429688E+002, 0.0000000000000000E+000, 2.9499996453523636E-003, 4.9000000953674316E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9604998779296875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 4.0000000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 5.7056996971368790E-002, 1.1455743573606014E-002, 5.7056996971368790E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1231330427108333E-004, 2.6054200134240091E-005, 2.6055357524312761E-011,-2.6054777890749392E-008, 1.9749139785766602E+001, 0.0000000000000000E+000, 5.1990067958831787E-001, 1.0438419878482819E-001
convective,1, 7.0000000000000000E+001, 0.0000000000000000E+000, 7.0000000000000000E+001, 5.0000000000000000E+000, 1.0000000000000000E+000, 3.0100000000000000E+002, 3.0265246582031250E+002, 0.0000000000000000E+000, 8.9999996125698090E-003, 3.7999999523162842E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0100000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0999999940395355E-001, 0.0000000000000000E+000, 7.0000000000000000E+002, 9.3999999761581421E-001, 8.9999997615814209E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
convective,2, 7.6000000000000000E+001, 7.0000000000000000E+001, 1.4600000000000000E+002, 5.8000001907348633E+000, 8.7999999523162842E-001, 3.0082000732421875E+002, 3.0237057495117188E+002, 0.0000000000000000E+000, 8.4499996155500412E-003, 3.5599999427795410E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0082000732421875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0999999940395355E-001, 0.0000000000000000E+000, 7.0000000000000000E+002, 9.3999999761581421E-001, 8.9999997615814209E-001, 4.9951434135437012E-001, 7.7504789829254150E-001, 4.9951434135437012E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1583619751036167E-002, 2.7756986673921347E-004, 2.5917197277181003E-009, 8.4816468870485551E-007, 3.1530555725097656E+001, 0.0000000000000000E+000, 6.0245484113693237E-001, 9.3477064371109009E-001
convective,3, 8.2000000000000000E+001, 1.4600000000000000E+002, 2.2800000000000000E+002, 6.5999999046325684E+000, 7.5999999046325684E-001, 3.0064001464843750E+002, 3.0208880615234375E+002, 0.0000000000000000E+000, 7.8999996185302734E-003, 3.3199999332427979E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0064001464843750E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0999999940395355E-001, 0.0000000000000000E+000, 7.0000000000000000E+002, 9.3999999761581421E-001, 8.9999997615814209E-001, 4.5905438065528870E-001, 7.1362853050231934E-001, 4.5905438065528870E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0345268994569778E-002, 1.2081398017471656E-004, 1.1280618661402286E-009, 3.6916884482707246E-007, 6.2371265411376953E+001, 0.0000000000000000E+000, 3.1328526139259338E-001, 4.8702141642570496E-001
convective,4, 8.8000000000000000E+001, 2.2800000000000000E+002, 3.1600000000000000E+002, 7.4000000953674316E+000, 6.3999998569488525E-001, 3.0045999145507812E+002, 3.0180709838867188E+002, 0.0000000000000000E+000, 7.3499996215105057E-003, 3.0799999237060547E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0045999145507812E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0999999940395355E-001, 0.0000000000000000E+000, 7.0000000000000000E+002, 9.3999999761581421E-001, 8.9999997615814209E-001, 4.1994655132293701E-001, 6.5392839908599854E-001, 4.1994655132293701E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.2290826141834259E-003, 7.8408222179859877E-005, 7.3186340321385046E-010, 2.3954981998031144E-007, 8.2342384338378906E+001, 0.0000000000000000E+000, 2.4217389523983002E-001, 3.7710604071617126E-001
convective,5, 9.4000000000000000E+001, 3.1600000000000000E+002, 4.1000000000000000E+002, 8.1999998092651367E+000, 5.1999998092651367E-001, 3.0027999877929688E+002, 3.0152557373046875E+002, 0.0000000000000000E+000, 6.7999996244907379E-003, 2.8399999141693115E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0027999877929688E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0999999940395355E-001, 0.0000000000000000E+000, 7.0000000000000000E+002, 9.3999999761581421E-001, 8.9999997615814209E-001, 3.8216656446456909E-001, 5.9597969055175781E-001, 3.8216656446456909E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.2122869789600372E-003, 5.9026493545388803E-005, 5.5114096619846009E-010, 1.8036607229987567E-007, 9.3064697265625000E+001, 0.0000000000000000E+000, 2.1705672144889832E-001, 3.3849483728408813E-001
convective,6, 1.0000000000000000E+002, 4.1000000000000000E+002, 5.1000000000000000E+002, 9.0000000000000000E+000, 4.0000003576278687E-001, 3.0010000610351562E+002, 3.0124414062500000E+002, 0.0000000000000000E+000, 6.2499996274709702E-003, 2.5999999046325684E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0010000610351562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0999999940395355E-001, 0.0000000000000000E+000, 7.0000000000000000E+002, 9.3999999761581421E-001, 8.9999997615814209E-001, 3.4561970829963684E-001, 5.3969824314117432E-001, 3.4561970829963684E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.2797383181750774E-003, 4.7010944399517030E-005, 4.3894957113543853E-010, 1.4365039646691002E-007, 9.8651695251464844E+001, 0.0000000000000000E+000, 2.0591364800930023E-001, 3.2154196500778198E-001
convective,7, 1.0600000000000000E+002, 5.1000000000000000E+002, 6.1600000000000000E+002, 9.8000001907348633E+000, 2.8000003099441528E-001, 3.0082000732421875E+002, 3.0186596679687500E+002, 0.0000000000000000E+000, 5.6999996304512024E-003, 2.3600001335144043E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0082000732421875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0999999940395355E-001, 0.0000000000000000E+000, 7.0000000000000000E+002, 9.3999999761581421E-001, 8.9999997615814209E-001, 1.8152208626270294E-001, 3.6304421722888947E-002, 1.8152208626270294E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.1769619565457106E-004, 1.8272112356498837E-004, 1.0662219718238219E-010,-1.3957838973510661E-007, 8.5714370727539062E+001, 0.0000000000000000E+000, 1.3841444253921509E-001, 2.7682889252901077E-002
convective,8, 1.1200000000000000E+002, 6.1600000000000000E+002, 7.2800000000000000E+002, 1.0600000381469727E+001, 1.6000002622604370E-001, 3.0154000854492188E+002, 3.0248730468750000E+002, 0.0000000000000000E+000, 5.1499996334314346E-003, 2.1199998855590820E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0154000854492188E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0999999940395355E-001, 0.0000000000000000E+000, 7.0000000000000000E+002, 9.3999999761581421E-001, 8.9999997615814209E-001, 1.5834109485149384E-001, 3.1668223440647125E-002, 1.5834109485149384E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0897851684130728E-004, 1.5061341400723904E-004, 8.7886579958063038E-011,-1.1505171926273761E-007, 8.4255027770996094E+001, 0.0000000000000000E+000, 1.3676671683788300E-001, 2.7353344485163689E-002
convective,9, 1.1800000000000000E+002, 7.2800000000000000E+002, 8.4600000000000000E+002, 1.1399999618530273E+001, 4.0000021457672119E-002, 3.0226000976562500E+002, 3.0310812377929688E+002, 0.0000000000000000E+000, 4.5999996364116669E-003, 1.8799999952316284E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0226000976562500E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0999999940395355E-001, 0.0000000000000000E+000, 7.0000000000000000E+002, 9.3999999761581421E-001, 8.9999997615814209E-001, 1.3782419264316559E-001, 2.7564838528633118E-002, 1.3782419264316559E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.2576971969101578E-004, 1.2425791646819562E-004, 7.2507513881880925E-011,-9.4919080595445848E-008, 8.1353500366210938E+001, 0.0000000000000000E+000, 1.3765513896942139E-001, 2.7531027793884277E-002
convective,10, 1.2400000000000000E+002, 8.4600000000000000E+002, 9.7000000000000000E+002, 1.2200000762939453E+001,-7.9999923706054688E-002, 3.0298001098632812E+002, 3.0372851562500000E+002, 0.0000000000000000E+000, 4.0499996393918991E-003, 1.6400001049041748E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0298001098632812E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0999999940395355E-001, 0.0000000000000000E+000, 7.0000000000000000E+002, 9.3999999761581421E-001, 8.9999997615814209E-001, 1.2263443320989609E-001, 2.4526886641979218E-002, 1.2263443320989609E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6628687444608659E-004, 1.0508082777960226E-004, 6.1317208255307065E-011,-8.0269941804544942E-008, 7.4115531921386719E+001, 0.0000000000000000E+000, 1.5078754723072052E-001, 3.0157508328557014E-002
convective,11, 1.3000000000000000E+002, 9.7000000000000000E+002, 1.1000000000000000E+003, 1.3000000000000000E+001,-1.9999992847442627E-001, 3.0370001220703125E+002, 3.0434841918945312E+002, 0.0000000000000000E+000, 3.4999996423721313E-003, 1.4000000953674316E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0370001220703125E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0999999940395355E-001, 0.0000000000000000E+000, 7.0000000000000000E+002, 9.3999999761581421E-001, 8.9999997615814209E-001, 1.1764099448919296E-001, 2.3528197780251503E-002, 1.1764099448919296E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2945472553838044E-004, 9.6039831987582147E-005, 5.6041574159060303E-011,-7.3363636943213351E-008, 5.5962272644042969E+001, 0.0000000000000000E+000, 2.1634192764759064E-001, 4.3268386274576187E-002
convective,12, 1.3600000000000000E+002, 1.1000000000000000E+003, 1.2360000000000000E+003, 1.3800000190734863E+001,-3.1999993324279785E-001, 3.0442001342773438E+002, 3.0496780395507812E+002, 0.0000000000000000E+000, 2.9499996453523636E-003, 1.1600000858306885E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0442001342773438E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0999999940395355E-001, 0.0000000000000000E+000, 7.0000000000000000E+002, 9.3999999761581421E-001, 8.9999997615814209E-001, 1.0422046482563019E-001, 2.0844094455242157E-002, 1.0422046482563019E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.0461151557974517E-005, 8.1245219917036593E-005, 4.7408556247408029E-011,-6.2062213146418799E-008, 3.4559268951416016E+001, 0.0000000000000000E+000, 3.5414117574691772E-001, 7.0828236639499664E-002
